match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,interceptionWon,keyPass,shotOffTarget,bigChanceCreated
14147332,away,36019,FK Mornar Bar,187341,Stefan Popović,stefan-popovic,G,12,False,18.0,13.0,9.0,4.0,0.0,9.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,90.0,19.0,6.3,6.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,72.22222222222221,44.44444444444444,,,0.0,,,,,,
14147332,away,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,21.0,13.0,11.0,5.0,0.0,6.0,9.0,7.0,12.0,0.0,0.0,3.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,70.0,26.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,0,5,61.904761904761905,45.45454545454545,,,,,,,,,
14147332,away,36019,FK Mornar Bar,189001,Jovan Baošić,jovan-baosic,D,15,False,41.0,29.0,16.0,8.0,0.0,19.0,21.0,7.0,14.0,0.0,0.0,2.0,4.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,55.0,7.8,14.0,0.15,0.24,"{'original': 7.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,0,5,70.73170731707317,50.0,,,,,,5.0,1.0,,
14147332,away,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,44.0,34.0,9.0,3.0,0.0,23.0,27.0,9.0,13.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,56.0,7.1,14.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,77.27272727272727,33.33333333333333,,100.0,,,,5.0,,,
14147332,away,36019,FK Mornar Bar,171431,Nikola Stijepović,nikola-stijepovic,D,33,False,28.0,17.0,10.0,5.0,0.0,4.0,9.0,11.0,15.0,0.0,0.0,3.0,5.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,37.0,6.8,19.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,8,11,1,10,60.71428571428571,50.0,,0.0,,,,2.0,,,
14147332,away,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,38.0,33.0,4.0,4.0,0.0,14.0,15.0,18.0,22.0,0.0,0.0,4.0,3.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,90.0,55.0,7.1,8.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,7,6,86.8421052631579,100.0,,,,,,2.0,,,
14147332,away,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,False,40.0,30.0,4.0,2.0,0.0,16.0,18.0,12.0,20.0,3.0,1.0,0.0,0.0,17.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,,,,,,,90.0,52.0,6.4,12.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,0,21,4,17,75.0,50.0,33.33333333333333,,,1.0,,2.0,,,
14147332,away,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,False,26.0,21.0,3.0,3.0,0.0,7.0,8.0,13.0,16.0,2.0,0.0,1.0,2.0,11.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,,,,90.0,46.0,7.0,10.0,0.08,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,3,10,80.76923076923077,100.0,0.0,100.0,,2.0,,2.0,,1.0,
14147332,away,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,False,20.0,15.0,1.0,0.0,0.0,3.0,4.0,12.0,16.0,1.0,0.0,1.0,1.0,9.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,62.0,36.0,6.7,8.0,0.11,0.08,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,4,8,75.0,0.0,0.0,100.0,,2.0,1.0,1.0,1.0,,
14147332,away,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,M,11,False,16.0,7.0,0.0,0.0,0.0,2.0,5.0,5.0,10.0,0.0,0.0,4.0,6.0,7.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,81.0,24.0,7.4,13.0,0.71,0.11,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,10,5,2,3,43.75,,,100.0,,,,1.0,1.0,,
14147332,away,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,False,10.0,5.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,0.0,0.0,3.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,62.0,18.0,6.5,10.0,0.12,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,3,5,50.0,,,,,,1.0,,,1.0,
14147332,away,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,True,7.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,28.0,13.0,6.9,1.0,0.0,0.23,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,71.42857142857143,,50.0,100.0,,,,,2.0,,
14147332,away,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,16.0,12.0,3.0,1.0,0.0,5.0,5.0,7.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,28.0,20.0,6.5,4.0,0.24,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.0,33.33333333333333,,,,,,,,1.0,
14147332,away,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,True,5.0,3.0,0.0,0.0,0.0,,,3.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,20.0,12.0,6.3,3.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,60.0,,0.0,,,1.0,,,,,
14147332,away,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,D,19,True,3.0,2.0,0.0,0.0,0.0,,,2.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,9.0,10.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,66.66666666666666,,,100.0,,1.0,,,,,
14147332,away,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147332,away,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147332,away,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147332,away,6219,FK Mornar Bar,1030476,Alden Škrijelj,alden-skrijelj,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147332,away,36019,FK Mornar Bar,1002892,Balša Dubljević,balsa-dubljevic,M,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
