match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceCreated,keyPass,dispossessed,bigChanceMissed,blockedScoringAttempt,shotOffTarget,clearanceOffLine,penaltyWon
14147315,away,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,15.0,14.0,7.0,6.0,0.0,9.0,9.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,90.0,20.0,7.2,2.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,93.33333333333333,85.71428571428571,,,0.0,,,,,,,,
14147315,away,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,D,77,False,26.0,17.0,6.0,3.0,2.0,3.0,3.0,11.0,20.0,0.0,0.0,1.0,1.0,9.0,8.0,2.0,3.0,3.0,0.0,0.0,8.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,90.0,39.0,7.9,12.0,0.05,0.11,"{'original': 7.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,7,8,65.38461538461539,50.0,,100.0,,,1.0,,,,1.0,,
14147315,away,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,18.0,13.0,5.0,2.0,0.0,10.0,11.0,3.0,5.0,0.0,0.0,0.0,2.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,30.0,7.1,8.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,1,8,72.22222222222221,40.0,,,,,,,,,,1.0,
14147315,away,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,15.0,11.0,4.0,2.0,0.0,9.0,9.0,2.0,5.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,17.0,6.5,8.0,0.17,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,73.33333333333333,50.0,,,,,,,,,,,
14147315,away,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,False,23.0,15.0,6.0,2.0,0.0,10.0,14.0,4.0,8.0,3.0,2.0,1.0,0.0,11.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,30.0,6.3,10.0,0.04,0.0,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,2,10,65.21739130434783,33.33333333333333,66.66666666666666,,,,,,,,,,
14147315,away,203041,FK Arsenal Tivat,895528,Ljubiša Pecelj,ljubisa-pecelj,D,13,False,23.0,17.0,5.0,2.0,0.0,5.0,6.0,11.0,16.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,80.0,36.0,6.6,13.0,0.02,0.04,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,4,8,73.91304347826086,40.0,,100.0,,,1.0,,,,1.0,,
14147315,away,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,9.0,6.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,1.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,80.0,20.0,6.9,6.0,0.11,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,0,22,3,19,66.66666666666666,,0.0,,,,,,,,,,
14147315,away,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,21.0,16.0,3.0,2.0,0.0,6.0,7.0,9.0,12.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,69.0,30.0,6.5,6.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,76.19047619047619,66.66666666666666,0.0,,,,,,,,,,
14147315,away,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,35.0,29.0,7.0,4.0,0.0,12.0,12.0,14.0,20.0,0.0,0.0,1.0,2.0,10.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,45.0,6.8,8.0,0.08,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,5,9,82.85714285714286,57.14285714285714,,0.0,,,1.0,,,1.0,,,
14147315,away,37956,FK Arsenal Tivat,808566,Armin Bošnjak,armin-bosnjak,M,7,False,12.0,7.0,1.0,0.0,0.0,1.0,2.0,6.0,10.0,3.0,1.0,3.0,0.0,15.0,9.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,,,,,,,90.0,35.0,7.4,13.0,0.12,0.08,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,3,21,9,12,58.333333333333336,0.0,33.33333333333333,75.0,,,1.0,1.0,,,,,
