match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,penaltyConceded,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget,penaltyWon
14147365,home,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,False,33.0,28.0,9.0,4.0,0.0,22.0,23.0,5.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,90.0,37.0,7.9,6.0,0.0,0.0,"{'original': 7.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,84.84848484848484,44.44444444444444,,,0.0,,,,,,
14147365,home,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,D,16,False,29.0,22.0,8.0,7.0,0.0,11.0,14.0,10.0,14.0,2.0,0.0,1.0,3.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,34.0,6.3,15.0,0.0,0.09,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,2,8,75.86206896551724,87.5,0.0,0.0,,1.0,1.0,,,,
14147365,home,241802,FK Bokelj Kotor,1650228,Stefan  Mrsulja,stefan-mrsulja,D,17,False,53.0,50.0,8.0,6.0,0.0,40.0,40.0,9.0,12.0,0.0,0.0,3.0,1.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,61.0,7.0,4.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,94.33962264150944,75.0,,100.0,,,,,,,
14147365,home,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,82.0,70.0,13.0,5.0,0.0,52.0,55.0,17.0,26.0,0.0,0.0,6.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,106.0,6.6,15.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,3,4,85.36585365853658,38.46153846153847,,,,,,,,,
14147365,home,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,52.0,42.0,4.0,3.0,0.0,29.0,31.0,13.0,21.0,4.0,0.0,3.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,62.0,6.6,19.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,80.76923076923077,75.0,0.0,0.0,,,,1.0,,,
14147365,home,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,48.0,41.0,6.0,2.0,0.0,26.0,29.0,14.0,18.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,67.0,52.0,6.7,8.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,85.41666666666666,33.33333333333333,,100.0,,,,,,,
14147365,home,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,38.0,31.0,3.0,1.0,0.0,17.0,18.0,12.0,18.0,1.0,1.0,2.0,1.0,8.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,,,,,,,90.0,53.0,7.3,11.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,5,6,81.57894736842105,33.33333333333333,100.0,100.0,,,,,1.0,,
14147365,home,120152,FK Bokelj Kotor,1048761,Sotirios Kokkinis,sotirios-kokkinis,M,28,False,11.0,7.0,1.0,1.0,0.0,4.0,4.0,3.0,6.0,0.0,0.0,4.0,1.0,12.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,46.0,18.0,6.2,10.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,5,8,63.63636363636363,100.0,,0.0,,,,,,,
14147365,home,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,27.0,13.0,4.0,3.0,0.0,6.0,8.0,7.0,19.0,2.0,1.0,2.0,0.0,7.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,78.0,42.0,7.3,15.0,0.17,0.0,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,48.148148148148145,75.0,50.0,100.0,,,,,,2.0,
14147365,home,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,29.0,24.0,1.0,0.0,0.0,11.0,15.0,12.0,13.0,4.0,1.0,1.0,1.0,6.0,10.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,90.0,47.0,6.9,7.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,9,5,82.75862068965517,0.0,25.0,66.66666666666666,,,,,,1.0,
14147365,home,228024,FK Bokelj Kotor,1218295,Ayumu Nishimura,ayumu-nishimura,F,99,False,10.0,9.0,0.0,0.0,0.0,1.0,1.0,8.0,9.0,0.0,0.0,1.0,1.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,67.0,17.0,6.5,4.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,1,7,90.0,,,,,,,1.0,,,
14147365,home,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,True,8.0,5.0,1.0,0.0,0.0,2.0,2.0,3.0,6.0,1.0,0.0,3.0,1.0,4.0,6.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,44.0,19.0,7.3,9.0,0.16,0.0,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,5,1,62.5,0.0,0.0,100.0,,,,,1.0,,
14147365,home,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,True,11.0,9.0,2.0,2.0,0.0,6.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,23.0,12.0,6.3,1.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,81.81818181818183,100.0,,,,,,,,,
