match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,totalContest,wonContest,outfielderBlock,shotOffTarget,shotValueNormalized,blockedScoringAttempt,keyPass,bigChanceMissed,onTargetScoringAttempt,penaltyMiss,totalOffside,lastManTackle,goodHighClaim,penaltySave,penaltyFaced,totalKeeperSweeper,accurateCross,penaltyConceded,errorLeadToAShot,bigChanceCreated,goals
14015565,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,28.0,14.0,12.0,3.0,0.0,3.0,10.0,11.0,18.0,3.0,,,90.0,70.0,7.2,29.0,51.625982802658,8.0,40.845,20.79,,"{'original': 7.2, 'alternative': 6.9}",2,0.32,0.16,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,50.0,25.0,33.33333333333333,66.66666666666666,,6.0,2.0,4.0,6.0,2.0,,7.0,2.0,2.0,2.0,3.0,,1.0,1.0,20.792779996912,1.0,3.0,2.0,,1.0,-0.1,1.0,1.0,,,,,,,,,,2.0,1.0,,,
14015565,away,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,27.0,20.0,9.0,4.0,0.0,8.0,10.0,12.0,17.0,8.0,,,90.0,41.0,6.9,12.0,115.365506805,9.0,60.69,38.01,,"{'original': 6.9, 'alternative': 6.8}",0,0.15,0.03,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,74.07407407407408,44.44444444444444,,,,,1.0,5.0,5.0,2.0,,4.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,38.051096225996,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,24.0,13.0,8.0,2.0,0.0,10.0,11.0,3.0,13.0,3.0,,,90.0,37.0,6.6,13.0,,,,,,"{'original': 6.6, 'alternative': 6.7}",0,0.12,-0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,1,5,54.166666666666664,25.0,,,,,4.0,6.0,5.0,,,5.0,3.0,1.0,,1.0,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
14015565,away,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,D,50,False,39.0,24.0,11.0,2.0,0.0,9.0,16.0,15.0,23.0,8.0,,,89.0,69.0,7.1,19.0,55.140312385872,9.0,24.15,9.135,,"{'original': 7.1, 'alternative': 7.5}",1,0.24,0.16,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,6,4,61.53846153846154,18.181818181818183,100.0,100.0,,1.0,1.0,6.0,7.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,9.9771924407621,1.0,2.0,2.0,1.0,1.0,-0.4,,2.0,,,,,,,,,,1.0,,,,
14015565,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,24.0,15.0,6.0,,0.0,4.0,6.0,11.0,18.0,3.0,,,90.0,42.0,6.6,10.0,59.649508079569,10.0,3.15,5.04,,"{'original': 6.6, 'alternative': 6.9}",2,0.11,0.16,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,5,3,62.5,,,50.0,,,1.0,8.0,6.0,1.0,,4.0,1.0,1.0,1.0,,3.0,2.0,5.0,,,2.0,1.0,,1.0,-0.08,,1.0,,1.0,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,False,21.0,15.0,1.0,,0.0,8.0,11.0,7.0,10.0,2.0,,,90.0,46.0,6.3,19.0,71.183723863702,6.0,47.04,26.775,,"{'original': 6.3, 'alternative': 6.5}",0,-0.08,0.17,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,71.42857142857143,,,,,,2.0,8.0,5.0,,1.0,2.0,2.0,1.0,,10.0,2.0,3.0,2.0,51.746813044739,2.0,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,
14015565,away,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,M,77,False,25.0,20.0,,,1.0,3.0,3.0,17.0,22.0,3.0,,,89.0,50.0,6.8,15.0,147.98117005147,15.0,98.385,27.405,,"{'original': 6.8, 'alternative': 7.6}",2,0.22,0.35,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,8,7,80.0,,,75.0,,1.0,1.0,10.0,9.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,88.969640047588,5.0,4.0,3.0,,2.0,-0.3,,1.0,,,,,,,,,,,,,1.0,
14015565,away,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,40.0,28.0,11.0,9.0,0.0,8.0,11.0,20.0,29.0,7.0,,,85.0,63.0,7.9,19.0,70.198000871048,10.0,9.555,4.725,,"{'original': 7.9, 'alternative': 8}",2,0.51,0.16,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,9,4,2,2,70.0,81.81818181818183,40.0,,,5.0,7.0,4.0,9.0,,1.0,1.0,5.0,,,3.0,2.0,3.0,2.0,,,,,,1.0,-0.01,1.0,2.0,,,,,,,,,,2.0,,,1.0,
14015565,away,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,31.0,24.0,6.0,2.0,0.0,9.0,11.0,15.0,20.0,6.0,,,90.0,56.0,7.7,18.0,142.57308318031,16.0,83.58,27.405,,"{'original': 7.7, 'alternative': 7.6}",2,0.09,0.38,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,77.41935483870968,33.33333333333333,,,,2.0,,8.0,5.0,,2.0,,3.0,1.0,1.0,3.0,4.0,,2.0,81.651124261411,6.0,4.0,,,1.0,0.47,,3.0,,1.0,,,,,,,,,,,,1.0
14015565,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,26.0,17.0,,,0.0,4.0,7.0,13.0,19.0,,,,90.0,50.0,6.6,18.0,55.792951614864,9.0,24.36,9.975,,"{'original': 6.6, 'alternative': 6.7}",4,-0.27,0.32,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,7,7,65.38461538461539,,,100.0,,,3.0,8.0,10.0,,4.0,,,2.0,2.0,5.0,1.0,3.0,1.0,,,4.0,4.0,,2.0,-0.6,1.0,,2.0,1.0,,,,,,,,,,,,
14015565,away,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,True,6.0,5.0,,,0.0,1.0,1.0,4.0,5.0,2.0,,,12.0,9.0,6.6,3.0,6.2764515452603,1.0,-1.05,-1.05,,"{'original': 6.6, 'alternative': 6.5}",0,0.04,-0.6,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,83.33333333333334,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14015565,away,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,0.0,,,,,,,,1.0,1.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,1.0,4.0,,1.0,12.817788420785,1.0,-8.19,-8.19,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,263765,FK Radnički 1923,1981810,Dimitrije Nikolic,dimitrije-nikolic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,away,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,D,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
