match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt
15280993,home,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,False,10.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,0.0,0.0,10.0,5.0,14.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,,,,,,77.0,15.0,7.2,9.0,0.03,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,15,5,1,4,50.0,,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,True,16.0,9.0,4.0,3.0,1.0,3.0,4.0,6.0,12.0,1.0,0.0,0.0,1.0,13.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,46.0,30.0,6.7,15.0,0.0,0.03,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,3,13,56.25,75.0,0.0,25.0,,,1.0,2.0,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,True,8.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,28.0,11.0,6.6,5.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,75.0,,100.0,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,874418,Mirza Idrizović,mirza-idrizovic,M,10,True,3.0,3.0,0.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,13.0,7.0,6.7,3.0,0.08,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,100.0,,,,,1.0,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1030476,Alden Škrijelj,alden-skrijelj,M,7,True,3.0,1.0,0.0,0.0,0.0,,,1.0,3.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,13.0,8.0,6.7,4.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,33.33333333333333,,0.0,100.0,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,F,9,True,8.0,6.0,0.0,0.0,0.0,,,5.0,7.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,13.0,9.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,75.0,,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1134689,Goran Aković,goran-akovic,G,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,F,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
15280993,home,6219,FK Jedinstvo Bijelo Polje,2444992,Balsa Barovic,balsa-barovic,F,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
15280993,away,36019,FK Mornar Bar,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,24,False,18.0,16.0,4.0,2.0,0.0,14.0,15.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,90.0,24.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,88.88888888888889,50.0,,,0.0,,,,
15280993,away,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,18.0,11.0,3.0,2.0,0.0,4.0,4.0,7.0,12.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,45.0,23.0,6.5,8.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,61.111111111111114,66.66666666666666,0.0,,,,,,
15280993,away,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,48.0,34.0,14.0,6.0,0.0,26.0,31.0,8.0,17.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,16.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,90.0,59.0,6.4,13.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,70.83333333333334,42.857142857142854,,,,,,,
15280993,away,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,False,19.0,16.0,7.0,5.0,0.0,9.0,11.0,7.0,7.0,0.0,0.0,5.0,6.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,14.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,66.0,24.0,6.8,7.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,11,5,2,3,84.21052631578947,71.42857142857143,,,,,,,
15280993,away,36019,FK Mornar Bar,171431,Nikola Stijepović,nikola-stijepovic,D,33,False,35.0,20.0,13.0,4.0,0.0,9.0,14.0,10.0,20.0,1.0,0.0,2.0,2.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,90.0,47.0,6.8,17.0,0.04,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,57.14285714285714,30.76923076923077,0.0,100.0,,1.0,,,
15280993,away,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,42.0,30.0,6.0,2.0,0.0,14.0,16.0,14.0,22.0,0.0,0.0,2.0,1.0,17.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,23.0,3.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0,,,,,,90.0,63.0,7.1,17.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",32,3,29,14,15,71.42857142857143,33.33333333333333,,,,,,2.0,
15280993,away,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,False,14.0,7.0,0.0,0.0,0.0,3.0,5.0,4.0,8.0,2.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,60.0,22.0,6.2,7.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,1,12,50.0,,50.0,0.0,,,,,
15280993,away,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,False,30.0,22.0,0.0,0.0,0.0,7.0,7.0,15.0,23.0,1.0,0.0,0.0,0.0,13.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,72.0,53.0,6.5,15.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,0,19,6,13,73.33333333333333,,0.0,100.0,,,,2.0,
