match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,fouls,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,dribbleValueNormalized,aerialLost,clearanceOffLine,outfielderBlock,wonTackle,unsuccessfulTouch,penaltyConceded,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalCross,accurateCross,challengeLost,totalOffside,onTargetScoringAttempt,shotValueNormalized,bigChanceCreated,bigChanceMissed,shotOffTarget,hitWoodwork,penaltyMiss,blockedScoringAttempt,penaltyWon,goals
14015613,away,308176,FK IMT Beograd,229722,Farid Boulaya,farid-boulaya,M,37,False,23.0,14.0,1.0,,0.0,5.0,6.0,9.0,17.0,,1.0,,4.0,,,,,,,58.0,31.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.8}",2,0.06,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,60.86956521739131,,50.0,,,4.0,2.0,,,,,,114.266044024,14.0,-20.311736300942,0.0,0.24,2.0,,,,,,1.0,,,1.0,2.0,1.0,,,1.0,-0.33,,,1.0,,,,,
14015613,away,308176,FK IMT Beograd,1588141,Rafael Batista da Silva Junior,rafael-batista-da-silva-junior,M,11,False,19.0,16.0,1.0,1.0,0.0,6.0,6.0,10.0,13.0,2.0,5.0,,2.0,,,,,,,68.0,33.0,6.9,7.0,,"{'original': 6.9, 'alternative': 7}",2,-0.08,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,84.21052631578947,100.0,,,,3.0,1.0,1.0,,,,1.0,96.99287097863,13.0,29.206196353029,0.0,0.12,,,,,2.0,,3.0,,,1.0,,,1.0,,1.0,-0.07,,,,,,1.0,,
14015613,away,308176,FK IMT Beograd,1917883,Oriyomi Lebi,oriyomi-lebi,F,19,False,13.0,12.0,,,0.0,1.0,1.0,11.0,12.0,1.0,7.0,,2.0,,,,,,,90.0,34.0,6.9,8.0,,"{'original': 6.9, 'alternative': 7.1}",4,0.14,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,6,6,92.3076923076923,,,100.0,,9.0,2.0,1.0,1.0,,1.0,3.0,57.387685420298,9.0,45.153483033807,1.0,0.26,3.0,,,1.0,5.0,,4.0,8.1829561778044,8.4339884396411,4.0,,,1.0,,1.0,-0.57,1.0,1.0,3.0,,,,1.0,
14015613,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,True,25.0,23.0,5.0,4.0,0.0,11.0,11.0,12.0,14.0,1.0,1.0,1.0,2.0,,,,,,,32.0,30.0,6.9,3.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.06,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,92.0,80.0,,,,1.0,1.0,,,,,,71.725801383346,11.0,35.78491073941,1.0,0.05,,,,,,,,17.348296461925,17.371712638655,1.0,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,True,7.0,4.0,,,0.0,2.0,3.0,2.0,4.0,1.0,2.0,,1.0,,,,,,,32.0,9.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,57.14285714285714,,,,,2.0,,,,,,1.0,44.723709419148,6.0,-8.5800183514593,0.0,0.07,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,True,7.0,7.0,,,0.0,,,7.0,7.0,,1.0,,,,,,,,,22.0,10.0,6.7,1.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.11,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,1.0,,,,,1.0,,36.997945254822,3.0,19.575321576637,1.0,0.07,,,,,1.0,,,20.755429027666,29.453112297345,,,,1.0,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,6.0,4.0,,,0.0,2.0,2.0,2.0,4.0,,3.0,,2.0,,,,,,,22.0,16.0,7.7,5.0,,"{'original': 7.7, 'alternative': 7.4}",1,0.02,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,66.66666666666666,,,,,2.0,,2.0,,,3.0,1.0,18.417009600313,2.0,7.0518179061615,1.0,0.04,,,,3.0,,,,11.496418004513,13.425644155868,,1.0,,,,1.0,0.51,,,,,,,,1.0
14015613,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,22.948280131635,1.0,16.682524365311,1.0,,,,,,,,,16.682524365311,22.948280131635,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,1897363,Josué Tiendrebeogo,josue-tiendrebeogo,M,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015613,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
