match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,interceptionWon,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,totalTackle,wonTackle,onTargetScoringAttempt,goals,shotValueNormalized,dispossessed,wonContest,bigChanceCreated,blockedScoringAttempt,outfielderBlock,totalOffside,shotOffTarget,hitWoodwork,ownGoals,bigChanceMissed,errorLeadToAGoal
14015628,away,308176,FK IMT Beograd,795899,Ognjen Čančarević,ognjen-cancarevic,G,55,False,32.0,19.0,23.0,10.0,0.0,12.0,16.0,7.0,16.0,,1.0,1.0,6.0,,,1.0,,,90.0,38.0,5.8,13.0,128.55759403471,15.0,42.733756027438,0.0,,"{'original': 5.8, 'alternative': 6.1}",0,0.25,0.01,-0.35,-0.94,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,59.375,43.47826086956522,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,
14015628,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,45.0,30.0,12.0,2.0,0.0,21.0,27.0,9.0,18.0,1.0,4.0,4.0,9.0,,,,,,90.0,80.0,6.0,25.0,242.75031540679,29.0,40.827005004168,2.0,,"{'original': 6, 'alternative': 6.3}",0,0.21,0.05,-0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,66.66666666666666,16.666666666666664,25.0,,,4.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,,1.0,25.793244125948,56.713414415062,1.0,3.0,2.0,,,,,,,,1.0,,,,,,
14015628,away,308176,FK IMT Beograd,791176,Vukašin Jovanović,vukasin-jovanovic,D,6,False,42.0,37.0,7.0,4.0,0.0,28.0,30.0,9.0,12.0,4.0,9.0,7.0,6.0,,,,,,90.0,58.0,6.5,5.0,136.4079818969,19.0,-1.2318719052462,0.0,,"{'original': 6.5, 'alternative': 7}",0,0.12,0.05,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,88.09523809523809,57.14285714285714,,,,,,1.0,5.0,2.0,,1.0,,1.0,2.0,,,1.0,4.0,3.0,,,,,,1.0,,,,,,,,
14015628,away,308176,FK IMT Beograd,836919,Stefan Šapić,stefan-sapic,D,65,False,37.0,27.0,3.0,1.0,0.0,18.0,24.0,9.0,13.0,6.0,7.0,10.0,1.0,,,,,,87.0,53.0,6.1,10.0,83.11352975878,12.0,-8.4570546437994,0.0,,"{'original': 6.1, 'alternative': 6.6}",1,-0.09,0.0,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,72.97297297297297,33.33333333333333,,,,,,,2.0,,,,,,2.0,,,,1.0,1.0,,,-0.31,,,,,,,1.0,1.0,1.0,,
14015628,away,308176,FK IMT Beograd,915043,Iván Martos,ivan-martos,D,3,False,50.0,29.0,14.0,2.0,0.0,12.0,18.0,17.0,32.0,1.0,6.0,,7.0,,,,,,90.0,75.0,6.1,26.0,232.00154280279,27.0,-13.031264761326,0.0,,"{'original': 6.1, 'alternative': 6.4}",1,0.4,0.03,-0.92,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,57.99999999999999,14.285714285714285,50.0,,,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,2.0,1.0,,,4.0,3.0,3.0,1.0,,0.12,,,,,,,,,,1.0,1.0
14015628,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,M,5,False,21.0,15.0,1.0,,0.0,9.0,11.0,6.0,10.0,1.0,4.0,,4.0,,,,,,45.0,30.0,6.6,10.0,56.392394499909,10.0,-4.6133003778567,0.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.04,0.1,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,71.42857142857143,,,66.66666666666666,,2.0,,,3.0,,3.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,2.0,,,,,,,,,
14015628,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,25.0,19.0,3.0,1.0,0.0,10.0,12.0,9.0,13.0,2.0,6.0,,3.0,,,,,,90.0,54.0,6.7,19.0,63.29963827511,9.0,40.353203772233,1.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.29,0.26,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,76.0,33.33333333333333,15.384615384615385,,,13.0,2.0,2.0,6.0,1.0,,,,2.0,1.0,16.949496315396,18.858701545971,2.0,2.0,1.0,,,,2.0,,,,1.0,,,,,,
14015628,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,24.0,13.0,,,0.0,3.0,4.0,10.0,20.0,,3.0,,6.0,,,,,,90.0,43.0,6.3,20.0,256.27838651935,20.0,101.85630495439,5.0,,"{'original': 6.3, 'alternative': 6.7}",1,-0.41,0.35,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,54.166666666666664,,14.285714285714285,50.0,,7.0,1.0,1.0,2.0,,2.0,,2.0,1.0,,35.067113397855,100.62710814444,,1.0,1.0,,,-0.07,,1.0,,1.0,,,,,,,
14015628,away,308176,FK IMT Beograd,229722,Farid Boulaya,farid-boulaya,M,37,False,15.0,12.0,1.0,1.0,0.0,4.0,5.0,8.0,10.0,,,,1.0,,,,,,45.0,24.0,6.3,10.0,118.29212399478,11.0,-27.897085189018,1.0,,"{'original': 6.3, 'alternative': 6.4}",1,0.06,0.11,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,80.0,100.0,,,,1.0,,1.0,4.0,,,,2.0,,,8.2972318849477,10.647644293458,,,,,,-0.35,3.0,,,,,,1.0,,,,
14015628,away,308176,FK IMT Beograd,1588141,Rafael Batista da Silva Junior,rafael-batista-da-silva-junior,M,11,False,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,1.0,4.0,,3.0,,,,,,45.0,21.0,6.0,10.0,85.731690747505,9.0,41.203031821213,2.0,,"{'original': 6, 'alternative': 6.6}",2,-0.27,0.1,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,80.0,,,,,1.0,,3.0,7.0,1.0,1.0,1.0,5.0,2.0,,20.885593460258,37.773441370766,,1.0,1.0,1.0,,-0.08,2.0,,,1.0,,,,1.0,,,
