match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,hitWoodwork,totalClearance,ballRecovery,errorLeadToAGoal,unsuccessfulTouch,penaltyConceded,fouls,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelWon,challengeLost,bigChanceCreated,onTargetScoringAttempt,goals,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,aerialLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,wasFouled,outfielderBlock,interceptionWon,totalCross,accurateCross,bigChanceMissed,shotOffTarget,blockedScoringAttempt,savedShotsFromInsideTheBox,errorLeadToAShot,penaltyWon,totalOffside
14015596,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,16.0,11.0,,,0.0,3.0,4.0,8.0,12.0,3.0,,,2.0,,2.0,,1.0,,,,,,90.0,31.0,9.2,9.0,101.32657535226,11.0,4.9958787791264,3.0,,"{'original': 9.2, 'alternative': 9.9}",6,-0.18,0.08,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,68.75,,,,,3.0,7.0,,,3.0,3.0,17.733098646533,46.905258538879,,0.73,1.0,,1.0,,2.0,1.0,2.0,,,,,,3.0,,,,1.0,1.0
14015596,away,43981,FK Radnički 1923,801236,Evandro,evandro,F,9,False,22.0,15.0,1.0,1.0,0.0,6.0,8.0,9.0,14.0,8.0,,,,,4.0,,3.0,,,,,,90.0,39.0,7.4,14.0,82.98552408175,9.0,25.583730614927,1.0,,"{'original': 7.4, 'alternative': 6.9}",1,0.01,0.12,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,7,5,68.18181818181817,100.0,,50.0,,1.0,8.0,,,,,19.381783650275,25.280874688191,1.0,-0.38,3.0,2.0,2.0,1.0,2.0,1.0,4.0,,,,,1.0,1.0,,,,,1.0
14015596,away,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,2.0,1.0,,,0.0,,,1.0,2.0,4.0,,1.0,,,2.0,,,,,,,,27.0,11.0,6.7,4.0,6.6034686555012,2.0,2.805411689457,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,-0.04,-0.25,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,50.0,,,,,2.0,4.0,2.0,,,,,,,,2.0,,,,,,2.0,1.0,,,,,,,,,,
14015596,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,M,8,True,8.0,4.0,2.0,1.0,0.0,3.0,3.0,1.0,5.0,4.0,,2.0,1.0,,3.0,,1.0,,,,,,27.0,22.0,6.2,9.0,24.749729509172,4.0,13.751776941414,0.0,,"{'original': 6.2, 'alternative': 6.2}",0,-0.12,0.07,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,50.0,50.0,,,,,1.0,3.0,,,,,,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,
14015596,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,True,9.0,8.0,,,0.0,6.0,7.0,2.0,2.0,3.0,,1.0,,,2.0,,,,,,,,13.0,13.0,6.6,3.0,12.881221915358,2.0,8.4208732031138,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.07,0.0,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,5,0,0,0,88.88888888888889,,,,,2.0,2.0,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,
14015596,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,4.0,3.0,,,0.0,1.0,1.0,2.0,3.0,1.0,,,,,2.0,,,,,,,,13.0,11.0,6.6,4.0,3.3812259610975,1.0,-0.45933827183278,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.06,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,75.0,,,,,,2.0,,,,,,,,,1.0,,,,2.0,1.0,,,,1.0,,,,,,,,
14015596,away,43981,FK Radnički 1923,1468038,Miloš Mladenović,milos-mladenovic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015596,away,43981,FK Radnički 1923,1146073,Bogdan Marinkovic,bogdan-marinkovic,G,92,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015596,away,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015596,away,43981,FK Radnički 1923,1924383,Srđan Borovina,srdjan-borovina,F,40,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
