match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,bigChanceCreated,shotOffTarget,blockedScoringAttempt,fouls,keyPass,shotValueNormalized,challengeLost,outfielderBlock,interceptionWon,errorLeadToAShot,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,totalTackle,wonTackle,penaltyConceded,totalContest,dispossessed,wonContest,accurateCross,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,errorLeadToAGoal,hitWoodwork,lastManTackle,penaltyMiss,penaltyWon
14015577,away,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,22.0,13.0,6.0,2.0,0.0,9.0,11.0,4.0,11.0,5.0,5.0,,,,,,,,,80.0,51.0,6.7,19.0,17.190872068773,3.0,7.3412672372842,0.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.06,0.1,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,59.09090909090909,33.33333333333333,66.66666666666666,100.0,,3.0,1.0,2.0,4.0,7.0,,1.0,,1.0,,-0.13,2.0,,,,2.0,1.0,,,2.0,1.0,,2.0,,2.0,2.0,,,1.0,,,1.0,,,
14015577,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,35.0,18.0,15.0,4.0,0.0,8.0,13.0,10.0,22.0,6.0,4.0,,,,,,,,,90.0,51.0,6.2,18.0,50.697216332228,6.0,13.255542044364,0.0,,"{'original': 6.2, 'alternative': 6.5}",0,0.13,0.02,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,51.42857142857142,26.666666666666668,,,,,1.0,1.0,2.0,4.0,,,,1.0,,,,,1.0,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,
14015577,away,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,31.0,19.0,11.0,1.0,0.0,12.0,16.0,7.0,15.0,14.0,3.0,,,,,,,,,90.0,54.0,6.2,15.0,128.97976997261,14.0,38.641580998407,0.0,,"{'original': 6.2, 'alternative': 6.7}",1,0.09,0.04,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,61.29032258064516,9.090909090909092,,,,2.0,1.0,3.0,3.0,5.0,,1.0,,,,-0.29,2.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,
14015577,away,5148,FK Čukarički,1457404,Emmanuel Dzigbah,emmanuel-dzigbah,D,42,False,13.0,9.0,1.0,,0.0,6.0,7.0,3.0,6.0,,1.0,,,,,,,,,45.0,32.0,6.3,12.0,35.910124098372,7.0,-1.7963786476019,0.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.01,-0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,69.23076923076923,,,,,,1.0,,3.0,2.0,,,,,,,,1.0,,,3.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,
14015577,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,33.0,22.0,11.0,4.0,0.0,4.0,9.0,18.0,24.0,4.0,3.0,,,,,,,,,90.0,53.0,6.7,15.0,50.738347703662,9.0,-24.114249258429,0.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.08,0.08,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,5,2,66.66666666666666,36.36363636363637,,,,,1.0,3.0,3.0,8.0,,,,1.0,1.0,,,,1.0,,2.0,2.0,,,3.0,1.0,,1.0,,,,,,,,,,,,
14015577,away,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,42.0,27.0,10.0,1.0,0.0,8.0,13.0,19.0,29.0,3.0,7.0,,,,,,,,,90.0,65.0,6.9,22.0,170.82842310953,16.0,76.704322342995,1.0,,"{'original': 6.9, 'alternative': 7.1}",1,0.23,0.19,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,64.28571428571429,10.0,50.0,100.0,,4.0,3.0,1.0,5.0,2.0,2.0,1.0,,2.0,2.0,-0.08,,3.0,,,3.0,,25.188826403571,25.226500668939,,,,1.0,1.0,1.0,2.0,,,,,,,,,
14015577,away,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,M,20,False,8.0,4.0,,,0.0,2.0,3.0,2.0,5.0,,1.0,,,,,,,,,61.0,27.0,6.1,11.0,49.631482691853,4.0,43.890780079033,2.0,,"{'original': 6.1, 'alternative': 6.8}",3,-0.24,0.13,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,3,6,50.0,,,33.33333333333333,,2.0,2.0,1.0,8.0,4.0,,2.0,1.0,1.0,,-0.25,2.0,,,,2.0,1.0,22.567504916217,39.425624013754,1.0,1.0,,3.0,1.0,1.0,,,,1.0,1.0,,1.0,,,
14015577,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,22.0,18.0,2.0,1.0,0.0,9.0,9.0,9.0,13.0,,8.0,,,,,,,,,80.0,34.0,5.7,11.0,62.120096491713,10.0,18.773260080478,0.0,,"{'original': 5.7, 'alternative': 6.1}",2,0.08,0.22,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,81.81818181818183,50.0,,,,1.0,1.0,,4.0,2.0,,,1.0,,2.0,-0.92,,,,,3.0,2.0,,,,,,1.0,2.0,,,1.0,,1.0,,,,,1.0,
14015577,away,5148,FK Čukarički,1865407,Luka Đorđević,luka-djordevic,M,19,False,24.0,17.0,1.0,,0.0,5.0,7.0,12.0,17.0,,5.0,,,,,,,,,90.0,37.0,6.2,13.0,269.80359852615,18.0,83.898180139279,7.0,,"{'original': 6.2, 'alternative': 6.7}",3,-0.06,0.6,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,70.83333333333334,,,75.0,,3.0,2.0,,8.0,4.0,,1.0,1.0,4.0,2.0,-0.54,,,,,1.0,1.0,22.40033094158,142.3769928,,,,4.0,1.0,3.0,,1.0,,,1.0,,,,,
14015577,away,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,19.0,8.0,2.0,,0.0,6.0,9.0,2.0,10.0,1.0,,,,,,,,,,90.0,28.0,6.8,14.0,14.169431977412,2.0,11.077906922689,0.0,,"{'original': 6.8, 'alternative': 6.9}",1,-0.14,0.06,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,12,5,2,3,42.10526315789473,,,,,,5.0,7.0,8.0,9.0,,,1.0,2.0,,-0.22,,,,,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,1.0
