match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,interceptionWon,blockedScoringAttempt,dispossessed,keyPass,shotOffTarget
14147382,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,40.0,28.0,8.0,4.0,0.0,21.0,25.0,10.0,1.0,0.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,48.0,6.8,11.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,70.0,50.0,0.0,,,5.0,1.0,,,,
14147382,away,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,36.0,24.0,10.0,2.0,0.0,15.0,20.0,14.0,0.0,0.0,1.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,43.0,7.2,14.0,0.05,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,2,2,66.66666666666666,20.0,,,,8.0,1.0,,,,1.0
14147382,away,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,38.0,21.0,11.0,4.0,0.0,10.0,20.0,18.0,3.0,0.0,3.0,5.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,47.0,6.8,18.0,0.0,0.01,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,8,9,4,5,55.26315789473685,36.36363636363637,0.0,,,11.0,,,,1.0,
14147382,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,26.0,18.0,6.0,3.0,0.0,4.0,5.0,15.0,0.0,0.0,2.0,2.0,8.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,86.0,40.0,7.2,11.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,69.23076923076923,50.0,,50.0,,9.0,4.0,,,,
14147382,away,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,M,10,False,37.0,26.0,4.0,3.0,0.0,10.0,11.0,24.0,3.0,1.0,4.0,3.0,15.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,,,,,,,90.0,58.0,6.9,17.0,0.04,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,7,19,8,11,70.27027027027027,75.0,33.33333333333333,100.0,,14.0,1.0,,2.0,,1.0
14147382,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,33.0,27.0,5.0,2.0,0.0,12.0,14.0,18.0,0.0,0.0,2.0,2.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,,,,,,,90.0,48.0,6.9,11.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,5,9,81.81818181818183,40.0,,,,15.0,1.0,,,,
14147382,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,18.0,10.0,4.0,1.0,0.0,3.0,4.0,12.0,3.0,1.0,3.0,1.0,7.0,7.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,,,,,,,65.0,37.0,7.7,9.0,0.24,0.0,"{'original': 7.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,6,4,55.55555555555556,25.0,33.33333333333333,75.0,,6.0,3.0,,,,2.0
14147382,away,327162,Mladost DG,978475,Stephano Almeida,stephano-almeida,M,27,False,18.0,12.0,3.0,2.0,0.0,3.0,4.0,13.0,1.0,0.0,9.0,1.0,18.0,5.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,86.0,34.0,6.7,15.0,0.0,0.18,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,10,13,4,9,66.66666666666666,66.66666666666666,0.0,50.0,,9.0,,,1.0,2.0,
14147382,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,20.0,15.0,2.0,1.0,0.0,4.0,4.0,15.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,65.0,31.0,6.7,9.0,0.0,0.06,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,2,9,75.0,50.0,0.0,,,11.0,1.0,,1.0,2.0,
14147382,away,327162,Mladost DG,871881,Rodrigo Faust,rodrigo-faust,F,9,False,18.0,10.0,1.0,0.0,0.0,,2.0,16.0,2.0,1.0,6.0,3.0,9.0,9.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,76.0,33.0,7.2,16.0,0.04,0.0,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,9,9,6,3,55.55555555555556,0.0,50.0,100.0,,10.0,,,1.0,,1.0
14147382,away,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,M,66,True,8.0,4.0,2.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,25.0,13.0,6.8,2.0,0.14,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,50.0,50.0,0.0,100.0,,2.0,1.0,1.0,,,
14147382,away,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,True,10.0,4.0,3.0,2.0,0.0,1.0,1.0,9.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,25.0,17.0,6.7,8.0,0.0,0.14,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,40.0,66.66666666666666,33.33333333333333,50.0,,3.0,,,,1.0,
14147382,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,True,1.0,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,14.0,2.0,6.5,2.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,100.0,,,,,1.0,,,,,
14147382,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,True,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,4.0,1.0,6.6,0.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,,,,,,,,,,,
