match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,challengeLost,totalContest,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,shotValueNormalized,totalCross,wonContest,shotOffTarget,outfielderBlock,ownGoals,fouls,wasFouled,keyPass,aerialLost,onTargetScoringAttempt,bestBallCarryProgression,totalProgressiveBallCarriesDistance,dispossessed,bigChanceCreated,penaltyWon,accurateCross,goals,bigChanceMissed,totalOffside,penaltyFaced,errorLeadToAShot,clearanceOffLine,penaltyConceded,hitWoodwork
14015590,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,14.0,7.0,1.0,1.0,0.0,1.0,4.0,6.0,10.0,2.0,5.0,,2.0,,,,67.0,29.0,6.2,13.0,50.029417893376,8.0,18.0745651342,0.0,,"{'original': 6.2, 'alternative': 6.4}",1,0.06,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,11,7,3,4,50.0,100.0,,50.0,,13.0,,2.0,,1.0,,,3.0,-0.55,,1.0,,,,1.0,2.0,,9.0,1.0,,,2.0,,,,,1.0,,,,,,
14015590,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,7.0,6.0,,,0.0,3.0,3.0,3.0,4.0,2.0,3.0,,,,,,23.0,12.0,6.7,1.0,5.7408393114596,1.0,5.4013458675669,1.0,,"{'original': 6.7, 'alternative': 6.4}",1,0.03,0.23,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,85.71428571428571,,,,,1.0,,,,1.0,1.0,,,-0.51,,,1.0,,,,,,1.0,,5.4013458675669,5.7408393114596,,,,,,1.0,,,,,,
14015590,home,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,0.0,,,,0.0,,,,,,,,8.0,3.0,6.5,3.0,9.2748989654327,2.0,7.3983951031355,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.02,0.02,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,885516,Veljko Kijevčanin,veljko-kijevcanin,M,5,True,7.0,5.0,,,0.0,2.0,4.0,3.0,3.0,,1.0,,2.0,,,,8.0,9.0,6.6,2.0,23.898218422399,3.0,8.3315474032158,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.02,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,71.42857142857143,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,
14015590,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,1.0,,,,8.0,5.0,6.5,3.0,9.5927467183191,2.0,0.21056769611134,0.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.03,-0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,D,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,home,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015590,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,31.0,17.0,18.0,5.0,0.0,15.0,24.0,2.0,7.0,,,,5.0,1.0,2.0,,90.0,36.0,6.9,14.0,70.002199435862,11.0,19.331109134404,0.0,0.3165,"{'original': 6.9, 'alternative': 6.6}",0,0.09,-0.02,-0.15,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,54.83870967741935,27.77777777777778,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
14015590,away,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,49.0,37.0,7.0,3.0,0.0,18.0,20.0,19.0,29.0,1.0,3.0,1.0,5.0,,,,90.0,67.0,6.2,17.0,180.37133620142,19.0,103.43454229978,1.0,,"{'original': 6.2, 'alternative': 6.5}",3,0.23,0.17,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,75.51020408163265,42.857142857142854,33.33333333333333,,,5.0,2.0,1.0,1.0,,1.0,1.0,2.0,-0.1,3.0,,2.0,,,2.0,1.0,1.0,,,30.419586861131,32.089908460449,,,,1.0,,,,,,,,
