match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget,blockedScoringAttempt
14147300,away,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,26.0,22.0,9.0,5.0,0.0,18.0,21.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,90.0,27.0,5.8,2.0,0.0,0.0,"{'original': 5.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,84.61538461538461,55.55555555555556,,,,,,,
14147300,away,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,False,47.0,34.0,5.0,1.0,0.0,16.0,19.0,17.0,27.0,2.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,56.0,6.4,15.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,72.3404255319149,20.0,50.0,,,1.0,1.0,,
14147300,away,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,False,69.0,60.0,4.0,2.0,0.0,34.0,37.0,25.0,30.0,0.0,0.0,2.0,2.0,11.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,83.0,6.3,11.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,1,9,86.95652173913044,50.0,,,,,,,
14147300,away,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,53.0,44.0,5.0,4.0,0.0,25.0,28.0,18.0,24.0,0.0,0.0,2.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,69.0,6.4,11.0,0.01,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,2,4,83.01886792452831,80.0,,,,,,1.0,
14147300,away,327162,Mladost DG,1381381,Matije Badnjar,matije-badnjar,D,3,False,49.0,37.0,7.0,3.0,0.0,22.0,24.0,15.0,25.0,3.0,0.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,83.0,58.0,6.4,12.0,0.0,0.06,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,75.51020408163265,42.857142857142854,0.0,100.0,,,1.0,,
14147300,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,48.0,45.0,1.0,1.0,1.0,16.0,16.0,27.0,30.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,,,,,,,89.0,62.0,7.2,3.0,0.03,0.05,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,5,5,93.75,100.0,50.0,100.0,,,1.0,1.0,
14147300,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,52.0,47.0,9.0,6.0,0.0,16.0,16.0,30.0,35.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,83.0,65.0,6.9,4.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,6,5,90.38461538461539,66.66666666666666,,100.0,,,,,
14147300,away,35223,Mladost DG,1648560,Nikola Pavličević,nikola-pavlicevic,M,11,False,16.0,13.0,0.0,0.0,0.0,1.0,1.0,10.0,13.0,2.0,2.0,1.0,0.0,4.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,69.0,28.0,7.1,8.0,0.0,0.04,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,81.25,,100.0,100.0,,,1.0,,
14147300,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,20.0,13.0,1.0,1.0,0.0,4.0,5.0,8.0,14.0,2.0,0.0,1.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,69.0,31.0,6.5,10.0,0.0,0.07,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,65.0,100.0,0.0,0.0,,1.0,1.0,1.0,
14147300,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,38.0,29.0,2.0,0.0,0.0,11.0,11.0,16.0,25.0,5.0,0.0,1.0,0.0,13.0,12.0,0.0,10.0,8.0,2.0,1.0,2.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,,,,,,,90.0,68.0,8.1,15.0,0.42,0.0,"{'original': 8.1, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,1,24,12,12,76.31578947368422,0.0,0.0,80.0,,1.0,,2.0,1.0
14147300,away,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,F,18,False,21.0,18.0,2.0,0.0,0.0,8.0,8.0,10.0,12.0,1.0,1.0,3.0,0.0,7.0,4.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,,,,,,,90.0,36.0,7.4,9.0,0.15,0.06,"{'original': 7.4, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,85.71428571428571,0.0,100.0,66.66666666666666,,1.0,1.0,1.0,1.0
14147300,away,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,M,10,True,17.0,12.0,2.0,1.0,0.0,2.0,2.0,10.0,15.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,21.0,20.0,6.6,6.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,70.58823529411765,50.0,0.0,,,,,,
14147300,away,327162,Mladost DG,1620437,Jagoš Roganović,jagos-roganovic,F,29,True,6.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,21.0,10.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,100.0,,,,,,,,
14147300,away,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,True,13.0,9.0,2.0,2.0,0.0,2.0,3.0,7.0,9.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,7.0,13.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,69.23076923076923,100.0,33.33333333333333,,,,,,
14147300,away,327162,Mladost DG,1149286,Nikola Radusinović,nikola-radusinovic,M,16,True,5.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.0,5.0,6.6,0.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,,,,
14147300,away,6225,Mladost DG,804420,Zeljko Krstovic,zeljko-krstovic,M,19,True,2.0,1.0,1.0,0.0,0.0,,,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,2.0,,1.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,50.0,0.0,,,,,,,
14147300,away,327162,Mladost DG,1094114,Rajko Boljević,rajko-boljevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147300,away,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147300,away,37958,Mladost DG,1005618,Nikola Vukotić,nikola-vukotic,D,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147300,away,327162,Mladost DG,2060338,Andrej Bozovic,andrej-bozovic,M,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
