match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,aerialLost,challengeLost,shotOffTarget,interceptionWon,fouls,shotValueNormalized,outfielderBlock,errorLeadToAShot,dispossessed,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,totalOffside,goals,bigChanceMissed,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper
14015432,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,home,229348,FK Radnik Surdulica,1982078,Uroš Filimonović,uros-filimonovic,M,22,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,29.0,22.0,18.0,11.0,0.0,17.0,19.0,5.0,10.0,,,1.0,8.0,,2.0,,90.0,36.0,6.7,7.0,0.3795,"{'original': 6.7, 'alternative': 6.8}",0,0.16,-0.03,0.14,0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.86206896551724,61.111111111111114,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
14015432,away,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,False,38.0,36.0,2.0,2.0,0.0,30.0,32.0,6.0,6.0,4.0,8.0,7.0,5.0,,,,90.0,59.0,7.2,4.0,,"{'original': 7.2, 'alternative': 7}",0,0.02,0.08,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,4,0,94.73684210526315,100.0,,100.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,79.0,67.0,11.0,4.0,0.0,58.0,61.0,9.0,18.0,7.0,9.0,6.0,3.0,,,,90.0,93.0,7.0,12.0,,"{'original': 7, 'alternative': 6.9}",2,0.25,0.04,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,10,4,2,2,84.81012658227847,36.36363636363637,,,,,,5.0,,,2.0,2.0,,,,3.0,1.0,1.0,2.0,1.0,-0.06,,,,,1.0,,,,,,,
14015432,away,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,False,79.0,67.0,15.0,6.0,0.0,52.0,56.0,15.0,23.0,7.0,8.0,7.0,2.0,,,,90.0,99.0,7.0,21.0,,"{'original': 7, 'alternative': 7.2}",0,0.13,0.07,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,10,1,1,0,84.81012658227847,40.0,20.0,,,10.0,2.0,3.0,,,1.0,1.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,52.0,48.0,5.0,2.0,0.0,26.0,27.0,22.0,25.0,3.0,5.0,3.0,5.0,,,,90.0,76.0,6.9,12.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.21,0.08,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,2,5,92.3076923076923,40.0,,50.0,,1.0,,7.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,2.0,,3.0,,,,,,,,,
14015432,away,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,False,43.0,35.0,2.0,1.0,0.0,26.0,29.0,9.0,14.0,1.0,8.0,6.0,4.0,,,,90.0,65.0,6.7,13.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.02,0.03,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,7,7,81.3953488372093,50.0,,25.0,,,,9.0,4.0,1.0,6.0,3.0,2.0,,,2.0,1.0,,1.0,3.0,,,,,,,,,,,,,
14015432,away,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,15.0,10.0,2.0,1.0,0.0,3.0,4.0,7.0,11.0,,4.0,,1.0,,,,68.0,30.0,6.3,14.0,,"{'original': 6.3, 'alternative': 6.5}",1,-0.14,0.1,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,66.66666666666666,50.0,,40.0,,1.0,,8.0,5.0,2.0,2.0,1.0,3.0,,,2.0,2.0,1.0,,,-0.53,,,1.0,,,,,,1.0,,,
14015432,away,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,37.0,28.0,4.0,3.0,0.0,14.0,16.0,14.0,21.0,3.0,6.0,,9.0,,,,90.0,46.0,6.8,12.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.02,0.14,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,75.67567567567568,75.0,,25.0,,,,5.0,4.0,1.0,,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,
