match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,onTargetScoringAttempt,outfielderBlock,interceptionWon,keyPass,shotValueNormalized,accurateCross,challengeLost,totalContest,wonContest,totalOffside,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,ownGoals,bigChanceCreated,bigChanceMissed
14015402,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,home,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,25.0,9.0,20.0,4.0,0.0,8.0,12.0,13.0,,,5.0,,1.0,2.0,90.0,30.0,6.2,16.0,0.0107,"{'original': 6.2, 'alternative': 6.4}",0,0.0,,-0.07,0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,36.0,20.0,,,100.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,
14015402,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,16.0,13.0,,,0.0,8.0,9.0,7.0,1.0,11.0,5.0,5.0,,,90.0,44.0,6.7,10.0,,"{'original': 6.7, 'alternative': 6.6}",2,0.01,0.19,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,10,7,81.25,,,25.0,,5.0,1.0,8.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,-0.25,,2.0,4.0,1.0,,1.0,,,,,
14015402,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,25.0,18.0,7.0,1.0,0.0,11.0,11.0,14.0,2.0,6.0,,1.0,,,90.0,45.0,6.3,13.0,,"{'original': 6.3, 'alternative': 6.8}",1,0.11,0.07,-0.68,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,72.0,14.285714285714285,,66.66666666666666,,7.0,2.0,4.0,,4.0,1.0,,,2.0,,1.0,,,3.0,1.0,-0.19,,1.0,3.0,2.0,,,,,1.0,,
14015402,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,D,5,False,24.0,21.0,5.0,2.0,0.0,19.0,19.0,5.0,1.0,4.0,4.0,,,,90.0,42.0,7.2,8.0,,"{'original': 7.2, 'alternative': 7.3}",0,0.42,0.09,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,3,0,87.5,40.0,50.0,100.0,,2.0,8.0,1.0,,4.0,2.0,,1.0,,1.0,,,,,4.0,,4.0,,1.0,1.0,,,,,,2.0,
14015402,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,27.0,22.0,4.0,1.0,0.0,19.0,21.0,6.0,2.0,3.0,3.0,,,,90.0,42.0,6.4,6.0,,"{'original': 6.4, 'alternative': 6.9}",1,0.04,0.01,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,81.48148148148148,25.0,,,,3.0,,4.0,,7.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,,-0.33,,,,,,,,,,,1.0
14015402,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,False,27.0,12.0,7.0,3.0,0.0,7.0,10.0,17.0,1.0,4.0,4.0,3.0,,,90.0,56.0,7.3,25.0,,"{'original': 7.3, 'alternative': 6.6}",0,0.03,0.16,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,44.44444444444444,42.857142857142854,,,,5.0,4.0,5.0,,6.0,,,2.0,3.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,
14015402,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,30.0,29.0,4.0,3.0,0.0,16.0,16.0,14.0,1.0,9.0,7.0,2.0,,,79.0,43.0,7.4,2.0,,"{'original': 7.4, 'alternative': 7.5}",1,0.1,0.11,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,8,3,96.66666666666667,75.0,,100.0,,13.0,1.0,3.0,,,3.0,1.0,,2.0,,,1.0,,,,0.01,,1.0,3.0,3.0,,,,,,,
14015402,away,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,M,32,False,19.0,12.0,3.0,3.0,0.0,4.0,6.0,13.0,3.0,8.0,3.0,4.0,,,72.0,37.0,6.6,16.0,,"{'original': 6.6, 'alternative': 6.5}",2,0.0,0.07,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,5,7,63.1578947368421,100.0,,25.0,,8.0,2.0,8.0,1.0,,,,3.0,2.0,1.0,2.0,,,,,-0.25,,1.0,4.0,1.0,,,,,,,
