match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,expectedGoals,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,hitWoodwork,interceptionWon,offsides,passes,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,yellowCards
14147327,327162,Mladost DG,away,8,20,382,1,10,55,4,5,13,24,44,2.03,15,3,8,3,62,1,6,1,457,0,3,8,21,14,9,16,7,7,0
14147328,6219,FK Jedinstvo Bijelo Polje,home,4,27,232,1,20,40,1,3,8,12,36,0.83,10,3,12,3,43,0,19,1,317,0,7,7,28,24,4,15,11,6,0
14147328,6216,OFK Petrovac,away,5,29,380,4,19,60,5,11,15,16,34,0.85,9,1,8,6,41,0,15,3,471,0,9,3,32,16,6,17,11,4,2
14147329,36019,FK Mornar Bar,home,8,25,289,0,17,59,2,8,16,15,43,1.31,12,5,4,2,71,1,15,0,383,0,5,4,35,14,5,12,7,4,4
14147329,5143,FK Budućnost Podgorica,away,2,18,174,2,14,41,3,3,3,11,32,0.58,23,2,11,3,48,0,12,4,278,0,3,3,35,21,5,9,4,3,5
14147330,37956,FK Arsenal Tivat,home,3,29,232,0,24,44,1,3,2,6,34,0.38,16,0,5,3,25,0,6,2,342,0,1,2,35,6,1,4,3,1,0
14147330,6226,FK Dečić Tuzi,away,7,48,371,7,31,56,3,1,7,16,40,0.41,8,1,6,2,46,0,20,0,454,0,3,3,32,7,5,9,4,1,2
14147331,24312,FK Jezero,home,6,28,477,0,13,65,5,7,6,20,37,1.62,12,3,8,5,55,0,14,2,571,0,5,3,26,14,8,13,5,4,1
14147331,6219,FK Jedinstvo Bijelo Polje,away,3,19,197,2,12,35,0,2,7,14,33,1.4,15,2,13,2,50,0,24,2,280,0,5,7,26,26,7,12,5,6,0
14147332,6216,OFK Petrovac,home,4,36,283,0,17,53,4,5,6,18,41,1.43,12,4,8,2,45,0,8,4,383,0,6,4,21,11,6,14,8,3,2
14147332,36019,FK Mornar Bar,away,2,35,239,2,25,47,2,4,7,12,35,1.42,14,2,9,3,32,0,20,1,333,0,3,3,28,16,3,8,5,4,1
14147333,6226,FK Dečić Tuzi,home,15,36,512,1,33,69,6,10,3,14,45,1.3,12,1,5,3,30,1,6,1,590,0,5,6,27,17,9,18,9,4,2
14147333,7581,FK Bokelj Kotor,away,4,35,164,0,22,31,1,2,7,11,36,0.7,11,1,8,7,33,0,14,2,235,0,1,5,20,24,4,7,3,2,1
14147334,7581,FK Bokelj Kotor,home,3,25,198,3,12,42,2,6,11,8,37,1.43,11,3,5,1,44,1,20,4,286,0,2,5,35,14,4,10,6,3,1
14147334,5143,FK Budućnost Podgorica,away,5,25,423,4,25,58,2,4,10,12,41,0.57,17,1,7,5,37,0,17,2,500,0,4,3,15,23,4,9,5,2,2
14147335,327162,Mladost DG,home,1,31,353,0,10,58,0,7,4,14,34,1.99,10,1,4,1,43,2,14,1,450,0,4,4,33,9,8,10,2,4,2
14147335,37956,FK Arsenal Tivat,away,4,25,250,1,19,42,2,2,7,8,32,0.62,12,2,9,2,39,0,20,3,335,0,2,1,32,20,2,5,3,2,1
14147336,6219,FK Jedinstvo Bijelo Polje,home,3,37,323,3,24,52,2,6,10,9,37,0.66,17,1,7,2,50,0,13,3,404,0,7,3,22,20,5,12,7,8,0
14147336,6224,FK Sutjeska Nikšić,away,1,27,263,0,24,48,2,2,20,14,31,0.16,7,3,10,3,41,0,13,5,350,0,3,2,27,23,0,7,7,1,0
14147337,36019,FK Mornar Bar,home,2,23,227,0,12,43,0,4,7,8,33,1.4,17,1,11,5,39,1,17,0,307,1,4,3,19,26,5,8,3,3,7
14147337,24312,FK Jezero,away,8,22,448,6,9,57,2,8,9,12,35,1.88,10,1,5,2,46,0,15,1,536,0,7,6,22,8,7,15,8,5,0
14147338,5143,FK Budućnost Podgorica,home,4,36,460,1,9,59,0,5,1,12,39,0.73,15,0,4,4,34,0,19,3,557,0,6,6,30,15,7,12,5,3,5
14147338,6216,OFK Petrovac,away,0,28,290,4,9,41,2,3,8,5,32,1.03,12,3,11,5,29,0,27,1,367,0,3,5,19,22,5,10,5,3,1
14147339,327162,Mladost DG,home,5,31,475,2,16,70,3,7,13,25,39,1.54,6,2,6,6,53,0,15,2,568,0,6,3,33,14,8,12,4,6,0
14147339,6226,FK Dečić Tuzi,away,2,19,175,1,24,30,0,3,4,17,34,2.53,16,1,12,3,39,0,13,0,250,0,2,8,21,25,8,10,2,3,3
14147340,36019,FK Mornar Bar,home,7,21,220,0,17,48,2,7,13,14,40,1.52,13,3,8,1,54,0,21,0,291,1,5,6,28,38,9,13,4,3,5
14147340,6224,FK Sutjeska Nikšić,away,7,23,256,3,14,52,1,4,8,11,36,0.39,16,5,6,5,55,1,12,3,348,0,6,1,39,16,4,9,5,8,2
14147341,6219,FK Jedinstvo Bijelo Polje,home,8,27,388,3,21,64,2,1,15,23,38,0.39,20,6,4,4,57,0,7,3,464,0,1,3,32,11,3,6,3,3,2
14147341,37956,FK Arsenal Tivat,away,3,21,197,2,18,36,0,3,1,11,36,0.4,16,4,8,3,52,0,13,6,288,1,2,4,16,21,2,6,4,4,3
14147342,7581,FK Bokelj Kotor,home,6,22,221,1,18,35,2,0,4,13,30,1.2,16,3,8,4,38,0,16,1,297,0,1,2,25,14,3,5,2,6,0
14147342,6216,OFK Petrovac,away,6,27,454,1,22,65,5,3,5,24,42,2.91,15,3,5,1,56,0,12,5,538,0,6,6,33,12,6,17,11,2,2
