match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,wasFouled,challengeLost,fouls,aerialLost,aerialWon,blockedScoringAttempt,shotValueNormalized,bigChanceCreated,keyPass,totalContest,penaltyWon,shotOffTarget,onTargetScoringAttempt,accurateCross,wonContest,bigChanceMissed,goals,outfielderBlock,penaltyFaced,punches,penaltyConceded
14015479,home,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,21.0,17.0,,,0.0,3.0,3.0,18.0,1.0,,,,,,89.0,33.0,7.0,10.0,,"{'original': 7, 'alternative': 7.2}",2,0.06,0.14,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,80.95238095238095,,,,,14.0,,3.0,2.0,1.0,1.0,,1.0,1.0,,4.0,1.0,,,1.0,,1.0,0.32,,1.0,1.0,,,1.0,,,,1.0,,,,
14015479,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,21.0,20.0,1.0,1.0,0.0,5.0,5.0,16.0,4.0,,,,,,45.0,33.0,7.0,6.0,,"{'original': 7, 'alternative': 6.8}",1,-0.09,0.36,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,95.23809523809523,100.0,,,,15.0,1.0,5.0,2.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,,,1.0,-0.2,,,1.0,,,,,,,,1.0,,,
14015479,home,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,56.0,53.0,3.0,3.0,0.0,22.0,23.0,33.0,6.0,,,,,,45.0,62.0,7.3,3.0,,"{'original': 7.3, 'alternative': 7}",0,0.26,0.16,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,94.64285714285714,100.0,,,,31.0,,2.0,3.0,,1.0,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,25.0,19.0,1.0,1.0,0.0,2.0,2.0,23.0,,,,,,,26.0,31.0,6.4,8.0,,"{'original': 6.4, 'alternative': 7.2}",1,0.08,0.1,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,76.0,100.0,,,,17.0,2.0,2.0,2.0,,,,2.0,1.0,,,,1.0,,1.0,,,-0.38,,3.0,,,1.0,,,,,,,,,
14015479,home,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,,,,,0.0,,,,1.0,,,,,,1.0,3.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,,,,100.0,,,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,
14015479,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,1.0,1.0,,,0.0,1.0,1.0,,1.0,,,,,,13.0,7.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.1}",3,0.01,0.31,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,100.0,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,-0.61,,,1.0,,1.0,2.0,,1.0,2.0,,,,,
14015479,home,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015479,home,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015479,home,5152,FK Partizan,1124029,Mateja Milovanović,mateja-milovanovic,D,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015479,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,19.0,9.0,17.0,7.0,0.0,5.0,10.0,9.0,10.0,1.0,4.0,5.0,1.0,1.0,90.0,33.0,7.5,10.0,0.7213,"{'original': 7.5, 'alternative': 7.8}",0,0.07,-0.03,0.22,0.55,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,47.368421052631575,41.17647058823529,,,100.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
14015479,away,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,40.0,29.0,5.0,1.0,0.0,18.0,23.0,17.0,8.0,,,,,,90.0,58.0,7.0,14.0,,"{'original': 7, 'alternative': 6.9}",0,0.02,0.04,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,72.5,20.0,,100.0,,11.0,,2.0,3.0,1.0,4.0,,2.0,2.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,
14015479,away,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,33.0,24.0,4.0,1.0,0.0,21.0,27.0,6.0,7.0,,,,,,90.0,47.0,6.5,10.0,,"{'original': 6.5, 'alternative': 6.8}",0,-0.01,0.06,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,72.72727272727273,25.0,,,,3.0,,3.0,4.0,,6.0,1.0,1.0,,,1.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,
14015479,away,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,D,6,False,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,30.0,3.0,4.5,,,"{'original': 4.5, 'alternative': 4.8}",0,0.0,,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,,,,,,,2.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
