match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalOffside,shotValueNormalized,outfielderBlock,interceptionWon,wonContest,goals,accurateCross,bigChanceCreated,keyPass,bigChanceMissed,savedShotsFromInsideTheBox
14015467,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,home,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,home,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,home,241802,FK Radnik Surdulica,357742,Pedro Empis,empis-pedro,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,away,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,26.0,20.0,10.0,5.0,0.0,16.0,18.0,4.0,8.0,,1.0,,9.0,1.0,,3.0,,90.0,35.0,7.1,6.0,0.1872,"{'original': 7.1, 'alternative': 6.7}",0,0.03,0.01,-0.12,0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,76.92307692307693,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
14015467,away,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,20.0,15.0,1.0,,0.0,8.0,10.0,7.0,10.0,2.0,3.0,8.0,4.0,,,,,90.0,52.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.9}",0,0.06,0.02,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,75.0,,,100.0,,1.0,2.0,5.0,2.0,,1.0,,,,,,3.0,1.0,,,,5.0,1.0,,,,,,
14015467,away,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,44.0,34.0,17.0,9.0,0.0,21.0,24.0,13.0,20.0,4.0,9.0,4.0,1.0,1.0,,,,85.0,59.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.24,0.14,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,77.27272727272727,52.94117647058824,,,,,1.0,5.0,1.0,1.0,,,,,4.0,2.0,1.0,2.0,,,1.0,1.0,,,,,,,
14015467,away,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,46.0,36.0,13.0,8.0,0.0,26.0,30.0,10.0,16.0,1.0,4.0,17.0,2.0,1.0,,,,90.0,70.0,6.6,10.0,,"{'original': 6.6, 'alternative': 7}",0,0.01,0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,3,1,78.26086956521739,61.53846153846154,,,,,4.0,5.0,,,,,,,2.0,2.0,,1.0,,,1.0,,,,,,,,
14015467,away,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,19.0,11.0,5.0,1.0,0.0,8.0,11.0,3.0,8.0,1.0,3.0,4.0,2.0,1.0,,,,45.0,39.0,5.9,14.0,,"{'original': 5.9, 'alternative': 6}",0,-0.05,0.04,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,57.89473684210527,20.0,,,,1.0,1.0,4.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,
14015467,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,M,5,False,14.0,9.0,,,0.0,7.0,9.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,,,,45.0,18.0,6.1,6.0,,"{'original': 6.1, 'alternative': 6.3}",0,-0.04,0.09,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,64.28571428571429,,,,,,2.0,5.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,1.0,,
14015467,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,M,66,False,9.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,7.0,,3.0,1.0,1.0,1.0,,,,33.0,18.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.07,-0.06,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,66.66666666666666,100.0,,100.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,
14015467,away,241802,FK IMT Beograd,797763,Olivier Thill,olivier-thill,M,18,False,30.0,26.0,1.0,1.0,0.0,18.0,20.0,8.0,10.0,1.0,5.0,,5.0,2.0,,,,71.0,50.0,7.0,11.0,,"{'original': 7, 'alternative': 7.1}",0,0.06,0.23,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,8,7,4,3,86.66666666666667,100.0,50.0,33.33333333333333,,2.0,7.0,10.0,,1.0,3.0,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,
14015467,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,34.0,21.0,2.0,,0.0,8.0,13.0,13.0,21.0,2.0,5.0,1.0,1.0,1.0,,,,90.0,44.0,6.5,15.0,,"{'original': 6.5, 'alternative': 6.8}",2,0.18,0.21,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,61.76470588235294,,50.0,,,2.0,,3.0,,,1.0,1.0,,1.0,2.0,1.0,,2.0,,-0.29,,1.0,,,1.0,1.0,3.0,,
14015467,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,18.0,11.0,3.0,1.0,0.0,2.0,5.0,9.0,13.0,1.0,10.0,2.0,1.0,1.0,,,,89.0,49.0,7.0,18.0,,"{'original': 7, 'alternative': 7.3}",3,-0.09,0.26,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,9,1,61.111111111111114,33.33333333333333,25.0,87.5,,4.0,,1.0,,,8.0,1.0,1.0,1.0,1.0,,7.0,,,-0.14,,1.0,7.0,,1.0,,1.0,,
14015467,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,False,12.0,9.0,1.0,,0.0,2.0,2.0,7.0,10.0,1.0,5.0,,1.0,3.0,,,,90.0,24.0,6.4,5.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.34,0.3,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,75.0,,,,,,3.0,6.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,-0.53,,,,,,,1.0,1.0,
14015467,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,F,8,True,25.0,17.0,2.0,1.0,0.0,9.0,10.0,8.0,15.0,2.0,3.0,3.0,3.0,,,,,57.0,46.0,6.2,16.0,,"{'original': 6.2, 'alternative': 6.5}",1,-0.39,0.18,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,1,7,68.0,50.0,,100.0,,4.0,2.0,9.0,2.0,3.0,1.0,,,1.0,,,1.0,2.0,,0.01,,,1.0,,,,1.0,,
14015467,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,True,10.0,7.0,2.0,1.0,0.0,2.0,2.0,5.0,8.0,1.0,4.0,1.0,6.0,,,,,45.0,28.0,6.5,10.0,,"{'original': 6.5, 'alternative': 6.7}",2,-0.13,0.08,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,70.0,50.0,,50.0,,5.0,2.0,6.0,1.0,,4.0,1.0,,1.0,1.0,,,1.0,,-0.35,1.0,,2.0,,,,,,
14015467,away,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,True,24.0,13.0,11.0,2.0,0.0,8.0,13.0,5.0,11.0,,4.0,1.0,3.0,,,,,45.0,45.0,7.0,15.0,,"{'original': 7, 'alternative': 6.5}",0,0.02,0.08,0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,54.166666666666664,18.181818181818183,,,,1.0,1.0,3.0,,1.0,,,,,4.0,2.0,,1.0,,,1.0,1.0,,,,,,,
14015467,away,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,True,7.0,3.0,,,0.0,,,3.0,7.0,3.0,4.0,,,,,,,19.0,14.0,6.4,5.0,,"{'original': 6.4, 'alternative': 6.8}",0,-0.29,0.14,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,42.857142857142854,,,,,,2.0,4.0,,,,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,
14015467,away,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,0.0,,,,,,,,,,,,,1.0,2.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
14015467,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,away,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,away,308176,FK IMT Beograd,1627088,Stefan Bastaja,stefan-bastaja,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015467,away,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
