match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,shotOffTarget,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,unsuccessfulTouch,bigChanceMissed,outfielderBlock,totalContest,blockedScoringAttempt,wonContest,bigChanceCreated,dispossessed,goals,punches,hitWoodwork,clearanceOffLine
14015539,away,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,31.0,25.0,8.0,4.0,0.0,17.0,19.0,8.0,12.0,1.0,5.0,8.0,2.0,,,,90.0,49.0,6.7,8.0,106.36946267895,12.0,-23.1,8.61,,"{'original': 6.7, 'alternative': 7}",0,0.19,0.06,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,80.64516129032258,50.0,,,,,,,2.0,,,3.0,4.0,4.0,,2.0,,,,2.0,,,,,,,,,,,
14015539,away,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,False,41.0,30.0,7.0,3.0,0.0,13.0,17.0,17.0,24.0,4.0,10.0,3.0,4.0,,,,90.0,71.0,6.5,22.0,199.33954224517,22.0,-134.085,11.025,,"{'original': 6.5, 'alternative': 6.8}",0,-0.01,0.11,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,6,3,73.17073170731707,42.857142857142854,20.0,50.0,,5.0,1.0,1.0,4.0,,,1.0,1.0,,3.0,,1.0,,,2.0,,,4.0,,2.0,1.0,1.0,,,,
14015539,away,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,False,16.0,13.0,2.0,,0.0,6.0,8.0,7.0,8.0,,4.0,4.0,1.0,,,,68.0,34.0,6.5,7.0,19.926020751161,5.0,-6.09,2.205,,"{'original': 6.5, 'alternative': 6.5}",0,0.09,0.04,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,81.25,,,,,,,1.0,6.0,,,2.0,1.0,,3.0,4.0,,,,3.0,,,,,,,1.0,,,,
14015539,away,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,False,50.0,43.0,2.0,2.0,0.0,19.0,22.0,24.0,28.0,1.0,5.0,3.0,7.0,,,,87.0,62.0,6.8,11.0,268.28323300895,25.0,-44.1,15.225,,"{'original': 6.8, 'alternative': 7}",0,0.04,0.05,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,86.0,100.0,,100.0,,1.0,,,2.0,1.0,,,,,1.0,,,,,2.0,,,3.0,,3.0,,1.0,,,,
14015539,away,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,M,21,False,21.0,15.0,4.0,2.0,0.0,3.0,6.0,12.0,15.0,1.0,3.0,3.0,2.0,,,,90.0,48.0,6.2,18.0,135.35760361392,17.0,-72.135,7.035,,"{'original': 6.2, 'alternative': 6.2}",0,-0.2,0.22,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,71.42857142857143,50.0,,,,2.0,,1.0,7.0,,,1.0,1.0,1.0,1.0,2.0,,,,5.0,,,3.0,,,,2.0,,,,
14015539,away,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,M,20,False,14.0,11.0,,,0.0,6.0,7.0,5.0,7.0,,1.0,,3.0,,,,76.0,23.0,6.4,7.0,64.063125747996,6.0,-37.485,1.995,,"{'original': 6.4, 'alternative': 6.3}",1,-0.25,0.26,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,78.57142857142857,,,,,,,,2.0,,,,,,1.0,,,-0.03,,2.0,,,2.0,1.0,,,,,,,
14015539,away,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,M,70,False,45.0,37.0,4.0,3.0,0.0,14.0,17.0,23.0,28.0,,2.0,1.0,6.0,,,,90.0,70.0,6.8,20.0,235.10834368905,27.0,-124.635,6.3,,"{'original': 6.8, 'alternative': 6.6}",2,0.16,0.37,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,82.22222222222221,75.0,33.33333333333333,50.0,,6.0,2.0,1.0,7.0,,,,,,,2.0,,0.15,1.0,4.0,1.0,1.0,4.0,1.0,2.0,,2.0,,,,
14015539,away,36967,FK Spartak Subotica,905454,Lincoln,lincoln,F,9,False,15.0,9.0,1.0,,0.0,5.0,7.0,4.0,8.0,1.0,2.0,,2.0,,,,68.0,29.0,6.6,16.0,37.319290651257,3.0,-27.195,-3.36,,"{'original': 6.6, 'alternative': 6.5}",0,0.11,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,60.0,,,,,,,1.0,2.0,,,,1.0,1.0,,,,,,8.0,,,,,,,1.0,,,,
14015539,away,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,17.0,13.0,2.0,,0.0,3.0,5.0,10.0,12.0,2.0,4.0,,4.0,,,,22.0,25.0,6.6,8.0,63.585461632981,7.0,-39.9,-2.73,,"{'original': 6.6, 'alternative': 6.6}",0,0.01,0.13,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,76.47058823529412,,,,,1.0,,,2.0,,,1.0,2.0,2.0,,,,,,1.0,,,1.0,,,,1.0,,,,
14015539,away,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,F,7,True,9.0,7.0,,,0.0,,,7.0,9.0,,,,1.0,,,,22.0,18.0,6.3,7.0,84.729136379318,6.0,-71.925,3.045,,"{'original': 6.3, 'alternative': 6.3}",0,-0.01,0.03,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,77.77777777777779,,,,,,,,2.0,,,,,,,,,,,3.0,,,2.0,,,,,,,,
14015539,away,36967,FK Spartak Subotica,1186164,Dario Pavković,dario-pavkovic,F,90,True,7.0,3.0,,,0.0,,1.0,3.0,6.0,,,,2.0,,,,14.0,12.0,6.2,8.0,26.011736479946,4.0,-9.24,3.675,,"{'original': 6.2, 'alternative': 6.3}",1,0.04,0.14,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,42.857142857142854,,,,,,,1.0,4.0,,,,,,,2.0,,-0.22,,3.0,,,,1.0,,,1.0,,,,
14015539,away,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,9.0,3.0,6.4,1.0,7.3754351736016,1.0,-7.35,-7.35,,"{'original': 6.4, 'alternative': 6.2}",0,0.01,-0.16,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
14015539,away,301263,FK Spartak Subotica,1424448,Veljko Jocić,veljko-jocic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,away,241802,FK Spartak Subotica,1957203,Anđelko Pavlović,andjelko-pavlovic,F,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,away,36967,FK Spartak Subotica,948694,Nikola Kuveljić,nikola-kuveljic,M,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,away,37064,FK Spartak Subotica,1094065,Eldar Mehmedović,eldar-mehmedovic,M,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,away,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,F,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,away,36967,FK Spartak Subotica,1515520,Nikola Grujić,nikola-grujic,G,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,away,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
