match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,outfielderBlock,interceptionWon,fouls,aerialLost,totalCross,totalTackle,wonTackle,accurateCross,unsuccessfulTouch,wasFouled,keyPass,totalContest,wonContest,onTargetScoringAttempt,goals,shotValueNormalized,challengeLost,bigChanceCreated,dispossessed,shotOffTarget,penaltyWon,blockedScoringAttempt,totalOffside,bigChanceMissed,clearanceOffLine,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,keeperSaveValue,errorLeadToAShot,penaltyConceded
14015458,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,35.0,24.0,1.0,,1.0,11.0,13.0,13.0,22.0,3.0,2.0,90.0,59.0,9.1,15.0,"{'original': 9.1, 'alternative': 10}",10,0.2,0.31,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,7,9,4,5,68.57142857142857,,100.0,50.0,,6.0,6.0,10.0,1.0,,3.0,1.0,1.0,,,1.0,2.0,2.0,1.0,4.0,2.0,5.0,2.0,0.32,,1.0,,2.0,,3.0,1.0,1.0,1.0,,,,,,,
14015458,home,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,D,6,True,11.0,9.0,2.0,1.0,0.0,1.0,2.0,8.0,9.0,2.0,3.0,27.0,24.0,6.8,3.0,"{'original': 6.8, 'alternative': 7}",1,0.2,0.07,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,81.81818181818183,50.0,,,,1.0,1.0,3.0,,,1.0,,,2.0,2.0,,,,1.0,,,,,-0.33,,,,1.0,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,True,7.0,4.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0,,1.0,13.0,7.0,6.6,3.0,"{'original': 6.6, 'alternative': 6.4}",0,0.05,0.06,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,57.14285714285714,33.33333333333333,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
14015458,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,True,2.0,2.0,,,0.0,,,2.0,2.0,,,13.0,5.0,6.5,1.0,"{'original': 6.5, 'alternative': 6.7}",0,-0.17,0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,True,2.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,8.0,5.0,6.7,1.0,"{'original': 6.7, 'alternative': 6.7}",0,-0.02,0.01,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1149291,Matija Marsenić,matija-marsenic,M,80,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,home,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,34.0,19.0,18.0,3.0,0.0,19.0,23.0,,11.0,1.0,6.0,90.0,45.0,6.4,15.0,"{'original': 6.4, 'alternative': 6.4}",0,0.12,0.01,-0.36,0.44,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,55.88235294117647,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,4.0,0.737,,
14015458,away,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,42.0,37.0,6.0,3.0,0.0,11.0,15.0,26.0,27.0,5.0,4.0,62.0,65.0,6.1,8.0,"{'original': 6.1, 'alternative': 6.6}",0,0.16,0.04,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,88.09523809523809,50.0,100.0,,,,5.0,3.0,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,False,75.0,64.0,6.0,2.0,0.0,38.0,40.0,26.0,35.0,7.0,8.0,90.0,94.0,6.7,12.0,"{'original': 6.7, 'alternative': 7.1}",1,0.21,0.18,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,6,1,85.33333333333334,33.33333333333333,,,,1.0,4.0,7.0,2.0,1.0,1.0,3.0,,4.0,4.0,,1.0,2.0,,,,1.0,,-0.13,,,,,,,,,,,,,,,,
14015458,away,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,83.0,68.0,14.0,4.0,0.0,45.0,49.0,23.0,34.0,5.0,6.0,90.0,95.0,5.1,16.0,"{'original': 5.1, 'alternative': 5.7}",0,0.25,0.15,-1.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,81.92771084337349,28.57142857142857,,,,1.0,6.0,2.0,1.0,,3.0,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
14015458,away,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,28.0,21.0,5.0,2.0,0.0,14.0,17.0,7.0,11.0,1.0,3.0,45.0,42.0,6.1,10.0,"{'original': 6.1, 'alternative': 6.5}",1,0.02,0.02,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,75.0,40.0,,,,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,,,1.0,,1.0,,,,,-0.11,,,,1.0,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,92.0,80.0,6.0,2.0,0.0,37.0,39.0,43.0,53.0,1.0,3.0,90.0,105.0,6.7,16.0,"{'original': 6.7, 'alternative': 6.6}",0,-0.05,0.29,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,86.95652173913044,33.33333333333333,,,,2.0,3.0,6.0,,1.0,,1.0,1.0,1.0,1.0,,,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,29.0,27.0,4.0,4.0,0.0,10.0,10.0,17.0,19.0,,2.0,62.0,35.0,6.3,5.0,"{'original': 6.3, 'alternative': 6.3}",0,-0.2,0.2,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,93.10344827586206,100.0,,,,,5.0,2.0,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,M,8,False,10.0,5.0,1.0,,0.0,,1.0,5.0,9.0,1.0,1.0,86.0,31.0,7.0,17.0,"{'original': 7, 'alternative': 6.9}",1,0.18,0.27,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,50.0,,28.57142857142857,,,,5.0,2.0,,,,1.0,7.0,,,2.0,3.0,2.0,2.0,1.0,,1.0,1.0,0.51,,,3.0,,,,3.0,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,48.0,41.0,3.0,2.0,2.0,8.0,8.0,33.0,40.0,,,90.0,70.0,7.4,16.0,"{'original': 7.4, 'alternative': 8}",4,0.48,0.32,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,6,5,85.41666666666666,66.66666666666666,25.0,33.33333333333333,,,7.0,6.0,,,,2.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,2.0,,,-0.64,1.0,1.0,,2.0,,2.0,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,M,21,False,25.0,19.0,2.0,1.0,0.0,8.0,8.0,11.0,17.0,,3.0,62.0,29.0,5.9,8.0,"{'original': 5.9, 'alternative': 6.3}",1,-0.25,0.01,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,76.0,50.0,,,,1.0,3.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,-0.39,1.0,,,,,1.0,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,False,18.0,17.0,,,0.0,9.0,9.0,8.0,9.0,,3.0,90.0,25.0,6.6,1.0,"{'original': 6.6, 'alternative': 6.9}",1,0.19,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,3,0,94.44444444444444,,,,,1.0,6.0,4.0,,1.0,,6.0,,,,,,3.0,1.0,,,,,-0.37,,,,1.0,,,1.0,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,1005774,Bojan Dimoski,bojan-dimoski,D,20,True,29.0,27.0,2.0,2.0,0.0,9.0,10.0,18.0,19.0,,1.0,37.0,30.0,6.1,2.0,"{'original': 6.1, 'alternative': 6.2}",0,0.08,0.08,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,93.10344827586206,100.0,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,F,29,True,11.0,10.0,,,0.0,3.0,3.0,7.0,8.0,,,28.0,13.0,6.7,1.0,"{'original': 6.7, 'alternative': 6.6}",0,-0.08,-0.04,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,90.9090909090909,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,11.0,11.0,,,0.0,4.0,4.0,7.0,7.0,1.0,,28.0,23.0,7.6,4.0,"{'original': 7.6, 'alternative': 6.9}",2,-0.03,0.3,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,100.0,,,,,,3.0,2.0,,,1.0,,,1.0,,,3.0,1.0,,1.0,,1.0,1.0,0.51,1.0,,,,,1.0,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,M,15,True,12.0,11.0,,,0.0,3.0,3.0,8.0,9.0,,1.0,28.0,17.0,6.2,3.0,"{'original': 6.2, 'alternative': 6.3}",0,0.0,-0.16,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,91.66666666666666,,,,,,3.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,312170,Slobodan Urošević,slobodan-urosevic,D,72,True,7.0,6.0,1.0,,0.0,5.0,5.0,1.0,2.0,,,11.0,8.0,6.3,2.0,"{'original': 6.3, 'alternative': 6.2}",0,-0.02,0.01,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,1893370,Ilja Pantelin,ilja-pantelin,G,19,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,away,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015458,away,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
