match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,totalContest,outfielderBlock,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,dribbleValueNormalized,totalCross,blockedScoringAttempt,wonTackle,keyPass,shotValueNormalized,onTargetScoringAttempt,fouls,dispossessed,wonContest,shotOffTarget,challengeLost,bigChanceMissed,accurateCross,totalOffside,bigChanceCreated,totalKeeperSweeper,accurateKeeperSweeper
14015429,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,16.0,13.0,4.0,1.0,0.0,13.0,14.0,,2.0,2.0,7.0,1.0,1.0,3.0,2.0,90.0,30.0,7.9,4.0,0.5398,"{'original': 7.9, 'alternative': 7.6}",0,0.01,0.19,0.44,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,81.25,25.0,,,100.0,,1.0,,1.0,,,,,,1.0,-0.1,,,,,,,,,,,,,,,,1.0,1.0
14015429,away,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,44.0,38.0,3.0,3.0,0.0,12.0,14.0,26.0,30.0,,3.0,,,,,90.0,80.0,8.0,15.0,,"{'original': 8, 'alternative': 7.9}",1,0.37,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,12,5,86.36363636363636,100.0,25.0,60.0,,1.0,2.0,6.0,14.0,5.0,,,6.0,,3.0,0.3,8.0,,5.0,1.0,-0.07,,1.0,1.0,3.0,1.0,1.0,,2.0,,,,
14015429,away,58689,FK Napredak Kruševac,1102161,Nemanja Đeković,nemanja-dekovic,D,25,False,71.0,59.0,14.0,7.0,0.0,32.0,38.0,27.0,33.0,3.0,2.0,,,,,90.0,83.0,8.0,15.0,,"{'original': 8, 'alternative': 7.5}",1,0.39,0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,7,1,0,1,83.09859154929578,50.0,,,,2.0,5.0,3.0,5.0,1.0,1.0,2.0,,1.0,,0.09,1.0,,,1.0,0.0,,,,,1.0,,,,,,,
14015429,away,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,63.0,57.0,12.0,9.0,0.0,43.0,46.0,14.0,17.0,6.0,4.0,,,,,90.0,75.0,8.0,6.0,,"{'original': 8, 'alternative': 7.8}",1,0.18,0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,90.47619047619048,75.0,,,,1.0,4.0,3.0,5.0,,2.0,1.0,1.0,,,0.07,,,1.0,,0.24,1.0,2.0,,,,,1.0,,,,,
14015429,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,43.0,38.0,3.0,3.0,0.0,24.0,28.0,14.0,15.0,1.0,3.0,,,,,65.0,58.0,7.0,8.0,,"{'original': 7, 'alternative': 7.1}",1,0.13,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,88.37209302325581,100.0,,,,,3.0,3.0,4.0,1.0,,1.0,,,2.0,0.15,1.0,,,,-0.2,1.0,2.0,,,,,,,,,,
14015429,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,30.0,25.0,1.0,1.0,0.0,10.0,10.0,15.0,20.0,2.0,3.0,,,,,90.0,42.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.8}",0,0.02,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,83.33333333333334,100.0,,,,1.0,1.0,3.0,3.0,,,,2.0,2.0,,0.09,2.0,,,,,,2.0,,,,,,,,,,
14015429,away,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,False,54.0,46.0,5.0,4.0,0.0,25.0,26.0,21.0,28.0,1.0,5.0,,,,,73.0,72.0,6.8,16.0,,"{'original': 6.8, 'alternative': 7.3}",1,-0.05,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,85.18518518518519,80.0,40.0,,,,2.0,5.0,4.0,2.0,1.0,,,,2.0,0.21,5.0,,,1.0,-0.13,1.0,,2.0,,,1.0,,2.0,,,,
14015429,away,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,26.0,17.0,,,0.0,5.0,9.0,12.0,17.0,2.0,2.0,,,,,90.0,48.0,6.5,18.0,,"{'original': 6.5, 'alternative': 7}",2,-0.35,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,65.38461538461539,,,,,2.0,1.0,7.0,5.0,3.0,,,2.0,4.0,2.0,0.57,1.0,1.0,1.0,3.0,-0.54,,1.0,1.0,,1.0,,,,2.0,,,
14015429,away,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,26.0,19.0,2.0,,0.0,8.0,10.0,11.0,16.0,,6.0,,,,,90.0,43.0,6.5,14.0,,"{'original': 6.5, 'alternative': 6.8}",0,-0.07,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,5,7,73.07692307692307,,,,,3.0,,10.0,5.0,1.0,1.0,1.0,4.0,3.0,1.0,0.11,2.0,,2.0,1.0,,,3.0,1.0,,,2.0,,,,,,
14015429,away,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,M,44,False,22.0,17.0,,,0.0,8.0,10.0,9.0,12.0,,3.0,,,,,65.0,40.0,7.2,8.0,,"{'original': 7.2, 'alternative': 7.6}",3,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,5,0,77.27272727272727,,50.0,100.0,,2.0,3.0,2.0,8.0,1.0,,1.0,4.0,1.0,,0.39,2.0,2.0,2.0,2.0,-0.3,,,,1.0,1.0,,,1.0,,1.0,,
14015429,away,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,14.0,9.0,1.0,1.0,0.0,1.0,1.0,8.0,13.0,,3.0,,,,,89.0,28.0,6.1,13.0,,"{'original': 6.1, 'alternative': 6.7}",2,-0.53,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,0,7,64.28571428571429,100.0,,,,2.0,,9.0,,2.0,,,,1.0,,0.29,,1.0,,2.0,-0.51,,,5.0,,1.0,,,,,,,
14015429,away,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,True,11.0,9.0,3.0,1.0,0.0,1.0,1.0,8.0,10.0,1.0,2.0,,,,,25.0,18.0,6.7,5.0,,"{'original': 6.7, 'alternative': 7}",1,0.06,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,81.81818181818183,33.33333333333333,,100.0,,,,1.0,2.0,1.0,,,,,1.0,-0.6,1.0,,,,0.15,1.0,,1.0,1.0,,,,,,,,
14015429,away,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,9.0,8.0,,,0.0,3.0,3.0,5.0,6.0,,1.0,,,,,25.0,15.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.17,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,88.88888888888889,,,,,,,3.0,2.0,,,,2.0,2.0,,0.06,,,2.0,,,,1.0,1.0,,,1.0,,,,,,
14015429,away,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,True,15.0,11.0,,,0.0,2.0,2.0,9.0,13.0,,2.0,,,,,17.0,23.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.8}",0,-0.07,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,73.33333333333333,,,,,,,1.0,3.0,,,,1.0,1.0,2.0,0.03,2.0,,,,,,,,,,1.0,,,,,,
14015429,away,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,1.0,3.0,,1.0,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,
14015429,away,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015429,away,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,F,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015429,away,374281,FK Napredak Kruševac,1855771,Mateja Gajić,mateja-gajic,M,18,True,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015429,away,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015429,away,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015429,away,228024,FK Napredak Kruševac,1109778,Nikola Marinković,nikola-marinkovic,F,20,True,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015429,away,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
