match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,keyPass,hitWoodwork,penaltyConceded,blockedScoringAttempt,penaltyWon,bigChanceCreated
14147337,away,24312,FK Jezero,1035777,Igor Asanović,igor-asanovic,G,50,False,19.0,19.0,0.0,0.0,0.0,18.0,18.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,90.0,23.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,,,,0.0,,,,,,,,
14147337,away,24312,FK Jezero,1185148,Matija Bojović,matija-bojovic,D,29,False,35.0,26.0,4.0,3.0,0.0,11.0,13.0,14.0,21.0,3.0,1.0,2.0,0.0,7.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,75.0,43.0,6.6,9.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,74.28571428571429,75.0,33.33333333333333,100.0,,1.0,,,,,,,
14147337,away,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,71.0,65.0,6.0,2.0,0.0,40.0,41.0,23.0,26.0,0.0,0.0,5.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,85.0,6.6,8.0,0.04,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,2,3,91.54929577464789,33.33333333333333,,,,,,1.0,,,1.0,,
14147337,away,24312,FK Jezero,1021410,Salih Husić,salih-husic,D,55,False,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,10.0,4.0,6.2,1.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,100.0,100.0,,,,,,,,,,,
14147337,away,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,47.0,38.0,3.0,1.0,0.0,22.0,23.0,16.0,23.0,3.0,2.0,1.0,0.0,10.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,59.0,6.2,10.0,0.01,0.05,"{'original': 6.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,4,9,80.85106382978722,33.33333333333333,66.66666666666666,100.0,,,,1.0,,,1.0,,
14147337,away,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,72.0,60.0,9.0,3.0,0.0,27.0,29.0,31.0,40.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,75.0,89.0,7.2,8.0,0.0,0.03,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,5,3,83.33333333333334,33.33333333333333,,,,,,2.0,,,,,
14147337,away,24312,FK Jezero,1190522,Imran Redžepagić,imran-redzepagic,M,16,False,19.0,14.0,4.0,2.0,0.0,9.0,11.0,3.0,5.0,0.0,0.0,2.0,0.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,45.0,25.0,6.4,6.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,4,8,73.68421052631578,50.0,,0.0,,,,,,,,,
14147337,away,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,32.0,19.0,5.0,2.0,0.0,7.0,7.0,11.0,24.0,3.0,1.0,0.0,0.0,9.0,6.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,53.0,6.8,18.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,0,15,6,9,59.375,40.0,33.33333333333333,80.0,,2.0,1.0,,,,,,
14147337,away,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,M,45,False,36.0,26.0,2.0,0.0,0.0,7.0,7.0,17.0,27.0,2.0,0.0,5.0,0.0,15.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,1.0,7.0,2.0,0.0,,,,,,,90.0,57.0,7.8,19.0,0.18,0.22,"{'original': 7.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,5,18,8,10,72.22222222222221,0.0,0.0,0.0,,,2.0,1.0,,,,1.0,
14147337,away,24312,FK Jezero,1063202,Mario Gjolaj,mario-gjolaj,M,14,False,8.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,3.0,2.0,1.0,0.0,11.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,45.0,23.0,6.5,11.0,0.0,0.31,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,3,10,50.0,,66.66666666666666,75.0,,1.0,,2.0,,,,,
