match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,duelWon,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,fouls,shotValueNormalized,aerialLost,challengeLost,wasFouled,dispossessed,lastManTackle,keyPass,unsuccessfulTouch,totalContest,wonContest,bigChanceCreated,errorLeadToAShot,onTargetScoringAttempt,outfielderBlock,goals,errorLeadToAGoal,bigChanceMissed,hitWoodwork
14015412,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,55.0,53.0,3.0,3.0,0.0,42.0,44.0,11.0,11.0,2.0,4.0,,,,90.0,68.0,6.8,3.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.28,0.04,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,96.36363636363636,100.0,,,,,,1.0,2.0,4.0,,,1.0,2.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,,,,2.0,,,,
14015412,away,5152,FK Partizan,555538,Mario Jurčevič,mario-jurcevic,D,4,False,52.0,47.0,2.0,1.0,0.0,22.0,24.0,25.0,28.0,5.0,3.0,,,,90.0,74.0,6.6,10.0,,"{'original': 6.6, 'alternative': 7.4}",1,0.47,0.34,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,90.38461538461539,50.0,,,,3.0,,2.0,4.0,2.0,1.0,,2.0,,,1.0,-0.51,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,,1.0,
14015412,away,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,54.0,50.0,5.0,5.0,0.0,28.0,28.0,22.0,26.0,6.0,4.0,,,,90.0,68.0,7.1,5.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.32,0.09,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,92.5925925925926,100.0,,,,,,2.0,4.0,5.0,,,,1.0,1.0,2.0,,2.0,,2.0,,,,1.0,,,,,,1.0,,,,
14015412,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,34.0,30.0,4.0,4.0,0.0,18.0,18.0,12.0,16.0,3.0,2.0,,,,65.0,48.0,6.7,8.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.16,0.03,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,88.23529411764706,100.0,,,,,,1.0,6.0,4.0,,,1.0,1.0,1.0,3.0,,1.0,,2.0,1.0,,,2.0,1.0,,,1.0,,1.0,,,,
14015412,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,20.0,13.0,,,1.0,3.0,4.0,10.0,16.0,1.0,4.0,,,,65.0,30.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.7}",0,-0.02,0.2,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,65.0,,,100.0,,,,,5.0,3.0,,,,,,2.0,,1.0,2.0,2.0,,,1.0,5.0,1.0,1.0,,1.0,,,,,,
14015412,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,False,49.0,33.0,8.0,5.0,0.0,14.0,19.0,19.0,30.0,,10.0,,,,77.0,63.0,8.0,21.0,,"{'original': 8, 'alternative': 7.9}",2,-0.04,0.54,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,67.3469387755102,62.5,,,,1.0,,,2.0,4.0,,,1.0,3.0,2.0,,0.47,,1.0,1.0,,,2.0,2.0,1.0,,1.0,,2.0,,1.0,,,
14015412,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,36.0,28.0,1.0,,0.0,9.0,10.0,19.0,26.0,,3.0,,,,90.0,51.0,8.8,13.0,,"{'original': 8.8, 'alternative': 8.4}",3,-0.4,-0.41,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,77.77777777777779,,,50.0,,1.0,,,3.0,3.0,,1.0,,1.0,,1.0,0.96,,1.0,1.0,,,1.0,3.0,2.0,1.0,1.0,,2.0,,2.0,,,
14015412,away,2534,FK Partizan,1154491,Jovan Milošević,jovan-milosevic,F,7,False,9.0,7.0,,,0.0,4.0,4.0,3.0,5.0,,2.0,,,,45.0,20.0,7.8,4.0,,"{'original': 7.8, 'alternative': 7.5}",2,-0.31,0.11,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,77.77777777777779,,,50.0,,,,1.0,3.0,4.0,1.0,,1.0,1.0,1.0,1.0,0.54,,1.0,1.0,,,1.0,,2.0,1.0,,,1.0,,1.0,,1.0,1.0
14015412,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,True,11.0,8.0,1.0,1.0,0.0,5.0,7.0,3.0,4.0,,2.0,,,,45.0,19.0,8.9,6.0,,"{'original': 8.9, 'alternative': 8.4}",3,0.07,0.07,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,72.72727272727273,100.0,,33.33333333333333,,,,,6.0,1.0,,,1.0,,,,0.7,4.0,,,,,1.0,1.0,3.0,1.0,,,3.0,,2.0,,,
14015412,away,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,F,32,True,8.0,6.0,1.0,,0.0,2.0,3.0,4.0,5.0,,2.0,,,,25.0,17.0,6.8,5.0,,"{'original': 6.8, 'alternative': 7}",2,-0.15,0.59,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,75.0,,,100.0,,2.0,,,2.0,3.0,2.0,,,1.0,1.0,,-0.57,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,
14015412,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,14.0,13.0,,,1.0,7.0,7.0,6.0,7.0,,2.0,,,,25.0,19.0,6.9,3.0,,"{'original': 6.9, 'alternative': 7}",0,0.14,-0.51,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,92.85714285714286,,,,,,,,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,
14015412,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,15.0,15.0,,,0.0,12.0,12.0,3.0,3.0,,1.0,,,,24.0,20.0,8.5,,,"{'original': 8.5, 'alternative': 7.5}",1,0.02,0.04,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,100.0,,,,,,,,2.0,3.0,,,,3.0,1.0,,0.52,1.0,1.0,,,,,,,,,,1.0,,1.0,,,
14015412,away,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,20.0,18.0,1.0,1.0,1.0,10.0,12.0,8.0,8.0,,3.0,,,,13.0,21.0,7.1,2.0,,"{'original': 7.1, 'alternative': 7}",0,0.31,0.17,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.0,100.0,100.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
14015412,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,away,251278,FK Partizan,801067,Aldo Kalulu,aldo-kalulu,F,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015412,away,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
