match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,bigChanceMissed,onTargetScoringAttempt,clearanceOffLine,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,keyPass,wonContest,totalCross,accurateCross,bigChanceCreated,blockedScoringAttempt,penaltyConceded,shotOffTarget,goals,totalOffside
14015481,away,5149,FK Crvena zvezda,1029788,Vladimir Lučić,vladimir-lucic,M,37,False,39.0,34.0,,,0.0,5.0,5.0,29.0,34.0,,8.0,,,,,,77.0,49.0,6.9,7.0,,"{'original': 6.9, 'alternative': 7.4}",2,0.15,0.31,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,87.17948717948718,,,,,,,2.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,0.01,3.0,,1.0,,,1.0,,,,
14015481,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,27.0,24.0,,,0.0,8.0,8.0,16.0,19.0,,1.0,,,,,,66.0,50.0,7.0,14.0,,"{'original': 7, 'alternative': 8.3}",6,0.15,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,88.88888888888889,,33.33333333333333,33.33333333333333,,3.0,,5.0,3.0,,,3.0,,5.0,,,,1.0,,5.0,1.0,,0.25,3.0,1.0,6.0,2.0,,,,1.0,1.0,
14015481,away,5149,FK Crvena zvezda,939721,Milson,milson,M,7,False,21.0,16.0,,,0.0,5.0,5.0,11.0,16.0,,5.0,,,,,,66.0,41.0,7.0,11.0,,"{'original': 7, 'alternative': 7.2}",3,0.25,0.45,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,5,6,76.19047619047619,,100.0,40.0,,,,6.0,5.0,,2.0,5.0,,2.0,,,,1.0,1.0,1.0,2.0,1.0,-0.29,2.0,2.0,3.0,3.0,,1.0,,,,
14015481,away,5149,FK Crvena zvezda,2207346,Aleksa Damjanović,damjanovic-aleksa,F,19,False,13.0,8.0,1.0,1.0,0.0,1.0,1.0,7.0,12.0,,,,,,,,45.0,19.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.8}",2,-0.18,0.14,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,61.53846153846154,100.0,,,,1.0,3.0,3.0,4.0,,,,,,,,,,,2.0,1.0,2.0,-0.13,1.0,,,,,2.0,,,,1.0
14015481,away,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,True,31.0,20.0,2.0,,1.0,3.0,4.0,17.0,27.0,1.0,4.0,,,,,,45.0,40.0,6.9,12.0,,"{'original': 6.9, 'alternative': 7.4}",2,-0.36,0.27,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,64.51612903225806,,50.0,,,,,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,0.0,2.0,,2.0,1.0,,,,1.0,,
14015481,away,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,7.0,6.0,,,0.0,,,6.0,7.0,,,,,,,,24.0,20.0,6.8,6.0,,"{'original': 6.8, 'alternative': 7}",2,-0.3,0.32,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,85.71428571428571,,,100.0,,1.0,,2.0,3.0,,,2.0,,,,,,,,1.0,1.0,1.0,0.0,,2.0,4.0,,,1.0,,1.0,,
14015481,away,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,True,23.0,22.0,2.0,2.0,0.0,13.0,13.0,9.0,10.0,,2.0,,,,,,24.0,33.0,6.7,4.0,,"{'original': 6.7, 'alternative': 7}",1,0.14,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,95.65217391304348,100.0,50.0,,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,-0.09,2.0,,4.0,2.0,,,,1.0,,
14015481,away,3398,FK Crvena zvezda,289181,Peter Olayinka,peter-olayinka,F,14,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,,,13.0,5.0,7.3,1.0,,"{'original': 7.3, 'alternative': 7.5}",3,-0.23,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,0.54,,,,,,2.0,,,1.0,
14015481,away,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,True,7.0,5.0,2.0,1.0,0.0,2.0,3.0,3.0,4.0,,1.0,,,,,,11.0,9.0,6.9,3.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.23,0.1,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,71.42857142857143,50.0,50.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,
14015481,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,away,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,away,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,away,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
