match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,dispossessed,keyPass,blockedScoringAttempt,shotOffTarget,savedShotsFromInsideTheBox
14147384,home,5160,FK Sutjeska Nikšić,878422,Nikola Furtula,nikola-furtula,F,89,False,13.0,10.0,0.0,0.0,0.0,3.0,3.0,7.0,10.0,1.0,1.0,5.0,6.0,12.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,79.0,24.0,7.1,12.0,0.28,0.02,"{'original': 7.1, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,11,8,1,7,76.92307692307693,,100.0,50.0,,,1.0,1.0,,2.0,
14147384,home,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanović,bojan-damjanovic,D,91,True,5.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,9.0,6.9,3.0,0.05,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,,,,,,,,,1.0,
14147384,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,M,7,True,5.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,25.0,15.0,6.7,5.0,0.38,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,60.0,,,,,,,,1.0,,
14147384,home,315641,FK Sutjeska Nikšić,1134549,Mamadou Camara,mamadou-camara,M,27,True,18.0,15.0,1.0,0.0,0.0,11.0,11.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,21.0,7.1,4.0,0.0,0.05,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,83.33333333333334,0.0,,,,1.0,,1.0,,,
14147384,home,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,M,5,True,5.0,4.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,18.0,8.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,80.0,100.0,,100.0,,,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,F,10,True,4.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,11.0,8.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,75.0,0.0,,,,,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1032030,Stojan Vukčević,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1005621,Ognjen Đinović,ognjen-dinovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1481226,Danilo Ćetković,danilo-cetkovic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147384,home,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,F,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
14147384,away,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,26.0,23.0,9.0,7.0,0.0,18.0,20.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,90.0,32.0,6.6,3.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,88.46153846153845,77.77777777777779,,,0.0,2.0,,,,,2.0
14147384,away,383337,FK Jedinstvo Bijelo Polje,1391886,Sead Dacić,sead-dacic,D,19,False,48.0,36.0,2.0,0.0,0.0,15.0,17.0,21.0,28.0,3.0,1.0,1.0,2.0,12.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,90.0,58.0,6.2,15.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,3,11,75.0,0.0,33.33333333333333,50.0,,,,,,,
14147384,away,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,66.0,48.0,12.0,4.0,0.0,29.0,34.0,18.0,31.0,0.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,84.0,6.6,18.0,0.0,0.09,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,72.72727272727273,33.33333333333333,,,,1.0,,1.0,,,
14147384,away,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,False,46.0,36.0,5.0,1.0,0.0,21.0,27.0,14.0,18.0,0.0,0.0,2.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,51.0,6.2,13.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,0,2,78.26086956521739,20.0,,,,1.0,,,,,
