match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,shotValueNormalized,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,totalCross,bigChanceCreated,penaltyConceded,keyPass,accurateCross,dispossessed,bigChanceMissed,shotOffTarget,totalOffside,goals,errorLeadToAGoal,punches,clearanceOffLine,penaltyWon,lastManTackle
14015584,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,25.0,21.0,5.0,3.0,0.0,9.0,9.0,12.0,16.0,4.0,,,,,,,87.0,52.0,8.9,7.0,143.19645411146,13.0,89.28476356491,3.0,,"{'original': 8.9, 'alternative': 8.8}",1,0.23,0.42,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,11,3,84.0,60.0,100.0,100.0,,1.0,,4.0,11.0,,,1.0,1.0,3.0,1.0,21.416910284178,61.112732642716,-0.07,1.0,3.0,3.0,1.0,5.0,4.0,,,2.0,,,1.0,2.0,1.0,,1.0,,,,,1.0,1.0,
14015584,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,19.0,13.0,6.0,1.0,0.0,10.0,11.0,3.0,8.0,1.0,,,,,,,90.0,30.0,7.4,6.0,48.233128918466,5.0,-26.630088647945,0.0,,"{'original': 7.4, 'alternative': 7.3}",1,0.1,-0.01,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,68.42105263157895,16.666666666666664,,,,,1.0,,2.0,1.0,,4.0,2.0,1.0,,,,0.44,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
14015584,away,25737,FK Radnički Niš,989351,Ranko Jokić,ranko-jokic,D,3,False,30.0,25.0,4.0,1.0,0.0,18.0,21.0,7.0,9.0,2.0,,,,,,,90.0,43.0,6.3,6.0,96.287681460858,14.0,-0.15480826240134,0.0,,"{'original': 6.3, 'alternative': 6.5}",0,0.1,0.03,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,83.33333333333334,25.0,,,,1.0,,1.0,3.0,,,5.0,,1.0,,,,,,,,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,30.0,25.0,8.0,4.0,0.0,16.0,16.0,9.0,14.0,5.0,,,,,,,87.0,46.0,7.0,8.0,55.929718508974,8.0,17.475096355014,0.0,,"{'original': 7, 'alternative': 7.3}",1,0.23,0.04,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,83.33333333333334,50.0,,,,,,,3.0,,,3.0,,1.0,,,,-0.03,,,,3.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,
14015584,away,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,False,29.0,25.0,7.0,4.0,0.0,16.0,17.0,9.0,12.0,7.0,,,,,,,90.0,41.0,7.6,4.0,133.95319178577,16.0,1.1134223014469,0.0,,"{'original': 7.6, 'alternative': 7.1}",0,0.21,0.01,0.7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,8,0,86.20689655172413,57.14285714285714,,,,,,,8.0,,,2.0,,4.0,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,1.0
14015584,away,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,16.0,14.0,,,0.0,5.0,5.0,9.0,11.0,4.0,,,,,,,77.0,30.0,7.1,7.0,144.17924355154,15.0,32.976770993511,3.0,,"{'original': 7.1, 'alternative': 7.1}",3,-0.2,0.64,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,87.5,,,100.0,,1.0,1.0,3.0,4.0,3.0,,,,2.0,,21.326154713772,42.993499254605,-0.22,,1.0,1.0,,,,,2.0,,,,,,2.0,1.0,,,,,,,,
14015584,away,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,16.0,15.0,1.0,1.0,0.0,5.0,5.0,10.0,11.0,3.0,,,,,,,90.0,28.0,6.9,2.0,57.663807550905,7.0,24.265689929693,1.0,,"{'original': 6.9, 'alternative': 7}",0,0.25,0.07,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,5,5,93.75,100.0,100.0,100.0,,2.0,2.0,7.0,7.0,,,,1.0,2.0,3.0,10.63480171453,17.955,,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,2.0,1.0,,,,,,,,,,
14015584,away,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,20.0,15.0,2.0,1.0,0.0,5.0,7.0,10.0,13.0,2.0,,,,,,,77.0,32.0,6.4,9.0,60.691657645489,6.0,16.723206479381,0.0,,"{'original': 6.4, 'alternative': 6.8}",1,-0.06,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,75.0,50.0,,,,,1.0,4.0,3.0,,1.0,,1.0,,1.0,,,-0.04,,,,1.0,2.0,1.0,,1.0,,1.0,,1.0,,3.0,,,,,,,,,
14015584,away,25737,FK Radnički Niš,370644,Gboly Ariyibi,gboly-ariyibi,M,11,False,15.0,14.0,1.0,1.0,2.0,2.0,2.0,12.0,13.0,2.0,,,,,,,90.0,45.0,8.6,15.0,198.72127430996,18.0,89.139455842902,5.0,,"{'original': 8.6, 'alternative': 8.5}",4,1.0,0.14,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,93.33333333333333,100.0,50.0,,,2.0,,8.0,4.0,2.0,1.0,,,4.0,1.0,22.244030073088,100.94657072398,0.39,,2.0,,,,,,6.0,4.0,3.0,,5.0,2.0,3.0,1.0,1.0,,1.0,,,,,
14015584,away,25737,FK Radnički Niš,1000276,Aleksandr Shestyuk,aleksandr-shestyuk,F,9,False,14.0,8.0,,,0.0,5.0,7.0,3.0,7.0,1.0,,,,,,,60.0,19.0,6.5,8.0,48.418666960579,7.0,-13.964853696648,0.0,,"{'original': 6.5, 'alternative': 7.2}",2,-0.45,0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,11,2,0,2,57.14285714285714,,,,,7.0,4.0,9.0,4.0,1.0,,,,,1.0,,,0.36,1.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,
