match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,interceptionWon,unsuccessfulTouch,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,challengeLost,totalClearance,totalTackle,wonTackle,dispossessed,outfielderBlock,onTargetScoringAttempt,goals,bigChanceMissed,blockedScoringAttempt,totalOffside,clearanceOffLine
14015562,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,28.0,19.0,14.0,5.0,0.0,16.0,17.0,3.0,11.0,,1.0,15.0,1.0,,2.0,3.0,,,90.0,41.0,7.1,9.0,42.603422297514,7.0,0.0,4.83,0.1752,"{'original': 7.1, 'alternative': 6.8}",0,0.05,0.28,0.37,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,67.85714285714286,35.714285714285715,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,False,27.0,19.0,9.0,4.0,0.0,11.0,14.0,8.0,13.0,,1.0,1.0,1.0,,,,,,89.0,44.0,6.7,13.0,54.029991712466,9.0,18.27,13.65,,"{'original': 6.7, 'alternative': 6.4}",1,0.29,-0.19,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,70.37037037037037,44.44444444444444,,,,1.0,,1.0,5.0,1.0,,,,,,1.0,,,1.0,-0.07,2.0,3.0,,,,,,,,1.0,,
14015562,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,60.0,46.0,16.0,4.0,0.0,33.0,38.0,13.0,22.0,3.0,8.0,4.0,3.0,,,,,,90.0,85.0,8.1,15.0,235.94222408408,29.0,67.305,29.925,,"{'original': 8.1, 'alternative': 8.4}",2,0.26,0.04,0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,5,0,76.66666666666667,25.0,,,,,,,,,,,1.0,2.0,1.0,,31.146205563439,1.0,,-0.48,,9.0,2.0,2.0,,2.0,1.0,,,,,1.0
14015562,away,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,33.0,27.0,4.0,,0.0,23.0,25.0,4.0,8.0,,2.0,2.0,2.0,,,,,,57.0,40.0,6.5,6.0,80.608223752255,16.0,17.85,9.765,,"{'original': 6.5, 'alternative': 6.4}",0,0.0,0.04,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,81.81818181818183,,,,,,,1.0,4.0,,,,,,,3.0,,,,,1.0,4.0,,,,,,,,,,
14015562,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,39.0,24.0,3.0,1.0,0.0,11.0,16.0,13.0,23.0,3.0,5.0,5.0,2.0,,,,,,90.0,69.0,7.1,26.0,159.86986641423,19.0,50.085,28.56,,"{'original': 7.1, 'alternative': 6.9}",0,0.26,0.2,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,2,3,61.53846153846154,33.33333333333333,12.5,,,8.0,1.0,2.0,5.0,,,,,,,1.0,28.618953439984,1.0,1.0,,1.0,4.0,,,1.0,,,,,,,
14015562,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,25.0,23.0,3.0,2.0,0.0,11.0,12.0,12.0,13.0,,4.0,6.0,2.0,,,,,,65.0,35.0,7.1,6.0,63.425947749501,11.0,10.71,8.295,,"{'original': 7.1, 'alternative': 6.8}",0,0.23,0.09,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,92.0,66.66666666666666,,100.0,,1.0,,,2.0,1.0,1.0,,,,2.0,1.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,
14015562,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,23.0,17.0,3.0,,0.0,11.0,14.0,6.0,9.0,2.0,7.0,3.0,3.0,,,,,,90.0,42.0,6.8,12.0,110.43349946292,13.0,33.915,11.655,,"{'original': 6.8, 'alternative': 7}",2,-0.04,0.21,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,5,0,73.91304347826086,,,100.0,,4.0,,1.0,1.0,2.0,2.0,,,2.0,2.0,,,,,-0.51,,1.0,,,,,1.0,,,1.0,,
14015562,away,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,M,17,False,20.0,13.0,1.0,,0.0,5.0,7.0,8.0,13.0,2.0,10.0,,2.0,,,,,,90.0,37.0,7.1,12.0,80.049882413553,9.0,37.695,18.165,,"{'original': 7.1, 'alternative': 6.8}",0,-0.04,0.1,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,8,3,65.0,,,,,,,1.0,4.0,,,,,,3.0,,14.903004931892,1.0,1.0,,2.0,1.0,6.0,2.0,1.0,,,,,,,
14015562,away,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,False,21.0,14.0,2.0,,0.0,3.0,6.0,11.0,15.0,,1.0,3.0,1.0,,,,,,45.0,26.0,6.4,10.0,63.739913163195,12.0,38.22,9.765,,"{'original': 6.4, 'alternative': 6.5}",0,-0.23,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,66.66666666666666,,,,,,,2.0,3.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
