match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,challengeLost,totalContest,wonContest,bigChanceCreated,keyPass,accurateCross,shotOffTarget,totalOffside,shotValueNormalized,onTargetScoringAttempt,goals,hitWoodwork,punches,blockedScoringAttempt,lastManTackle
14015436,away,3115,FK TSC Bačka Topola,1132010,Veljko Ilić,veljko-ilic,G,12,False,31.0,28.0,7.0,4.0,0.0,26.0,26.0,2.0,5.0,2.0,1.0,,,90.0,35.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.3}",0,0.08,0.01,0.19,-0.61,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,90.32258064516128,57.14285714285714,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
14015436,away,263360,FK TSC Bačka Topola,1584979,Stefan Mladenović,stefan-mladenovic,D,15,False,14.0,7.0,2.0,,0.0,3.0,4.0,4.0,10.0,1.0,2.0,,,31.0,27.0,5.5,10.0,,"{'original': 5.5, 'alternative': 6.1}",1,-0.45,-0.23,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,50.0,,,33.33333333333333,,,,4.0,1.0,1.0,,1.0,,,,,,,1.0,3.0,1.0,,,,,,0.01,,,,,1.0,
14015436,away,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,93.0,81.0,11.0,3.0,0.0,49.0,54.0,32.0,39.0,2.0,6.0,,,90.0,103.0,6.8,14.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.32,0.2,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,87.09677419354838,27.27272727272727,,,,,,1.0,2.0,,,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,97.0,81.0,20.0,10.0,0.0,53.0,57.0,28.0,40.0,5.0,4.0,,,90.0,110.0,7.3,16.0,,"{'original': 7.3, 'alternative': 6.9}",0,0.39,0.23,-0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,2,2,83.50515463917526,50.0,,,,,5.0,3.0,7.0,,,1.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,78.0,69.0,4.0,2.0,0.0,37.0,41.0,32.0,37.0,,7.0,,,90.0,99.0,7.1,11.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.25,0.12,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,6,2,88.46153846153845,50.0,,100.0,,,2.0,2.0,8.0,,,3.0,5.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
14015436,away,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,55.0,49.0,5.0,2.0,0.0,30.0,30.0,19.0,25.0,3.0,7.0,,,90.0,75.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.2}",1,-0.04,0.13,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,89.0909090909091,40.0,,66.66666666666666,,2.0,1.0,6.0,5.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,,,,,,0.0,,,,,1.0,
14015436,away,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,19.0,14.0,1.0,,0.0,4.0,6.0,10.0,13.0,,2.0,,,74.0,28.0,6.0,9.0,,"{'original': 6, 'alternative': 6.4}",1,-0.13,0.06,-0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,73.68421052631578,,,,,,,6.0,3.0,,,,1.0,,3.0,2.0,4.0,,2.0,,,,,,1.0,,-0.41,,,,,,
14015436,away,263360,FK TSC Bačka Topola,589100,Saša Jovanović,sasa-jovanovic,M,8,False,17.0,11.0,2.0,1.0,0.0,,,11.0,17.0,1.0,1.0,,,90.0,39.0,6.3,16.0,,"{'original': 6.3, 'alternative': 6.9}",1,-0.35,0.06,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,64.70588235294117,50.0,14.285714285714285,,,7.0,,3.0,5.0,2.0,,1.0,1.0,1.0,2.0,4.0,,1.0,,,,,1.0,1.0,1.0,2.0,-0.04,,,,,,
14015436,away,7568,FK TSC Bačka Topola,822743,Sarpreet Singh,sarpreet-singh,M,11,False,10.0,7.0,2.0,1.0,0.0,3.0,3.0,4.0,7.0,,2.0,,,57.0,18.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.8}",1,0.12,0.03,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,70.0,50.0,,66.66666666666666,,,,3.0,5.0,,,1.0,,,,3.0,1.0,1.0,,3.0,2.0,,,,,,0.12,1.0,,,,,
14015436,away,263360,FK TSC Bačka Topola,923865,Vieljeux Prestige Mboungou,vieljeux-prestige-mboungou,M,29,False,17.0,13.0,1.0,,0.0,3.0,3.0,10.0,14.0,,2.0,,,57.0,29.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.2}",1,0.04,0.08,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,76.47058823529412,,,,,,,6.0,2.0,3.0,,,1.0,,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,-0.14,,,,,1.0,
