match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelWon,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,totalContest,wonContest,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,shotValueNormalized,aerialLost,totalCross,accurateCross,onTargetScoringAttempt,keyPass,goals,dispossessed,clearanceOffLine,totalOffside,penaltyWon,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,blockedScoringAttempt
14015413,home,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,False,6.0,6.0,,,0.0,6.0,6.0,,,5.0,,,,,,,62.0,17.0,6.3,6.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.01,-0.6,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,100.0,,,,,2.0,,1.0,1.0,3.0,,1.0,,,,,,,2.0,,2.0,,,,,,3.0,,,,,,,,
14015413,home,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,True,29.0,24.0,5.0,2.0,0.0,9.0,9.0,15.0,20.0,,,,,,,,51.0,47.0,7.5,8.0,,"{'original': 7.5, 'alternative': 7.6}",0,0.07,0.07,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,6,0,82.75862068965517,40.0,,100.0,,6.0,,4.0,3.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,,1.0,,,,,,,
14015413,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,11.0,9.0,2.0,1.0,0.0,3.0,5.0,6.0,6.0,9.0,4.0,,2.0,,,,50.0,32.0,6.6,15.0,,"{'original': 6.6, 'alternative': 6.3}",0,-0.12,0.34,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,3,9,81.81818181818183,50.0,,25.0,,3.0,1.0,1.0,1.0,2.0,,,8.0,2.0,,,1.0,,,,,4.0,,,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,True,18.0,12.0,,,0.0,4.0,7.0,8.0,11.0,6.0,4.0,,3.0,,,,45.0,29.0,6.5,13.0,,"{'original': 6.5, 'alternative': 6.3}",0,0.27,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,66.66666666666666,,,,,2.0,,1.0,,2.0,,1.0,2.0,,,,,,,,1.0,3.0,,,1.0,,,,1.0,,,,,,
14015413,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,1.0,,,,,,28.0,3.0,7.1,1.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.03,0.26,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
14015413,home,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,,,,,,,11.0,5.0,6.6,1.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.02,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,100.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,1894508,Siniša Popović,sinisa-popovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,home,229348,FK IMT Beograd,1393501,Lazar Konstantinov,lazar-konstantinov,D,3,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,home,229348,FK IMT Beograd,1516066,Irfan Zulfić,irfan-zulfic,M,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,away,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,38.0,22.0,24.0,8.0,0.0,17.0,21.0,5.0,17.0,,8.0,,,,1.0,2.0,90.0,44.0,6.9,17.0,0.1089,"{'original': 6.9, 'alternative': 6.7}",0,0.18,0.0,-0.01,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.89473684210527,33.33333333333333,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
14015413,away,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,False,38.0,31.0,3.0,2.0,1.0,17.0,21.0,14.0,17.0,5.0,3.0,,,,,,90.0,72.0,7.5,15.0,,"{'original': 7.5, 'alternative': 7.3}",0,0.39,0.09,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,81.57894736842105,66.66666666666666,,,,4.0,2.0,4.0,3.0,2.0,,,3.0,,,,3.0,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,
