match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,minutesPlayed,touches,rating,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,possessionLostCtrl,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,aerialWon,totalContest,outfielderBlock,challengeLost,wonContest,blockedScoringAttempt,shotOffTarget,hitWoodwork,totalOffside,bigChanceCreated,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,keeperSaveValue,goalkeeperValueNormalized,aerialLost
14015560,home,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,8.0,7.0,1.0,1.0,0.0,,,7.0,8.0,1.0,18.0,11.0,6.4,51.296886259259,5.0,28.245,17.64,"{'original': 6.4, 'alternative': 7.1}",1,0.67,0.15,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,87.5,100.0,,100.0,,,,,1.0,,1.0,,,,,,,,,1.0,18.270938673205,1.0,1.0,0.0,,1.0,,,1.0,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,True,17.0,17.0,2.0,2.0,0.0,4.0,4.0,13.0,13.0,2.0,17.0,19.0,6.9,56.923248221876,7.0,27.09,10.92,"{'original': 6.9, 'alternative': 6.8}",0,0.16,0.06,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,100.0,,100.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,8.0,6.0,,,1.0,4.0,4.0,2.0,4.0,2.0,11.0,11.0,7.4,,,,,"{'original': 7.4, 'alternative': 7.3}",0,0.68,,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,75.0,,100.0,,,2.0,2.0,,1.0,,,,,,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
14015560,home,5149,FK Crvena zvezda,2207346,Aleksa Damjanović,damjanovic-aleksa,F,19,True,1.0,,,,0.0,,,,1.0,,1.0,1.0,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015560,home,197184,FK Crvena zvezda,2266917,Dimitrije Šarić,dimitrije-saric,M,55,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,,1.0,3.0,,5.5183783849968,1.0,5.25,5.25,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015560,home,197184,FK Crvena zvezda,1584984,Vuk Roganović,vuk-roganovic,D,47,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,home,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,31.0,12.0,25.0,6.0,0.0,9.0,12.0,3.0,19.0,16.0,90.0,49.0,6.7,10.788648358002,2.0,1.365,0.94499999999999,"{'original': 6.7, 'alternative': 7.1}",0,0.09,-0.01,-0.33,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,38.70967741935484,24.0,,,,,,1.0,,,,,2.0,,,,,,,19.0,,,,,,,,1.0,,,,,,,2.0,2.0,7.0,1.0,1.0,0.4955,0.25,
14015560,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,D,17,False,21.0,14.0,5.0,2.0,0.0,8.0,12.0,6.0,9.0,1.0,89.0,30.0,6.0,49.327801350187,6.0,16.17,16.905,"{'original': 6, 'alternative': 6.3}",0,0.03,0.01,-0.54,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,66.66666666666666,40.0,,,,2.0,,1.0,3.0,,,,,,1.0,1.0,,2.0,,10.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0
14015560,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,25.0,20.0,2.0,,0.0,14.0,15.0,6.0,10.0,4.0,90.0,43.0,6.0,40.731767049888,6.0,22.05,10.08,"{'original': 6, 'alternative': 6.4}",0,0.07,0.01,-0.46,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,80.0,,,,,,,3.0,3.0,1.0,,,7.0,1.0,2.0,2.0,,1.0,,10.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0
14015560,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,17.0,13.0,2.0,,0.0,12.0,13.0,1.0,4.0,2.0,90.0,28.0,5.8,16.466167846818,3.0,6.09,6.195,"{'original': 5.8, 'alternative': 6.2}",0,0.02,0.0,-0.64,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,76.47058823529412,,,,,,,1.0,,,,,7.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0
14015560,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,18.0,13.0,4.0,1.0,0.0,9.0,12.0,4.0,6.0,4.0,90.0,39.0,5.9,49.797491261894,4.0,13.44,16.905,"{'original': 5.9, 'alternative': 6.5}",0,0.04,0.02,-0.56,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,72.22222222222221,25.0,,,,,,3.0,2.0,1.0,,,5.0,7.0,2.0,1.0,2.0,,,10.0,,,,,,2.0,,,,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,18.0,9.0,5.0,2.0,0.0,5.0,8.0,4.0,10.0,7.0,90.0,38.0,5.8,100.71677688015,7.0,75.39,31.605,"{'original': 5.8, 'alternative': 6.1}",0,0.01,0.15,-0.6,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,50.0,40.0,,,,1.0,,1.0,1.0,,,,,1.0,,,2.0,1.0,,14.0,32.591010432326,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,
14015560,away,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,M,36,False,14.0,12.0,,,0.0,4.0,4.0,8.0,10.0,5.0,73.0,19.0,6.6,62.264542125629,7.0,27.93,9.345,"{'original': 6.6, 'alternative': 6.6}",0,0.0,0.07,-0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,85.71428571428571,,,100.0,,,,,1.0,,,,1.0,1.0,,,1.0,,,4.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,M,28,False,20.0,16.0,2.0,2.0,0.0,10.0,12.0,6.0,8.0,7.0,73.0,37.0,6.4,63.316766195769,9.0,12.81,12.39,"{'original': 6.4, 'alternative': 6.3}",0,-0.03,0.0,-0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,80.0,100.0,,,,,,3.0,2.0,,,,1.0,2.0,2.0,1.0,4.0,,,11.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,19.0,14.0,2.0,,0.0,10.0,12.0,4.0,7.0,5.0,90.0,34.0,6.1,68.457429417119,8.0,43.785,11.76,"{'original': 6.1, 'alternative': 6}",0,-0.04,0.07,-0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,5,6,73.68421052631578,,,80.0,,,,7.0,5.0,4.0,,,,,1.0,1.0,2.0,,1.0,12.0,,,,,,5.0,,,4.0,,,,,,,,,,,,,1.0
14015560,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,13.0,7.0,2.0,,0.0,6.0,8.0,1.0,5.0,5.0,45.0,27.0,6.1,87.673996534346,7.0,40.95,31.185,"{'original': 6.1, 'alternative': 6.3}",1,0.02,0.06,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,53.84615384615385,,,33.33333333333333,,,,5.0,3.0,2.0,,,,1.0,,,1.0,2.0,,11.0,48.382975197894,1.0,,-0.51,,3.0,,,1.0,,1.0,,,,,,,,,,,1.0
14015560,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,19.0,13.0,3.0,2.0,0.0,9.0,13.0,4.0,6.0,3.0,89.0,39.0,5.7,47.699985310752,5.0,7.98,15.54,"{'original': 5.7, 'alternative': 6}",0,-0.07,-0.01,-0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,6,17,5,12,68.42105263157895,66.66666666666666,,,,,,18.0,5.0,7.0,,,,2.0,4.0,3.0,2.0,1.0,3.0,16.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,6.0
14015560,away,229348,FK Mladost Lučani,341339,Nemanja Ahčin,nemanja-ahcin,M,6,True,9.0,6.0,1.0,,0.0,4.0,5.0,2.0,4.0,1.0,45.0,14.0,6.1,56.58359051859,3.0,51.45,23.73,"{'original': 6.1, 'alternative': 6}",0,-0.03,0.04,-0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,66.66666666666666,,,,,,,4.0,2.0,1.0,,,,,1.0,,1.0,1.0,2.0,6.0,23.772927543742,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,3.0,3.0,1.0,1.0,0.0,3.0,3.0,,,,17.0,5.0,6.1,4.5310043036837,1.0,4.2,4.2,"{'original': 6.1, 'alternative': 6.2}",0,0.01,0.0,-0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,100.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,away,324865,FK Mladost Lučani,1865415,Jagoš Ðurković,jagos-djurkovic,M,42,True,1.0,1.0,,,0.0,,,1.0,1.0,,17.0,3.0,6.3,4.095564552049,1.0,4.095,4.095,"{'original': 6.3, 'alternative': 6.4}",1,0.0,0.02,-0.11,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,-0.28,,,,,,1.0,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,6.6,36.16471208236,1.0,31.92,31.92,"{'original': 6.6, 'alternative': 6.6}",0,-0.02,0.34,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,,,1.0,,,,,,,,,,,,,36.16471208236,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0
14015560,away,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,1.0,1.0,,,0.0,,,1.0,1.0,,9.0,1.0,6.3,,,,,"{'original': 6.3, 'alternative': 6.3}",0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,away,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015560,away,7771,FK Mladost Lučani,1463374,Nikola Popović,nikola-popovic,G,21,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
