match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceMissed,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,shotValueNormalized,aerialWon,outfielderBlock,fouls,keyPass,bigChanceCreated,goals,shotOffTarget,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
14015537,home,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,27.0,18.0,3.0,2.0,0.0,6.0,7.0,12.0,20.0,3.0,,80.0,38.0,6.6,15.0,109.6553156648,14.0,38.64,22.365,,"{'original': 6.6, 'alternative': 7.3}",0,0.21,0.13,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,4,3,66.66666666666666,66.66666666666666,,100.0,,,,5.0,8.0,6.0,2.0,,2.0,2.0,,,,,,,4.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,
14015537,home,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,True,6.0,4.0,,,0.0,3.0,5.0,1.0,1.0,2.0,,16.0,9.0,6.8,2.0,43.606520008675,4.0,13.44,23.625,,"{'original': 6.8, 'alternative': 6.4}",2,-0.02,0.4,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,66.66666666666666,,,100.0,,,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,0.03,,,1.0,1.0,1.0,,1.0,,,,,,,
14015537,home,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,True,7.0,6.0,,,0.0,3.0,3.0,3.0,4.0,1.0,,16.0,13.0,6.9,2.0,31.538251028587,5.0,8.4,9.555,,"{'original': 6.9, 'alternative': 6.8}",0,0.06,-0.51,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,85.71428571428571,,,,,,,,,2.0,,,,,,,3.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,8.0,3.0,,,0.0,1.0,3.0,2.0,5.0,,,10.0,13.0,7.1,6.0,43.799721454386,6.0,16.695,16.905,,"{'original': 7.1, 'alternative': 7}",0,0.06,0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,3,1,37.5,,,,,,,1.0,2.0,8.0,1.0,,,,,,1.0,,1.0,1.0,1.0,2.0,,5.0,,,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,0.0,,,,,,,1.0,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,80250,Nikola Leković,nikola-lekovic,D,35,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,229348,FK Mladost Lučani,341339,Nemanja Ahčin,nemanja-ahcin,M,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,1859502,Ognjen Alempijević,ognjen-alempijevic,F,31,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,away,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,False,19.0,15.0,5.0,1.0,0.0,14.0,15.0,1.0,4.0,4.0,4.0,90.0,27.0,7.4,4.0,39.905016312916,8.0,-28.14,0.42,0.5166,"{'original': 7.4, 'alternative': 6.8}",0,0.07,0.01,-0.16,0.43,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,78.94736842105263,20.0,,,100.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,1.0,2.0,2.0,
14015537,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,25.0,18.0,4.0,1.0,0.0,13.0,14.0,5.0,11.0,5.0,,45.0,39.0,6.4,11.0,120.31634497744,19.0,-46.41,5.145,,"{'original': 6.4, 'alternative': 6.5}",0,-0.03,0.08,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,72.0,25.0,,,,3.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
14015537,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,93.0,76.0,9.0,5.0,0.0,40.0,47.0,36.0,46.0,8.0,,90.0,106.0,6.6,17.0,396.80635009395,50.0,-193.515,8.925,,"{'original': 6.6, 'alternative': 6.5}",0,0.16,0.26,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,10,3,2,1,81.72043010752688,55.55555555555556,,100.0,,,,6.0,7.0,6.0,,,1.0,1.0,,,2.0,2.0,,,,1.0,,4.0,,2.0,,,,,,1.0,,,,,1.0
