match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,interceptionWon,shotOffTarget,blockedScoringAttempt,keyPass,hitWoodwork,bigChanceCreated
15280986,away,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,28.0,22.0,15.0,9.0,0.0,15.0,17.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,90.0,33.0,6.3,9.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,78.57142857142857,60.0,,,0.0,,2.0,,,,,
15280986,away,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,D,11,False,21.0,15.0,3.0,1.0,0.0,7.0,9.0,8.0,12.0,1.0,1.0,2.0,1.0,10.0,3.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,90.0,37.0,7.1,15.0,0.13,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,71.42857142857143,33.33333333333333,100.0,0.0,,,,,,,,
15280986,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,44.0,26.0,12.0,5.0,0.0,21.0,30.0,5.0,14.0,0.0,0.0,4.0,1.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,53.0,5.6,21.0,0.01,0.01,"{'original': 5.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,1,7,59.09090909090909,41.66666666666667,,,,,2.0,1.0,,1.0,,
15280986,away,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,27.0,19.0,9.0,4.0,0.0,13.0,17.0,6.0,10.0,0.0,0.0,2.0,3.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90.0,37.0,6.4,8.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,0,7,70.37037037037037,44.44444444444444,,,,,1.0,,,,,
15280986,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,31.0,25.0,3.0,1.0,0.0,12.0,14.0,13.0,17.0,1.0,0.0,3.0,2.0,17.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,90.0,47.0,6.6,13.0,0.0,0.01,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,3,14,80.64516129032258,33.33333333333333,0.0,0.0,,,2.0,,,1.0,,
15280986,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,30.0,27.0,4.0,2.0,0.0,18.0,21.0,8.0,8.0,0.0,0.0,1.0,1.0,11.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,,,,,,83.0,45.0,7.0,8.0,0.03,0.0,"{'original': 7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,3,10,90.0,50.0,,100.0,,,1.0,3.0,,,,
15280986,away,7581,FK Bokelj Kotor,572018,Velizar Janketić,velizar-janketic,M,7,False,14.0,11.0,2.0,1.0,0.0,3.0,3.0,8.0,11.0,1.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,70.0,26.0,6.9,5.0,0.0,0.01,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,78.57142857142857,50.0,100.0,,,,,,,1.0,,
15280986,away,7581,FK Bokelj Kotor,1031066,Vitinho,vitinho,M,77,False,31.0,22.0,3.0,1.0,0.0,16.0,21.0,6.0,10.0,0.0,0.0,1.0,1.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,90.0,48.0,6.7,10.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,3,10,70.96774193548387,33.33333333333333,,,,,5.0,,,,,
15280986,away,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,37.0,29.0,6.0,4.0,0.0,15.0,16.0,13.0,20.0,0.0,0.0,1.0,3.0,6.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,90.0,52.0,6.9,14.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,78.37837837837837,66.66666666666666,,100.0,,1.0,1.0,,,,,
15280986,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,13.0,8.0,2.0,0.0,0.0,5.0,6.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,46.0,14.0,6.5,3.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,61.53846153846154,0.0,,,,,,,,,,
