match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,totalContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,totalOffside,keyPass,outfielderBlock,shotOffTarget,shotValueNormalized,wonContest,errorLeadToAShot,dispossessed,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,challengeLost,goals
14015417,away,3248,FK TSC Bačka Topola,997191,Miloš Pantović,milos-pantovic,M,27,True,10.0,8.0,1.0,1.0,0.0,5.0,5.0,3.0,5.0,2.0,3.0,,3.0,,,,,,31.0,19.0,6.9,5.0,,"{'original': 6.9, 'alternative': 6.9}",1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,80.0,100.0,,100.0,,,,1.0,3.0,1.0,,,,,,1.0,,1.0,,,,1.0,,2.0,,,1.0,,,
14015417,away,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,True,13.0,10.0,2.0,1.0,0.0,6.0,6.0,4.0,7.0,,,1.0,,,,,,,31.0,19.0,7.0,3.0,,"{'original': 7, 'alternative': 7}",1,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,76.92307692307693,50.0,100.0,,,2.0,2.0,1.0,3.0,,,,,,,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,
14015417,away,382024,FK TSC Bačka Topola,851599,Tyrone Conraad,tyrone-conraad,F,77,True,7.0,3.0,,,0.0,,,3.0,7.0,1.0,2.0,2.0,1.0,,,,,,31.0,11.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.7}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,42.857142857142854,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
14015417,away,263360,FK TSC Bačka Topola,1586205,Bogdan Petrović,bogdan-petrovic,F,9,True,6.0,4.0,,,0.0,1.0,3.0,3.0,3.0,1.0,2.0,,,,,,,,17.0,11.0,6.7,3.0,,"{'original': 6.7, 'alternative': 6.7}",2,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,66.66666666666666,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,,,
14015417,away,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,True,6.0,5.0,,,0.0,2.0,3.0,3.0,3.0,,3.0,,,,,,,,17.0,10.0,6.8,2.0,,"{'original': 6.8, 'alternative': 6.8}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,83.33333333333334,,,,,,,1.0,2.0,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
14015417,away,263360,FK TSC Bačka Topola,964814,Nemanja Jorgić,nemanja-jorgic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015417,away,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015417,away,263360,FK TSC Bačka Topola,1146245,Mihajlo Milosavić,mihajlo-milosavic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015417,away,2040,FK TSC Bačka Topola,1497358,Miloš Jovičić,milos-jovicic,F,24,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015417,away,263360,FK TSC Bačka Topola,190665,Luka Capan,luka-capan,D,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015417,away,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
