match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,interceptionWon,unsuccessfulTouch,wasFouled,fouls,totalOffside,totalTackle,wonTackle,accurateCross,totalContest,wonContest,keyPass,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,dispossessed,shotOffTarget,bigChanceMissed,goals,errorLeadToAGoal,goodHighClaim,outfielderBlock,errorLeadToAShot
14015549,home,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,18.0,13.0,,,0.0,4.0,4.0,9.0,14.0,,3.0,,,90.0,31.0,7.1,9.0,72.110041439872,8.0,21.105,13.965,,"{'original': 7.1, 'alternative': 7}",4,-0.37,0.31,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,72.22222222222221,,,100.0,,,2.0,1.0,4.0,2.0,2.0,,3.0,,,,,,,1.0,1.0,2.0,,2.0,1.0,0.49,,1.0,1.0,1.0,,,,
14015549,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,13.0,12.0,,,0.0,4.0,4.0,8.0,9.0,,1.0,,,23.0,20.0,6.7,2.0,70.982409481254,5.0,36.225,18.795,,"{'original': 6.7, 'alternative': 6.8}",0,0.02,0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,92.3076923076923,,,100.0,,,,,,2.0,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,F,17,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,13.0,8.0,6.5,5.0,37.282997488426,2.0,13.23,8.82,,"{'original': 6.5, 'alternative': 6.5}",0,-0.14,0.06,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,4.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
14015549,home,200776,FK Radnički 1923,1063157,Luka Stankovski,stankovski-luka,M,80,True,12.0,10.0,2.0,2.0,0.0,4.0,4.0,6.0,8.0,,2.0,,,13.0,18.0,6.4,7.0,50.139403411093,7.0,-5.46,4.62,,"{'original': 6.4, 'alternative': 6.2}",0,0.02,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,83.33333333333334,100.0,,,,,,,6.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,4.0,,,,,,,
14015549,home,32870,FK Radnički 1923,990630,Yankuba Jarju,yankuba-jarju,F,66,True,1.0,1.0,,,0.0,,,1.0,1.0,,1.0,,,10.0,2.0,6.7,,,,,,,"{'original': 6.7, 'alternative': 6.7}",0,0.16,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,100.0,,,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14015549,home,5148,FK Radnički 1923,13691,Vladimir Stojković,vladimir-stojkovic,G,88,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,1022058,Milan Vidakov,vidakov-milan,F,90,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,1802942,Stefan Petkoski Cimbaljević,stefan-petkoski-cimbaljevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,home,263765,FK Radnički 1923,1853855,Ibrahim Yusuf Omosanya,ibrahim-yusuf-omosanya,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,home,241802,FK Radnički 1923,987618,Danilo Mitrović,danilo-mitrovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,30.0,12.0,20.0,4.0,0.0,9.0,14.0,3.0,16.0,,8.0,1.0,4.0,90.0,40.0,6.2,18.0,5.8312605841276,1.0,-2.1,-2.1,0.0542,"{'original': 6.2, 'alternative': 6.7}",0,0.04,-0.01,-0.39,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,40.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
14015549,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,32.0,25.0,1.0,1.0,0.0,20.0,25.0,5.0,7.0,4.0,8.0,,,90.0,69.0,6.5,19.0,124.22671518228,18.0,-17.535,6.3,,"{'original': 6.5, 'alternative': 6.5}",0,-0.03,0.05,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,4,17,6,11,78.125,100.0,,16.666666666666664,,1.0,2.0,2.0,13.0,8.0,4.0,2.0,3.0,3.0,2.0,,2.0,1.0,,6.0,1.0,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,30.0,22.0,9.0,4.0,0.0,16.0,20.0,6.0,10.0,7.0,,,,90.0,49.0,6.9,10.0,103.05480685998,13.0,-54.39,3.99,,"{'original': 6.9, 'alternative': 6.8}",1,0.0,0.06,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,73.33333333333333,44.44444444444444,,,,,1.0,,4.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,,1.0,,-0.56,1.0,,1.0,,,,1.0,
14015549,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,36.0,30.0,6.0,2.0,0.0,24.0,25.0,6.0,11.0,7.0,4.0,,,90.0,46.0,6.8,7.0,136.47438697558,16.0,-20.16,6.195,,"{'original': 6.8, 'alternative': 7}",0,0.07,0.01,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,83.33333333333334,33.33333333333333,,,,,1.0,3.0,3.0,3.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0
14015549,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,False,28.0,17.0,5.0,1.0,0.0,13.0,18.0,4.0,10.0,3.0,1.0,,,83.0,47.0,6.3,16.0,34.219326676286,6.0,7.98,6.72,,"{'original': 6.3, 'alternative': 6.7}",1,-0.06,0.03,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,4,5,60.71428571428571,20.0,,,,,1.0,4.0,6.0,8.0,,2.0,,,4.0,,4.0,3.0,,1.0,,1.0,,,,-0.37,,1.0,,,,,1.0,
14015549,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,38.0,28.0,4.0,,0.0,24.0,29.0,4.0,9.0,4.0,11.0,,,89.0,56.0,7.6,14.0,36.406835741313,5.0,-20.16,0.42,,"{'original': 7.6, 'alternative': 7.8}",2,-0.04,0.09,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,73.68421052631578,,,50.0,,,,2.0,6.0,6.0,2.0,1.0,,1.0,1.0,,2.0,2.0,,2.0,1.0,,,2.0,,0.4,2.0,,,1.0,,,,
14015549,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,39.0,30.0,7.0,4.0,1.0,17.0,19.0,13.0,20.0,5.0,5.0,,,90.0,66.0,8.2,12.0,138.21945171504,16.0,-69.51,6.09,,"{'original': 8.2, 'alternative': 8}",0,0.78,0.14,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,7,6,76.92307692307693,57.14285714285714,66.66666666666666,100.0,,3.0,,1.0,6.0,8.0,2.0,3.0,1.0,4.0,3.0,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,1.0,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,12.0,10.0,,,0.0,7.0,8.0,3.0,4.0,1.0,2.0,,,64.0,21.0,6.2,7.0,36.151719312434,4.0,-5.67,7.245,,"{'original': 6.2, 'alternative': 6.5}",1,-0.1,0.03,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,83.33333333333334,,,,,,4.0,,5.0,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,,-0.04,1.0,,,,,,,1.0
14015549,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,18.0,14.0,2.0,2.0,0.0,5.0,7.0,9.0,11.0,1.0,1.0,,,63.0,35.0,7.9,9.0,56.827783817524,9.0,13.545,8.295,,"{'original': 7.9, 'alternative': 7.4}",0,0.61,0.0,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,77.77777777777779,100.0,57.14285714285714,80.0,,7.0,1.0,,4.0,6.0,1.0,,,,,,2.0,2.0,4.0,5.0,4.0,2.0,,,,,1.0,,,,,,,
14015549,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,5.0,2.0,,,0.0,,2.0,2.0,3.0,2.0,,,,90.0,18.0,6.3,9.0,75.103221293638,6.0,-49.455,1.68,,"{'original': 6.3, 'alternative': 6.6}",1,-0.05,0.05,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,40.0,,,50.0,,,3.0,2.0,7.0,4.0,2.0,,4.0,,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,-0.21,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,16.0,13.0,,,0.0,3.0,4.0,10.0,12.0,1.0,2.0,,,89.0,29.0,6.7,9.0,38.592101119886,8.0,-4.41,4.305,,"{'original': 6.7, 'alternative': 6.6}",0,-0.09,0.02,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,81.25,,,,,,2.0,3.0,6.0,6.0,1.0,,4.0,3.0,1.0,,,,,,,,,,,,2.0,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1126871,Benjamin Acquah,benjamin-acquah,M,17,True,4.0,2.0,,,0.0,2.0,3.0,,1.0,,2.0,,,27.0,9.0,7.0,3.0,25.883811621981,3.0,-16.905,0.63,,"{'original': 7, 'alternative': 6.9}",0,-0.08,0.23,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,50.0,,,,,,,1.0,1.0,5.0,,,1.0,1.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,True,6.0,3.0,1.0,,0.0,3.0,4.0,,2.0,2.0,1.0,,,26.0,14.0,6.4,7.0,26.494620395421,4.0,-11.97,3.15,,"{'original': 6.4, 'alternative': 6.4}",0,-0.12,-0.01,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,50.0,,,,,,,1.0,2.0,3.0,,,3.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,True,,,,,0.0,,,,,1.0,,,,12.0,4.0,6.7,,3.8254046844746,1.0,-1.995,-1.995,,"{'original': 6.7, 'alternative': 6.6}",0,,0.14,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,True,2.0,,1.0,,0.0,,2.0,,,,1.0,,,1.0,4.0,,2.0,3.2021194543614,1.0,-1.575,-1.575,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,,,,100.0,,,,,,2.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,0.0,,,,,2.0,,,,1.0,3.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,F,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,away,203041,FK Javor Ivanjica,804833,Nemanja Krstić,nemanja-krstic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015549,away,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
