match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,onTargetScoringAttempt,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,totalContest,wonContest,outfielderBlock,wonTackle,fouls,interceptionWon,totalCross,accurateCross,dispossessed,blockedScoringAttempt,unsuccessfulTouch,shotOffTarget,bigChanceCreated,challengeLost,goals,errorLeadToAShot,punches,totalOffside
14015622,home,25736,FK Novi Pazar,1133676,Vieiri Kotzebue,vieri-kotzebue,F,9,False,10.0,7.0,,,0.0,2.0,2.0,5.0,8.0,5.0,5.0,3.0,,,,,,,,60.0,20.0,7.8,6.0,7.7613727136075,2.0,0.84637322426758,0.0,,"{'original': 7.8, 'alternative': 7.3}",1,-0.14,-0.02,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,7,0,0,0,70.0,,,,,2.0,2.0,1.0,,,,,0.45,,,,,,,,,,,3.0,,,,1.0,,,
14015622,home,25736,FK Novi Pazar,796184,Anes Rušević,anes-rusevic,F,11,True,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,1.0,,,1.0,,,,,,30.0,6.0,6.4,,6.2447533177861,1.0,-1.9902508317809,0.0,,"{'original': 6.4, 'alternative': 6.5}",0,0.0,-0.05,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,100.0,,,,,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,1175945,Bob Murphy Omoregbe,omoregbe-bob-murphy,F,7,True,3.0,3.0,,,0.0,,,3.0,3.0,,1.0,,,,,,,,,29.0,9.0,6.8,3.0,59.623013285728,4.0,36.61594238216,2.0,,"{'original': 6.8, 'alternative': 6.7}",1,0.31,0.22,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,50.0,,,1.0,,,26.349063362215,47.106444132783,2.0,-0.06,2.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,
14015622,home,25736,FK Novi Pazar,1102770,Semir Alić,semir-alic,M,14,True,13.0,9.0,1.0,,0.0,5.0,8.0,4.0,5.0,1.0,2.0,,1.0,,,,,,,29.0,19.0,6.3,8.0,34.465669855701,4.0,14.10080019906,0.0,,"{'original': 6.3, 'alternative': 6.2}",0,-0.05,0.0,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,69.23076923076923,,,,,1.0,3.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,2.0,,,,,1.0,,
14015622,home,25736,FK Novi Pazar,944503,Luka Bijelović,luka-bijelovic,F,28,True,2.0,1.0,,,0.0,,,1.0,2.0,,,1.0,,,,,,,,18.0,3.0,6.5,1.0,,,,,,"{'original': 6.5, 'alternative': 6.6}",0,-0.01,,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,907763,Abdulsamed Abdullahi,abdulsamed-abdullahi,M,8,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015622,home,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
