match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelWon,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialLost,duelLost,outfielderBlock,fouls,totalContest,wonContest,ownGoals,challengeLost,shotOffTarget,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,hitWoodwork,dispossessed,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed
14015526,away,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,19.0,10.0,14.0,5.0,0.0,6.0,10.0,4.0,9.0,,9.0,3.0,,90.0,26.0,6.4,9.0,7.9479765914931,2.0,1.89,3.885,0.2812,"{'original': 6.4, 'alternative': 5.9}",0,0.03,-0.03,-0.91,0.29,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,52.63157894736842,35.714285714285715,,,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,
14015526,away,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,False,33.0,28.0,4.0,2.0,0.0,16.0,18.0,12.0,15.0,3.0,3.0,,,90.0,64.0,6.7,11.0,172.81256504731,22.0,-67.095,9.345,,"{'original': 6.7, 'alternative': 6.6}",0,0.2,0.02,-0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,8,4,84.84848484848484,50.0,,,,2.0,,1.0,9.0,2.0,4.0,3.0,1.0,5.0,,4.0,,1.0,2.0,,,1.0,,,,1.0,,,,,,,,,
14015526,away,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,56.0,49.0,5.0,2.0,0.0,42.0,45.0,7.0,11.0,2.0,1.0,,,90.0,69.0,6.4,11.0,174.18203397024,23.0,-57.33,9.765,,"{'original': 6.4, 'alternative': 6.6}",0,0.17,0.06,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,87.5,40.0,,,,,,2.0,4.0,,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,
14015526,away,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,52.0,41.0,11.0,5.0,0.0,28.0,29.0,13.0,23.0,4.0,3.0,,,90.0,62.0,6.2,11.0,157.72486912421,16.0,-55.335,14.49,,"{'original': 6.2, 'alternative': 6.5}",0,0.15,0.06,-0.42,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,78.84615384615384,45.45454545454545,,,,,,3.0,4.0,1.0,1.0,1.0,,,3.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,
14015526,away,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,40.0,34.0,5.0,4.0,0.0,16.0,19.0,18.0,21.0,2.0,10.0,,,90.0,64.0,6.2,15.0,206.51437730503,17.0,-157.92,4.515,,"{'original': 6.2, 'alternative': 6.5}",0,0.09,0.2,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,85.0,80.0,25.0,,,4.0,1.0,,3.0,,2.0,2.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,1.0,,,,,,
14015526,away,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,False,30.0,20.0,2.0,1.0,0.0,9.0,11.0,11.0,19.0,,3.0,,,69.0,54.0,6.5,17.0,165.63338520618,21.0,-82.005,3.99,,"{'original': 6.5, 'alternative': 6.7}",2,-0.06,0.13,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,8,13,6,7,66.66666666666666,50.0,,33.33333333333333,,1.0,,3.0,9.0,1.0,1.0,1.0,1.0,4.0,5.0,12.0,,1.0,3.0,1.0,,2.0,1.0,1.0,,,-0.42,,2.0,,,,,,
14015526,away,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,56.0,48.0,7.0,3.0,0.0,23.0,28.0,25.0,28.0,,6.0,,,90.0,67.0,6.4,11.0,211.15374905965,27.0,-8.925,17.01,,"{'original': 6.4, 'alternative': 6.6}",0,-0.11,0.19,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,85.71428571428571,42.857142857142854,,100.0,,1.0,,,4.0,,2.0,,1.0,,,2.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,
14015526,away,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,,2.0,,,75.0,23.0,6.2,9.0,90.271456275569,12.0,-38.85,6.51,,"{'original': 6.2, 'alternative': 6.7}",4,0.25,0.17,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,88.88888888888889,,16.666666666666664,,,6.0,1.0,,,,,,2.0,,1.0,3.0,,1.0,,,,,1.0,,,2.0,-0.28,1.0,1.0,3.0,1.0,,,,
14015526,away,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,14.0,9.0,,,0.0,3.0,4.0,6.0,10.0,2.0,2.0,,,45.0,20.0,6.0,7.0,46.510678394743,9.0,-33.075,-0.52500000000001,,"{'original': 6, 'alternative': 6.2}",0,-0.29,0.1,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,64.28571428571429,,,,,1.0,,,1.0,,,,,1.0,2.0,4.0,,,,,,1.0,,,,,,,1.0,,,,,,
14015526,away,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,13.0,8.0,1.0,,0.0,3.0,3.0,5.0,10.0,,1.0,,,45.0,20.0,6.0,9.0,53.347093317337,8.0,-32.34,1.995,,"{'original': 6, 'alternative': 6.1}",0,-0.1,0.01,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,61.53846153846154,,,50.0,,1.0,,,1.0,,,,1.0,,,3.0,,1.0,2.0,1.0,,1.0,,,,,,,,,1.0,,,,
