match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,blockedScoringAttempt,dispossessed
15280973,away,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,8.0,6.0,6.0,4.0,0.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,90.0,10.0,6.3,5.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,66.66666666666666,,,0.0,,,,
15280973,away,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,D,77,False,18.0,10.0,4.0,1.0,0.0,3.0,3.0,6.0,13.0,2.0,1.0,0.0,2.0,8.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,74.0,28.0,6.4,11.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,1,8,55.55555555555556,25.0,50.0,50.0,,,,,
15280973,away,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,19.0,10.0,8.0,3.0,0.0,1.0,5.0,8.0,12.0,0.0,0.0,1.0,2.0,9.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,20.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,33.0,7.4,11.0,0.27,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,3,18,10,8,52.63157894736842,37.5,,,,,,,
15280973,away,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,12.0,9.0,3.0,2.0,0.0,4.0,4.0,4.0,6.0,0.0,0.0,3.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,18.0,6.7,6.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,0,3,75.0,66.66666666666666,,,,,,,
15280973,away,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,17.0,7.0,4.0,3.0,0.0,4.0,5.0,2.0,9.0,0.0,0.0,1.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,24.0,6.5,12.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,41.17647058823529,75.0,,,,,,,
15280973,away,37956,FK Arsenal Tivat,925940,Armin Imamović,armin-imamovic,D,14,False,28.0,16.0,8.0,4.0,0.0,3.0,5.0,9.0,19.0,4.0,1.0,2.0,2.0,7.0,8.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,13.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,36.0,7.4,9.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,6,5,57.14285714285714,50.0,25.0,100.0,,,,,
15280973,away,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,20.0,14.0,3.0,3.0,0.0,6.0,6.0,8.0,14.0,1.0,0.0,1.0,0.0,8.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,,,,,,90.0,39.0,7.2,8.0,0.0,0.27,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,4,7,70.0,100.0,0.0,50.0,,,1.0,,
15280973,away,37956,FK Arsenal Tivat,842506,Aleksandar Macanović,aleksandar-macanovic,M,20,False,24.0,14.0,4.0,1.0,0.0,6.0,8.0,4.0,10.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,61.0,31.0,6.7,15.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,1,8,58.333333333333336,25.0,,,,,,,
15280973,away,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,20.0,13.0,3.0,2.0,0.0,5.0,8.0,7.0,11.0,0.0,0.0,5.0,0.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,,,,,,,90.0,27.0,6.3,10.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,3,14,65.0,66.66666666666666,,,,,,,
15280973,away,37956,FK Arsenal Tivat,957906,Igor Vukcevic,igor-vukcevic,F,9,False,20.0,12.0,4.0,1.0,0.0,1.0,3.0,10.0,16.0,0.0,0.0,8.0,8.0,14.0,13.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,84.0,32.0,7.4,20.0,0.13,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,16,11,5,6,60.0,25.0,,100.0,,,,,2.0
