match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,fouls,onTargetScoringAttempt,goals,keyPass,shotValueNormalized,blockedScoringAttempt,challengeLost,totalCross,accurateCross,totalTackle,wonTackle,shotOffTarget,dispossessed,penaltyConceded,penaltyWon,bigChanceMissed,totalOffside,penaltyMiss,bigChanceCreated
14015475,home,5148,FK Čukarički,804183,Milan Pavkov,milan-pavkov,F,50,True,4.0,3.0,1.0,,0.0,1.0,1.0,2.0,3.0,,,,,,,3.0,7.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,75.0,,,,,1.0,2.0,1.0,3.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,1595518,Veljko Radosavljević,veljko-radosavljevic,M,86,True,,,,,0.0,,,,,,,,,,,3.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,1446160,Aboubacar Cisse,aboubacar-cisse,F,20,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,1149291,Matija Marsenić,matija-marsenic,M,80,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,33584,FK Čukarički,947437,Paul Mbong,paul-mbong,F,88,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,home,5148,FK Čukarički,1515308,Godswill Vadze,godswill-vadze,F,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,20.0,11.0,11.0,2.0,0.0,10.0,12.0,1.0,8.0,3.0,,2.0,,,2.0,90.0,23.0,6.8,9.0,0.3033,"{'original': 6.8, 'alternative': 6.5}",0,0.0,-0.04,-0.12,0.31,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,55.00000000000001,18.181818181818183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,39.0,27.0,5.0,3.0,0.0,15.0,19.0,12.0,20.0,3.0,,,,,,90.0,80.0,7.5,20.0,,"{'original': 7.5, 'alternative': 7.7}",0,-0.01,0.18,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,9,10,7,3,69.23076923076923,60.0,33.33333333333333,66.66666666666666,,1.0,8.0,4.0,15.0,3.0,2.0,9.0,1.0,,2.0,2.0,1.0,,,1.0,,,,3.0,1.0,3.0,2.0,,1.0,,,,,,
14015475,away,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,61.0,40.0,14.0,3.0,0.0,27.0,33.0,13.0,28.0,2.0,,,,,,90.0,69.0,7.0,24.0,,"{'original': 7, 'alternative': 6.9}",0,0.01,0.03,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,2,0,65.57377049180327,21.428571428571427,100.0,,,2.0,4.0,2.0,6.0,,,,,1.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,
14015475,away,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,49.0,40.0,3.0,,0.0,28.0,32.0,12.0,17.0,4.0,,,,,,90.0,71.0,6.8,13.0,,"{'original': 6.8, 'alternative': 7}",2,0.05,0.03,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,8,8,3,5,81.63265306122449,,,,,3.0,5.0,8.0,8.0,,,7.0,,2.0,2.0,1.0,5.0,1.0,,,-0.08,1.0,1.0,1.0,,2.0,2.0,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,48.0,41.0,7.0,4.0,0.0,22.0,25.0,19.0,23.0,4.0,,,,,,90.0,66.0,6.6,14.0,,"{'original': 6.6, 'alternative': 6.8}",0,-0.2,0.04,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,85.41666666666666,57.14285714285714,50.0,66.66666666666666,,,1.0,2.0,5.0,3.0,2.0,,,,,2.0,1.0,,,1.0,,,,4.0,2.0,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,23.0,22.0,2.0,1.0,0.0,11.0,11.0,11.0,12.0,6.0,,,,,,64.0,33.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.5}",0,0.02,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,95.65217391304348,50.0,33.33333333333333,,,,,2.0,,2.0,,,,,1.0,,,,,1.0,,,,3.0,1.0,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,58.0,48.0,5.0,3.0,0.0,21.0,22.0,27.0,36.0,4.0,,,,,,90.0,72.0,7.2,10.0,,"{'original': 7.2, 'alternative': 7.5}",0,0.05,0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,5,2,82.75862068965517,60.0,100.0,,,,4.0,2.0,9.0,,,2.0,,3.0,,1.0,2.0,,,,,,,1.0,1.0,4.0,3.0,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,49.0,39.0,11.0,7.0,0.0,26.0,29.0,13.0,20.0,6.0,,,,,,89.0,75.0,5.9,21.0,,"{'original': 5.9, 'alternative': 6.6}",3,-0.15,0.07,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,79.59183673469387,63.63636363636363,41.66666666666667,100.0,,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,-0.91,1.0,1.0,12.0,5.0,,,1.0,2.0,,,1.0,1.0,1.0,
14015475,away,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,13.0,11.0,2.0,,0.0,4.0,5.0,7.0,8.0,2.0,,,,,,45.0,19.0,5.9,6.0,,"{'original': 5.9, 'alternative': 6.1}",1,-0.07,0.1,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,84.61538461538461,,,,,4.0,,7.0,,,,,,,1.0,,,,,1.0,-0.12,1.0,1.0,1.0,,,,,2.0,,,,,,
14015475,away,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,F,22,False,23.0,18.0,1.0,1.0,0.0,5.0,7.0,13.0,16.0,2.0,,,,,,64.0,29.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.02,0.13,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,78.26086956521739,100.0,,,,1.0,1.0,4.0,3.0,2.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,972802,Bayere Loue,bayere-loue,F,27,False,10.0,7.0,,,0.0,6.0,7.0,1.0,3.0,2.0,,,,,,89.0,21.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.6}",2,-0.54,0.28,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,70.0,,,100.0,,2.0,2.0,4.0,6.0,1.0,1.0,1.0,,,3.0,3.0,2.0,1.0,,,0.01,,,,,,,1.0,,,,1.0,,,
14015475,away,5144,FK Javor Ivanjica,895905,Ibrahim Tanko,ibrahim-tanko,F,9,True,15.0,11.0,,,0.0,3.0,5.0,8.0,10.0,1.0,,,,,,45.0,22.0,6.9,5.0,,"{'original': 6.9, 'alternative': 6.8}",0,-0.07,0.21,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,6,0,0,0,73.33333333333333,,,,,2.0,4.0,2.0,4.0,,,2.0,,2.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,
14015475,away,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,True,1.0,,,,0.0,,1.0,,,1.0,,,,,,26.0,6.0,6.6,2.0,,"{'original': 6.6, 'alternative': 6.6}",1,-0.02,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,,,,,,2.0,,2.0,2.0,,,,,,,2.0,,,,,0.02,1.0,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,1047458,Mateja Zuvić,mateja-zuvic,F,32,True,6.0,5.0,,,0.0,,,5.0,6.0,,,,,,,26.0,11.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.2,0.04,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,83.33333333333334,,,100.0,,,,,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0
14015475,away,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,1.0,4.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
14015475,away,312342,FK Javor Ivanjica,2196365,Martin Anđelković,martin-andjelkovic,F,31,True,,,,,0.0,,,,,,,,,,,1.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015475,away,203041,FK Javor Ivanjica,804833,Nemanja Krstić,nemanja-krstic,M,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,1124030,Milan Ilić,ilic-milan,D,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,1153911,Dušan Ristić,dusan-ristic,D,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,1910871,Petar Đoković,dokovic-petar,M,25,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015475,away,5144,FK Javor Ivanjica,1065775,Dimitrije Stevanović,dimitrije-stevanovic,G,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
