match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,shotOffTarget,dispossessed,hitWoodwork,bigChanceMissed,blockedScoringAttempt,clearanceOffLine,bigChanceCreated,penaltyWon
14147319,away,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,False,36.0,32.0,3.0,2.0,0.0,15.0,15.0,15.0,19.0,1.0,0.0,1.0,2.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,43.0,6.9,13.0,0.0,0.02,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,1,9,88.88888888888889,66.66666666666666,0.0,0.0,,2.0,1.0,,,,,,,,
14147319,away,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,D,4,False,78.0,63.0,15.0,6.0,0.0,36.0,38.0,27.0,40.0,1.0,1.0,4.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,99.0,6.5,16.0,0.09,0.02,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,80.76923076923077,40.0,100.0,,,,1.0,,,,,1.0,,,
14147319,away,241802,FK Budućnost Podgorica,101202,Adnan Orahovac,adnan-orahovac,D,55,False,70.0,63.0,7.0,5.0,0.0,40.0,41.0,21.0,25.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,83.0,7.4,7.0,0.0,0.05,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,90.0,71.42857142857143,,,,2.0,1.0,,,,,,1.0,,
14147319,away,252080,FK Budućnost Podgorica,932310,Ognjen Gašević,ognjen-gasevic,D,15,False,60.0,50.0,3.0,2.0,1.0,29.0,31.0,21.0,29.0,2.0,0.0,0.0,1.0,9.0,4.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,78.0,7.1,14.0,0.04,0.26,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,3,9,83.33333333333334,66.66666666666666,0.0,50.0,,,1.0,1.0,,,,,,,
14147319,away,5367,FK Budućnost Podgorica,889060,Nedeljko Piščević,nedeljko-piscevic,M,32,False,51.0,43.0,9.0,5.0,0.0,18.0,20.0,25.0,31.0,0.0,0.0,0.0,2.0,7.0,6.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,90.0,67.0,7.3,11.0,0.34,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,84.31372549019608,55.55555555555556,,33.33333333333333,,,,1.0,1.0,,,,,,
14147319,away,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,14.0,11.0,3.0,1.0,0.0,3.0,4.0,8.0,10.0,1.0,1.0,1.0,0.0,6.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,46.0,22.0,6.7,3.0,0.02,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,5,5,78.57142857142857,33.33333333333333,100.0,100.0,,,,,,,,,,,
14147319,away,5148,FK Budućnost Podgorica,1005616,Lazar Mijović,lazar-mijovic,M,88,False,24.0,14.0,1.0,0.0,0.0,3.0,6.0,10.0,16.0,2.0,1.0,0.0,0.0,10.0,9.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,73.0,49.0,6.9,14.0,0.38,0.38,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,0,19,9,10,58.333333333333336,0.0,50.0,66.66666666666666,,1.0,3.0,,1.0,,1.0,2.0,,1.0,
14147319,away,241802,FK Budućnost Podgorica,128761,Igor Ivanović,igor-ivanovic,M,7,False,13.0,6.0,1.0,0.0,0.0,2.0,2.0,4.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,22.0,16.0,6.5,5.0,0.0,0.08,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,46.15384615384615,0.0,,,,,1.0,,,,,,,,
14147319,away,241802,FK Budućnost Podgorica,57341,Petar Grbić,petar-grbic,M,18,False,5.0,2.0,1.0,0.0,0.0,2.0,2.0,,3.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,46.0,11.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,40.0,0.0,,,,1.0,,,,,,,,,
14147319,away,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,F,77,False,11.0,9.0,1.0,1.0,0.0,1.0,2.0,8.0,9.0,1.0,1.0,3.0,0.0,15.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,90.0,32.0,6.2,16.0,0.67,0.0,"{'original': 6.2, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,2,12,81.81818181818183,100.0,100.0,0.0,,,,2.0,3.0,,1.0,1.0,,,
