match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt
14147318,home,6224,FK Sutjeska Nikšić,1381358,Petar Aničić,petar-anicic,F,9,False,3.0,3.0,1.0,1.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.0,5.0,6.7,0.0,0.28,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,100.0,,,,,1.0,,
14147318,home,6224,FK Sutjeska Nikšić,1481226,Danilo Ćetković,danilo-cetkovic,F,21,True,27.0,25.0,0.0,0.0,0.0,10.0,11.0,14.0,15.0,1.0,0.0,0.0,1.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,68.0,40.0,6.5,6.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,1,17,4,13,92.5925925925926,,0.0,,,3.0,,,1.0
14147318,home,6224,FK Sutjeska Nikšić,1005621,Ognjen Đinović,ognjen-dinovic,D,16,True,10.0,8.0,2.0,0.0,0.0,5.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,26.0,11.0,6.4,4.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,80.0,0.0,,,,,,,
14147318,home,5160,FK Sutjeska Nikšić,878422,Nikola Furtula,nikola-furtula,F,89,True,5.0,5.0,0.0,0.0,0.0,,,5.0,5.0,0.0,0.0,3.0,4.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,26.0,10.0,6.7,5.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,1,2,100.0,,,100.0,,1.0,,,
14147318,home,6224,FK Sutjeska Nikšić,1423507,Bojan Damjanović,bojan-damjanovic,D,91,True,7.0,7.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.0,7.0,6.5,0.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,,
14147318,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,True,5.0,4.0,0.0,0.0,0.0,,,4.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.0,9.0,6.6,3.0,0.02,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,80.0,,,100.0,,2.0,,,
14147318,home,6224,FK Sutjeska Nikšić,1032030,Stojan Vukčević,stojan-vukcevic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147318,home,6224,FK Sutjeska Nikšić,1030470,Marko Đukanović,marko-dukanovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147318,home,6224,FK Sutjeska Nikšić,1467725,Marko Brnović,marko-brnovic,M,50,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147318,home,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,F,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
14147318,away,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,18.0,16.0,5.0,3.0,0.0,15.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,90.0,20.0,6.3,2.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,60.0,,,,,,,
14147318,away,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,D,77,False,31.0,20.0,3.0,1.0,0.0,8.0,11.0,8.0,16.0,0.0,0.0,2.0,1.0,13.0,7.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,,,,,,,90.0,44.0,6.4,12.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,6,11,64.51612903225806,33.33333333333333,,50.0,,1.0,,,
14147318,away,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,31.0,22.0,9.0,4.0,0.0,16.0,17.0,6.0,14.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,3.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,74.0,54.0,6.8,14.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,70.96774193548387,44.44444444444444,,50.0,,,1.0,,
14147318,away,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,27.0,20.0,6.0,3.0,0.0,12.0,15.0,4.0,8.0,0.0,0.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,36.0,7.3,14.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,7,2,1,1,74.07407407407408,50.0,,,,,,,
14147318,away,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,46.0,35.0,11.0,6.0,0.0,21.0,26.0,12.0,16.0,0.0,0.0,2.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,63.0,7.1,13.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,76.08695652173914,54.54545454545454,,,,,,,
14147318,away,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,False,24.0,16.0,4.0,1.0,0.0,9.0,12.0,6.0,10.0,1.0,0.0,1.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,,,,,,,83.0,33.0,6.3,14.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,4,8,66.66666666666666,25.0,0.0,,,1.0,,,
14147318,away,37956,FK Arsenal Tivat,1396429,Nemanja Bojanić,nemanja-bojanic,M,18,False,9.0,7.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0,1.0,1.0,3.0,1.0,15.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,,,,,,,90.0,28.0,6.1,6.0,0.17,0.0,"{'original': 6.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,3,12,77.77777777777779,,100.0,100.0,,1.0,1.0,,1.0
14147318,away,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,37.0,32.0,7.0,3.0,0.0,20.0,20.0,11.0,16.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,74.0,46.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,86.48648648648648,42.857142857142854,,100.0,,,,,
14147318,away,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,33.0,28.0,5.0,3.0,0.0,15.0,17.0,11.0,14.0,1.0,0.0,2.0,0.0,17.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,,,,,,,90.0,47.0,6.3,11.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,2,15,84.84848484848484,60.0,0.0,50.0,,2.0,,,
