match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,totalContest,wonContest,totalOffside,blockedScoringAttempt,outfielderBlock,dispossessed,errorLeadToAGoal,challengeLost,fouls,shotOffTarget,totalKeeperSweeper,accurateKeeperSweeper,goals,bigChanceCreated
14015608,home,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,home,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,795839,Miloje Preković,miloje-prekovic,G,12,False,39.0,21.0,23.0,5.0,0.0,18.0,21.0,3.0,18.0,20.0,1.0,3.0,3.0,90.0,52.0,7.6,18.0,33.149818974594,5.0,8.9769938169486,0.0,0.2482,"{'original': 7.6, 'alternative': 7}",0,0.17,-0.2,0.36,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,53.84615384615385,21.73913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015608,away,25736,FK Novi Pazar,999049,Filip Bačkulja,backulja-filip,D,15,False,24.0,14.0,7.0,1.0,0.0,9.0,10.0,5.0,14.0,4.0,,,,90.0,42.0,6.7,12.0,148.44724701982,13.0,65.322840246875,2.0,,"{'original': 6.7, 'alternative': 6.9}",1,0.03,0.14,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,58.333333333333336,14.285714285714285,,,,,,1.0,1.0,4.0,2.0,,2.0,1.0,1.0,1.0,1.0,,22.431853641691,54.222591473836,,-0.03,,,,,,,,,3.0,1.0,,,,
14015608,away,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,55.0,43.0,18.0,9.0,0.0,28.0,32.0,15.0,23.0,2.0,,,,90.0,71.0,7.5,13.0,132.76806884544,19.0,27.168894132117,0.0,,"{'original': 7.5, 'alternative': 7.3}",0,0.32,0.05,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,2,2,78.18181818181819,50.0,,,,,,2.0,3.0,4.0,5.0,,7.0,1.0,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,
14015608,away,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,55.0,47.0,8.0,5.0,0.0,36.0,38.0,11.0,17.0,5.0,,,,90.0,79.0,8.0,9.0,170.65459001813,22.0,96.978020791627,0.0,,"{'original': 8, 'alternative': 7.7}",0,0.28,0.09,0.71,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,85.45454545454545,62.5,,,,,,2.0,2.0,3.0,6.0,,10.0,3.0,3.0,,1.0,1.0,,,,,,,,,2.0,,,,1.0,,,,,
14015608,away,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,34.0,28.0,10.0,6.0,0.0,10.0,13.0,18.0,21.0,5.0,,,,89.0,70.0,7.2,15.0,171.3582978473,20.0,93.873271026409,3.0,,"{'original': 7.2, 'alternative': 7.9}",1,0.11,0.39,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,82.35294117647058,60.0,25.0,100.0,,4.0,1.0,3.0,1.0,5.0,4.0,1.0,7.0,3.0,1.0,1.0,2.0,1.0,22.282038428678,64.482184723512,,-0.43,1.0,1.0,,,,,,1.0,1.0,,,,,
14015608,away,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,42.0,30.0,5.0,1.0,0.0,11.0,15.0,19.0,27.0,6.0,,,,90.0,56.0,6.8,14.0,141.09562595997,20.0,34.426278858245,1.0,,"{'original': 6.8, 'alternative': 6.9}",2,0.06,0.15,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,71.42857142857143,20.0,,,,,,1.0,3.0,4.0,5.0,,3.0,2.0,2.0,1.0,1.0,,16.185970683992,18.861087587941,,-0.37,1.0,,,,,,,2.0,,2.0,,,,
14015608,away,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,31.0,25.0,6.0,3.0,0.0,21.0,23.0,4.0,8.0,8.0,,,,73.0,38.0,6.4,7.0,75.036043640607,8.0,10.788087129331,1.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.01,0.03,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,80.64516129032258,50.0,,,,,,2.0,,6.0,1.0,,2.0,,1.0,1.0,,,21.039973792309,29.598848372867,,,,,,,,1.0,,,3.0,,,,,
14015608,away,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,30,False,33.0,25.0,4.0,1.0,0.0,9.0,13.0,16.0,20.0,2.0,,,,90.0,50.0,7.3,12.0,127.29788676164,16.0,55.586685285493,2.0,,"{'original': 7.3, 'alternative': 7.8}",2,-0.54,0.24,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,75.75757575757575,25.0,,,,1.0,,2.0,,4.0,3.0,2.0,,2.0,3.0,1.0,2.0,,13.704123493357,25.806734365236,3.0,0.5,,,,,,1.0,,,1.0,,,,1.0,
