match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelWon,interceptionWon,unsuccessfulTouch,wasFouled,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,totalTackle,fouls,outfielderBlock,accurateCross,wonTackle,keyPass,shotOffTarget,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,dispossessed,bigChanceCreated,goals,errorLeadToAShot,penaltyFaced,clearanceOffLine,totalOffside,penaltyConceded
14015443,away,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,29.0,18.0,7.0,1.0,0.0,10.0,12.0,8.0,17.0,3.0,4.0,,,,,90.0,51.0,6.4,16.0,,"{'original': 6.4, 'alternative': 6.7}",0,0.25,-0.27,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,62.06896551724138,14.285714285714285,,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,18.0,15.0,2.0,1.0,0.0,11.0,14.0,4.0,4.0,6.0,2.0,,,,,90.0,32.0,6.3,6.0,,"{'original': 6.3, 'alternative': 6.6}",0,0.01,0.07,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,83.33333333333334,50.0,,,,2.0,1.0,,1.0,1.0,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,26.0,22.0,5.0,1.0,0.0,16.0,16.0,6.0,10.0,7.0,1.0,,,,,90.0,45.0,7.6,5.0,,"{'original': 7.6, 'alternative': 7.2}",0,0.1,0.02,0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,84.61538461538461,20.0,,,,,6.0,,1.0,1.0,1.0,3.0,2.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,1.0,,
14015443,away,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,False,9.0,4.0,1.0,1.0,0.0,2.0,6.0,2.0,3.0,2.0,1.0,,,,,57.0,17.0,6.8,7.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.14,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,44.44444444444444,100.0,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
14015443,away,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,17.0,10.0,5.0,2.0,0.0,3.0,4.0,7.0,13.0,,6.0,,,,,90.0,42.0,7.2,13.0,,"{'original': 7.2, 'alternative': 7.1}",1,0.29,0.4,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,8,3,58.82352941176471,40.0,100.0,66.66666666666666,,1.0,8.0,,4.0,3.0,4.0,,7.0,1.0,3.0,2.0,3.0,1.0,,1.0,3.0,2.0,1.0,-0.03,,,,1.0,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,7.0,6.0,,,0.0,3.0,4.0,3.0,3.0,,,,,,,76.0,16.0,6.1,6.0,,"{'original': 6.1, 'alternative': 6.5}",0,0.0,-0.11,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,85.71428571428571,,,,,2.0,,2.0,3.0,,,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,39.0,32.0,10.0,6.0,0.0,19.0,19.0,13.0,20.0,,5.0,,,,,90.0,52.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.6}",4,-0.15,0.09,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,82.05128205128204,60.0,,,,1.0,1.0,1.0,,,1.0,,5.0,1.0,1.0,,1.0,2.0,1.0,,,,3.0,-0.29,,,1.0,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,6.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,,,,,70.0,16.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.6}",2,-0.01,0.15,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,66.66666666666666,100.0,,,,1.0,1.0,1.0,2.0,,1.0,,3.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,-0.25,,,1.0,,,,,,,1.0,
14015443,away,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,16.0,11.0,1.0,,0.0,3.0,5.0,8.0,11.0,1.0,4.0,,,,,58.0,21.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.11,0.24,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,68.75,,,,,,2.0,,1.0,1.0,2.0,1.0,4.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,
14015443,away,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,F,9,False,14.0,11.0,,,0.0,3.0,5.0,8.0,9.0,3.0,1.0,,,,,76.0,34.0,6.8,8.0,,"{'original': 6.8, 'alternative': 7.1}",1,-0.11,0.04,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,10,5,3,2,78.57142857142857,,,,,,9.0,1.0,5.0,3.0,4.0,6.0,6.0,,,,,2.0,,,,1.0,,-0.52,,1.0,,,,,,,,,
