match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,dispossessed,shotOffTarget,hitWoodwork,savedShotsFromInsideTheBox,blockedScoringAttempt,bigChanceMissed
14147326,away,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,34.0,27.0,2.0,0.0,0.0,18.0,21.0,8.0,12.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,85.0,41.0,6.4,6.0,0.09,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,79.41176470588235,0.0,,50.0,,1.0,,,1.0,,,,
14147326,away,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,28.0,18.0,6.0,4.0,0.0,8.0,9.0,10.0,18.0,3.0,1.0,2.0,1.0,4.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,46.0,38.0,6.6,11.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,5,2,64.28571428571429,66.66666666666666,33.33333333333333,100.0,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,60.0,52.0,2.0,1.0,0.0,26.0,28.0,23.0,29.0,1.0,0.0,1.0,2.0,7.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,90.0,76.0,7.2,10.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,2,6,86.66666666666667,50.0,0.0,100.0,,5.0,,,,,,,
14147326,away,7581,FK Bokelj Kotor,1606668,Zarija Mugoša,zarija-mugosa,M,16,False,22.0,14.0,2.0,1.0,0.0,4.0,6.0,10.0,15.0,2.0,1.0,6.0,1.0,18.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,,,,,,90.0,37.0,5.8,16.0,0.0,0.0,"{'original': 5.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,1,12,63.63636363636363,50.0,50.0,0.0,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,34.0,26.0,8.0,6.0,0.0,4.0,6.0,22.0,28.0,1.0,1.0,1.0,1.0,12.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,,,,,,90.0,53.0,6.8,14.0,0.13,0.24,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,2,19,8,11,76.47058823529412,75.0,100.0,100.0,,,2.0,3.0,1.0,,,1.0,
14147326,away,7581,FK Bokelj Kotor,807177,Žarko Vilotijević,zarko-vilotijevic,M,80,False,48.0,39.0,4.0,1.0,0.0,15.0,17.0,22.0,29.0,1.0,1.0,0.0,0.0,10.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,65.0,68.0,7.0,10.0,0.24,0.09,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,8,10,81.25,25.0,100.0,100.0,,1.0,2.0,,,,,1.0,
14147326,away,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,9.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,46.0,20.0,6.0,3.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,0,9,66.66666666666666,,,0.0,,,,,,,,,
14147326,away,228024,FK Bokelj Kotor,1218295,Ayumu Nishimura,ayumu-nishimura,F,99,False,14.0,8.0,0.0,0.0,0.0,5.0,6.0,3.0,8.0,0.0,0.0,7.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,90.0,25.0,6.5,15.0,0.58,0.0,"{'original': 6.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,10,7,2,5,57.14285714285714,,,,,,,2.0,2.0,1.0,,,1.0
14147326,away,7581,FK Bokelj Kotor,1218106,Andrija Krivokapić,andrija-krivokapic,D,23,True,32.0,23.0,5.0,3.0,0.0,9.0,13.0,14.0,19.0,2.0,1.0,0.0,2.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,44.0,36.0,6.6,8.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,0,5,71.875,60.0,50.0,0.0,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,1185131,Stefan Golubović,stefan-golubovic,M,21,True,14.0,10.0,0.0,0.0,0.0,1.0,1.0,9.0,13.0,1.0,0.0,4.0,3.0,10.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,44.0,26.0,7.2,11.0,0.26,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,1,6,71.42857142857143,,0.0,,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,True,7.0,4.0,2.0,2.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,12.0,6.4,3.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,57.14285714285714,100.0,0.0,100.0,,1.0,,,,,,,
14147326,away,7581,FK Bokelj Kotor,1595583,Balša Radević,balsa-radevic,D,27,True,2.0,1.0,0.0,0.0,0.0,,,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5.0,3.0,6.6,1.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,50.0,,0.0,100.0,,,,,,,,,
14147326,away,36019,FK Bokelj Kotor,1405738,Benjamin Krijestarac,benjamin-krijestarac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147326,away,241802,FK Bokelj Kotor,57463,Saša Balić,sasa-balic,D,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,1565052,Matija Delić,matija-delic,M,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147326,away,7581,FK Bokelj Kotor,2271779,Luka Jašović,luka-jasovic,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
