match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,shotOffTarget,interceptionWon,totalTackle,wonTackle,fouls,shotValueNormalized,challengeLost,outfielderBlock,unsuccessfulTouch,wasFouled,aerialLost,dispossessed,bigChanceCreated,onTargetScoringAttempt,keyPass,totalContest,wonContest,totalOffside,totalCross,blockedScoringAttempt,hitWoodwork,goals,accurateCross,penaltyConceded,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,penaltyWon,penaltyMiss
14015487,away,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,38.0,30.0,3.0,,0.0,18.0,20.0,12.0,18.0,2.0,4.0,,,,,65.0,55.0,6.0,12.0,,"{'original': 6, 'alternative': 6.9}",1,-0.11,0.16,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,78.94736842105263,,,100.0,,1.0,3.0,2.0,1.0,2.0,,,2.0,0.01,,,,,1.0,,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,
14015487,away,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,60.0,43.0,5.0,3.0,0.0,29.0,40.0,14.0,20.0,3.0,7.0,,,,,90.0,78.0,6.5,19.0,,"{'original': 6.5, 'alternative': 6.9}",1,0.02,0.1,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,71.66666666666667,60.0,,,,,2.0,5.0,,2.0,4.0,1.0,2.0,-0.56,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,
14015487,away,466776,FK Radnički Niš,942147,Nemanja Mićević,nemanja-micevic,D,16,False,27.0,24.0,2.0,1.0,0.0,21.0,21.0,3.0,6.0,,3.0,,,,,45.0,32.0,6.3,3.0,,"{'original': 6.3, 'alternative': 6.2}",0,0.07,0.03,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,88.88888888888889,50.0,,,,,2.0,2.0,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
14015487,away,245405,FK Radnički Niš,99533,Stefan Aškovski,stefan-askovski,D,11,False,12.0,10.0,1.0,,0.0,3.0,4.0,7.0,8.0,1.0,1.0,,,,,45.0,21.0,6.0,4.0,,"{'original': 6, 'alternative': 6.5}",1,0.02,-0.02,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,83.33333333333334,,,,,,2.0,1.0,1.0,,,,,-0.38,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
14015487,away,40261,FK Radnički Niš,844332,Jovan Nišić,jovan-nisic,M,45,False,79.0,65.0,3.0,2.0,0.0,33.0,37.0,32.0,42.0,,3.0,,,,,77.0,93.0,7.0,16.0,,"{'original': 7, 'alternative': 7.2}",1,-0.17,0.14,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,6,0,82.27848101265823,66.66666666666666,,100.0,,,,6.0,,1.0,3.0,1.0,,0.01,,,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,
14015487,away,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,9.0,6.0,3.0,2.0,0.0,2.0,2.0,4.0,7.0,1.0,4.0,,,,,45.0,25.0,6.9,8.0,,"{'original': 6.9, 'alternative': 7}",0,0.31,0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,66.66666666666666,66.66666666666666,50.0,,,,4.0,3.0,,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,,3.0,,,,4.0,,,,2.0,,,,,,
14015487,away,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,52.0,40.0,5.0,3.0,0.0,19.0,21.0,21.0,31.0,2.0,9.0,,,,,90.0,69.0,7.0,15.0,,"{'original': 7, 'alternative': 7.4}",3,0.22,0.1,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,6,3,76.92307692307693,60.0,,50.0,,3.0,4.0,9.0,1.0,2.0,3.0,3.0,1.0,-0.53,1.0,,2.0,2.0,1.0,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,
14015487,away,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,27.0,22.0,1.0,,0.0,7.0,8.0,15.0,19.0,1.0,6.0,,,,,90.0,62.0,7.2,14.0,,"{'original': 7.2, 'alternative': 7.3}",1,0.01,0.28,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,6,5,81.48148148148148,,50.0,50.0,,,6.0,6.0,,,1.0,1.0,,0.02,,,1.0,4.0,1.0,4.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,,1.0,,,,,1.0,
14015487,away,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,18.0,12.0,4.0,2.0,0.0,1.0,1.0,11.0,17.0,,,,,,,90.0,56.0,5.4,24.0,,"{'original': 5.4, 'alternative': 5.8}",5,-0.19,0.27,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,7,11,66.66666666666666,50.0,,25.0,,,11.0,7.0,2.0,,1.0,,2.0,-1.0,1.0,,3.0,4.0,,2.0,,,1.0,8.0,2.0,,7.0,3.0,,,,,,,1.0,,1.0
14015487,away,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,F,97,False,24.0,22.0,1.0,1.0,0.0,9.0,9.0,13.0,15.0,,5.0,,,,,90.0,34.0,6.7,5.0,,"{'original': 6.7, 'alternative': 7.2}",3,-0.01,0.38,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,91.66666666666666,100.0,,50.0,,1.0,4.0,4.0,1.0,,1.0,,1.0,-0.52,,,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,
