match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wonTackle,fouls,keyPass,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,wonContest,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,dispossessed,bigChanceCreated,shotOffTarget,bigChanceMissed,totalOffside,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,goals
14015542,away,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,30.0,24.0,4.0,1.0,0.0,14.0,18.0,10.0,12.0,11.0,,,90.0,52.0,7.0,16.0,160.64548343775,16.0,-69.405,8.19,,"{'original': 7, 'alternative': 6.8}",1,0.05,0.14,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,80.0,25.0,,,,2.0,,1.0,2.0,5.0,3.0,2.0,,3.0,,,1.0,,,2.0,3.0,1.0,,,1.0,-0.1,1.0,,,,,,,,,
14015542,away,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,37.0,31.0,3.0,1.0,0.0,22.0,24.0,9.0,13.0,1.0,,,90.0,55.0,8.2,9.0,192.27727676227,19.0,-34.545,16.8,,"{'original': 8.2, 'alternative': 7.6}",1,0.12,0.14,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,83.78378378378379,33.33333333333333,100.0,50.0,,1.0,1.0,1.0,,3.0,6.0,,2.0,2.0,2.0,2.0,,,,2.0,1.0,3.0,1.0,1.0,,0.56,1.0,,,,,,,,,1.0
14015542,away,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,False,36.0,25.0,3.0,1.0,0.0,13.0,19.0,12.0,17.0,5.0,,,85.0,51.0,6.9,15.0,200.74950972811,21.0,-97.44,6.3,,"{'original': 6.9, 'alternative': 6.9}",0,0.03,0.19,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,69.44444444444444,33.33333333333333,,100.0,,,,1.0,1.0,3.0,5.0,,2.0,3.0,2.0,1.0,1.0,,,1.0,3.0,,2.0,,,,1.0,,,,,,,,,
14015542,away,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,11.0,6.0,,,0.0,3.0,6.0,3.0,5.0,8.0,,,89.0,27.0,7.0,13.0,134.88522377563,12.0,-111.93,2.625,,"{'original': 7, 'alternative': 7.1}",3,-0.38,0.58,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,54.54545454545454,,,100.0,,2.0,,2.0,,3.0,4.0,1.0,2.0,,1.0,1.0,,,,,6.0,1.0,2.0,2.0,1.0,0.13,,,,2.0,,,,,,
14015542,away,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,26.0,20.0,2.0,,0.0,7.0,8.0,13.0,18.0,3.0,,,78.0,38.0,6.4,10.0,63.991137677017,11.0,-31.815,3.675,,"{'original': 6.4, 'alternative': 6.6}",2,-0.24,0.17,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,76.92307692307693,,,,,1.0,,,3.0,6.0,4.0,1.0,2.0,,,,2.0,2.0,,,,1.0,,,,-0.08,1.0,1.0,2.0,,,,,,,
14015542,away,5150,FK Vojvodina,1656646,Milan Kolarević,milan-kolarevic,M,21,False,19.0,10.0,3.0,1.0,0.0,2.0,3.0,8.0,16.0,5.0,,,89.0,39.0,6.4,17.0,155.37817381255,17.0,-73.5,7.035,,"{'original': 6.4, 'alternative': 6.5}",1,0.0,0.27,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,52.63157894736842,33.33333333333333,,33.33333333333333,,2.0,,2.0,1.0,10.0,3.0,1.0,3.0,2.0,1.0,,3.0,1.0,1.0,,2.0,,1.0,,,-0.21,2.0,1.0,1.0,,,,,,,
14015542,away,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,22.0,11.0,,,1.0,2.0,4.0,9.0,18.0,4.0,,,90.0,43.0,6.4,18.0,133.14640963425,16.0,-52.5,6.615,,"{'original': 6.4, 'alternative': 6.8}",2,0.1,0.13,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,6,5,50.0,,,60.0,,,,3.0,2.0,8.0,8.0,1.0,5.0,2.0,,,1.0,1.0,,,4.0,3.0,3.0,1.0,,-0.55,1.0,,1.0,,,,,,,
14015542,away,5150,FK Vojvodina,111754,Marko Poletanović,marko-poletanovic,M,4,True,6.0,4.0,1.0,,0.0,2.0,2.0,2.0,4.0,1.0,,,12.0,12.0,6.8,3.0,,,,,,"{'original': 6.8, 'alternative': 6.8}",0,0.03,0.02,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,66.66666666666666,,,100.0,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,0.0,,,,,,,,16.0,1.0,6.6,,,,,,,"{'original': 6.6, 'alternative': 6.5}",0,,,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
14015542,away,263770,FK Vojvodina,1983681,Damjan Đokanović,damjan-dokanovic,F,36,True,2.0,,,,0.0,,1.0,,1.0,,,,9.0,4.0,6.4,3.0,12.12577686593,2.0,5.145,6.615,,"{'original': 6.4, 'alternative': 6.4}",0,-0.04,0.0,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,,,,,,,,,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
14015542,away,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,F,17,True,,,,,0.0,,,,,1.0,,,9.0,2.0,6.4,1.0,24.933368184022,1.0,-23.415,-23.415,,"{'original': 6.4, 'alternative': 6.5}",0,,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,M,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,1121635,Marko Veličković,marko-velickovic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,away,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
