match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,dispossessed,shotOffTarget,bigChanceCreated,bigChanceMissed,blockedScoringAttempt
15565490,away,24312,FK Jezero,1391888,Šaban Kolić,saban-kolic,G,1,False,20.0,15.0,4.0,0.0,0.0,15.0,19.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0,90.0,22.0,7.9,4.0,0.0,0.0,"{'original': 7.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,0.0,,,0.0,1.0,,,,,,
15565490,away,24312,FK Jezero,1000154,Abdel Osmanović,abdel-osmanovic,D,2,False,43.0,36.0,5.0,2.0,0.0,29.0,31.0,5.0,10.0,2.0,0.0,1.0,1.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,52.0,6.8,8.0,0.02,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,1,7,83.72093023255815,40.0,0.0,,,2.0,,,1.0,,,
15565490,away,24312,FK Jezero,1393483,Mihailo Ilić,mihailo-ilic,D,4,False,27.0,24.0,5.0,3.0,0.0,18.0,20.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,46.0,31.0,6.3,4.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,88.88888888888889,60.0,,,,1.0,,,,,,
15565490,away,24312,FK Jezero,1182552,Nemanja Jovičić,nemanja-jovicic,D,27,False,72.0,61.0,6.0,2.0,0.0,47.0,53.0,14.0,19.0,0.0,0.0,1.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,89.0,6.7,12.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,84.72222222222221,33.33333333333333,,,,2.0,,,,,,
15565490,away,24312,FK Jezero,812745,Ilija Tučević,ilija-tucevic,D,17,False,57.0,45.0,6.0,3.0,0.0,16.0,18.0,29.0,37.0,3.0,1.0,0.0,0.0,9.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,73.0,6.5,17.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,1,9,78.94736842105263,50.0,33.33333333333333,100.0,,1.0,,1.0,,,,
15565490,away,24312,FK Jezero,797928,Aldin Adžović,aldin-adzovic,M,5,False,65.0,58.0,7.0,4.0,0.0,27.0,29.0,31.0,36.0,0.0,0.0,0.0,1.0,20.0,8.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,90.0,6.4,11.0,0.01,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",28,1,27,7,20,89.23076923076924,57.14285714285714,,0.0,,,1.0,2.0,1.0,,,
15565490,away,24312,FK Jezero,357692,Balša Boričić,balsa-boricic,M,80,False,47.0,43.0,2.0,1.0,0.0,20.0,20.0,23.0,27.0,1.0,1.0,2.0,2.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,68.0,60.0,6.5,10.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,3,6,91.48936170212765,50.0,100.0,100.0,,,,1.0,,,,
15565490,away,24312,FK Jezero,1149284,Nenad Krivokapić,nenad-krivokapic,M,11,False,14.0,10.0,1.0,0.0,0.0,4.0,6.0,6.0,8.0,1.0,1.0,2.0,1.0,9.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,46.0,23.0,6.6,5.0,0.0,0.02,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,2,7,71.42857142857143,0.0,100.0,100.0,,2.0,2.0,,,,,
15565490,away,24312,FK Jezero,128765,Milivoje Raičević,milivoje-raicevic,M,45,False,30.0,24.0,1.0,1.0,0.0,6.0,7.0,18.0,23.0,1.0,1.0,1.0,1.0,9.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,68.0,46.0,6.5,14.0,0.0,0.12,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,80.0,100.0,100.0,50.0,,1.0,1.0,2.0,,,,
15565490,away,24312,FK Jezero,1408188,Petar Bogdanović,petar-bogdanovic,M,7,False,32.0,24.0,3.0,2.0,0.0,6.0,8.0,18.0,24.0,2.0,1.0,3.0,0.0,13.0,7.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,60.0,6.9,10.0,0.06,0.09,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,7,10,75.0,66.66666666666666,50.0,66.66666666666666,,,1.0,1.0,2.0,,,
