player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Aleksandar Macanović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-macanovic', 'shortName': 'A. Macanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 5, 'gender': 'M', 'id': 842506, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ماكانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ماكانوفيتش'}}}",True,block,throw-in-set-piece,"{'x': 20, 'y': 73, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 20, 'y': 73, 'z': 0}",0.002502,6872096,55,3291,"{'start': {'x': 73, 'y': 20}, 'block': {'x': 73, 'y': 20}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",36,2109,591,shot,,
"{'name': 'Milivoje Raičević', 'slug': 'milivoje-raicevic', 'shortName': 'M. Raičević', 'position': 'M', 'jerseyNumber': '45', 'userCount': 7, 'gender': 'M', 'id': 128765, 'fieldTranslations': {'nameTranslation': {'ar': 'ميليفوي رايتشيفيتش', 'bn': 'মিলিভোজে রাইচেভিচ', 'hi': 'मिलिवोजे रायचेविक'}, 'shortNameTranslation': {'ar': 'م. رايتشيفيتش', 'bn': 'এম. রাইসেভিচ', 'hi': 'एम. रायचेविक'}}}",False,goal,corner,"{'x': 8, 'y': 41, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.9, 'z': 16.7}",,0.1,6872095,52,3105,"{'start': {'x': 41, 'y': 8}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 83.3}}",39,2295,405,shot,regular,0.1096
"{'name': 'Aleksandar Macanović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-macanovic', 'shortName': 'A. Macanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 5, 'gender': 'M', 'id': 842506, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ماكانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ماكانوفيتش'}}}",True,block,set-piece,"{'x': 29, 'y': 75, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 29, 'y': 75, 'z': 0}",0.001334,6872094,50,2975,"{'start': {'x': 75, 'y': 29}, 'block': {'x': 75, 'y': 29}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",41,2425,275,shot,,
"{'name': 'Staniša Mandić', 'slug': 'stanisa-mandic', 'shortName': 'S. Mandić', 'position': 'M', 'jerseyNumber': '77', 'userCount': 37, 'gender': 'M', 'id': 363780, 'fieldTranslations': {'nameTranslation': {'ar': 'ستانيشا مانديتش', 'bn': 'স্ট্যানিসা মান্ডিচ', 'hi': 'स्टैनिसा मैंडिक'}, 'shortNameTranslation': {'ar': 'س. مانديتش', 'bn': 'এস. মান্ডিক', 'hi': 'एस. मैंडिक'}}}",True,miss,regular,"{'x': 7, 'y': 65, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.6, 'z': 10.6}",,0.07971,6872093,45,2691,"{'start': {'x': 65, 'y': 7}, 'end': {'x': 42.4, 'y': 0}, 'goal': {'x': 42.4, 'y': 89.4}}",1,9,2691,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,block,corner,"{'x': 8, 'y': 37, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 8, 'y': 37, 'z': 0}",0.4136,6872092,43,2578,"{'start': {'x': 37, 'y': 8}, 'block': {'x': 37, 'y': 8}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,122,2578,shot,,
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",True,save,free-kick,"{'x': 24, 'y': 43, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 4.8}",,0.1188,6872108,40,2347,"{'start': {'x': 43, 'y': 24}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 95.2}}",6,353,2347,shot,,0.2421
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",True,save,regular,"{'x': 10, 'y': 37, 'z': 0}",head,high-centre,"{'x': 0, 'y': 50, 'z': 28.5}",,0.09913,6872091,40,2363,"{'start': {'x': 37, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 71.5}}",6,337,2363,shot,,0.08096
"{'name': 'Aleksa Ćetković', 'firstName': '', 'lastName': '', 'slug': 'aleksa-cetkovic', 'shortName': 'A. Ćetković', 'position': 'M', 'jerseyNumber': '28', 'userCount': 32, 'gender': 'M', 'id': 1005627, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا تشيتكوفيتش', 'bn': 'আলেক্সা চেটকোভিচ', 'hi': 'अलेक्सा सेत्कोविक'}, 'shortNameTranslation': {'ar': 'أ. تشيتكوفيتش', 'bn': 'এ. চেটকোভিচ', 'hi': 'ए. सेत्कोविक'}}}",True,block,set-piece,"{'x': 8, 'y': 40, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 8, 'y': 40, 'z': 0}",0.2698,6872090,40,2352,"{'start': {'x': 40, 'y': 8}, 'block': {'x': 40, 'y': 8}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",6,348,2352,shot,,
"{'name': 'Jovan Nikolić', 'slug': 'jovan-nikolic', 'shortName': 'J. Nikolić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 2, 'gender': 'M', 'id': 58157, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان نيكوليتش', 'bn': 'জোভান নিকোলিচ', 'hi': 'जोवन निकोलिक'}, 'shortNameTranslation': {'ar': 'ي. نيكوليتش', 'bn': 'জে. নিকোলিচ', 'hi': 'जे. निकोलिक'}}}",True,save,corner,"{'x': 11, 'y': 62, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.5, 'z': 16.9}",,0.04663,6872089,29,1721,"{'start': {'x': 62, 'y': 11}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 83.1}}",17,979,1721,shot,,0.02357
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,miss,regular,"{'x': 26, 'y': 52, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.8, 'z': 49.3}",,0.02059,6872088,22,1299,"{'start': {'x': 52, 'y': 26}, 'end': {'x': 41.2, 'y': 0}, 'goal': {'x': 41.2, 'y': 50.7}}",24,1401,1299,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,miss,regular,"{'x': 8, 'y': 58, 'z': 0}",head,close-right,"{'x': 0, 'y': 43.6, 'z': 13.1}",,0.1461,6872087,19,1133,"{'start': {'x': 58, 'y': 8}, 'end': {'x': 56.4, 'y': 0}, 'goal': {'x': 56.4, 'y': 86.9}}",27,1567,1133,shot,,
"{'name': 'Marko Živanović', 'firstName': '', 'lastName': '', 'slug': 'marko-zivanovic', 'shortName': 'M. Živanović', 'position': 'D', 'jerseyNumber': '26', 'userCount': 6, 'gender': 'M', 'id': 984070, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو زيفانوفيتش'}, 'shortNameTranslation': {'ar': 'م. زيفانوفيتش'}}}",True,miss,corner,"{'x': 4, 'y': 48, 'z': 0}",head,close-high,"{'x': 0, 'y': 45.2, 'z': 49.9}",,0.2804,6872086,17,965,"{'start': {'x': 48, 'y': 4}, 'end': {'x': 54.8, 'y': 0}, 'goal': {'x': 54.8, 'y': 50.1}}",29,1735,965,shot,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 13, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",False,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 52.5, 'z': 25.6}",,0.76,6872107,14,833,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 74.4}}",32,1867,833,shot,penalty,0.81
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",True,save,throw-in-set-piece,"{'x': 13, 'y': 27, 'z': 0}",head,low-left,"{'x': 0, 'y': 54.7, 'z': 6.6}",,0.006734,6872085,4,209,"{'start': {'x': 27, 'y': 13}, 'end': {'x': 45.3, 'y': 0}, 'goal': {'x': 45.3, 'y': 93.4}}",42,2491,209,shot,,0.006519
