match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,bigChanceMissed,shotOffTarget,blockedScoringAttempt,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,wonTackle,hitWoodwork,interceptionWon,unsuccessfulTouch,goals,accurateCross,dispossessed,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized,totalOffside
14015398,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,True,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015398,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,31.0,19.0,24.0,12.0,0.0,12.0,15.0,7.0,16.0,5.0,9.0,,,90.0,42.0,6.8,12.0,"{'original': 6.8, 'alternative': 6.5}",0,0.12,0.01,-0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,61.29032258064516,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,0.3428,0.11,
14015398,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,D,77,False,25.0,21.0,3.0,1.0,0.0,7.0,8.0,14.0,17.0,,2.0,,,68.0,46.0,6.9,11.0,"{'original': 6.9, 'alternative': 6.9}",0,0.26,-0.05,-0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,84.0,33.33333333333333,25.0,,,4.0,1.0,3.0,4.0,4.0,2.0,,,,,,,1.0,,1.0,1.0,2.0,,,,,,2.0,,1.0,,,,,,,
14015398,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,19.0,12.0,5.0,2.0,0.0,6.0,8.0,6.0,11.0,5.0,,,,90.0,36.0,5.9,8.0,"{'original': 5.9, 'alternative': 6.4}",0,0.13,-0.13,-0.49,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,63.1578947368421,40.0,,,,,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,
14015398,away,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,21.0,18.0,3.0,2.0,0.0,16.0,18.0,2.0,3.0,13.0,3.0,,,90.0,43.0,6.6,3.0,"{'original': 6.6, 'alternative': 7}",0,-0.09,-0.02,-0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,85.71428571428571,66.66666666666666,,,,,1.0,4.0,5.0,6.0,2.0,,,,,,,3.0,2.0,,2.0,,,,1.0,,1.0,,,,,,,,,,
14015398,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,18.0,16.0,1.0,,0.0,12.0,13.0,4.0,5.0,4.0,2.0,,,90.0,31.0,6.6,2.0,"{'original': 6.6, 'alternative': 6.8}",0,0.12,0.13,-0.35,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,5,0,88.88888888888889,,,100.0,,,,1.0,,6.0,,1.0,1.0,,,,,,2.0,2.0,,,,,1.0,,3.0,,,,,,,,,,
14015398,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,24.0,14.0,8.0,2.0,1.0,9.0,11.0,5.0,13.0,1.0,4.0,,,90.0,52.0,5.9,20.0,"{'original': 5.9, 'alternative': 6.6}",0,0.31,0.06,-0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,58.333333333333336,25.0,28.57142857142857,50.0,,7.0,2.0,,3.0,1.0,,2.0,1.0,1.0,,,,,,,,2.0,,,,,2.0,1.0,,2.0,,,,,,,
14015398,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,M,19,False,15.0,10.0,2.0,2.0,0.0,1.0,6.0,9.0,9.0,,2.0,,,67.0,30.0,6.9,11.0,"{'original': 6.9, 'alternative': 7}",3,-0.09,0.38,-0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,2,3,66.66666666666666,100.0,100.0,33.33333333333333,,1.0,3.0,4.0,6.0,6.0,,3.0,1.0,,,3.0,,,,1.0,1.0,1.0,-0.52,,,,1.0,4.0,,1.0,,,,,,,1.0
14015398,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,17.0,11.0,1.0,,0.0,6.0,8.0,5.0,9.0,2.0,3.0,,,45.0,22.0,6.6,7.0,"{'original': 6.6, 'alternative': 6.6}",1,-0.04,0.0,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,64.70588235294117,,,,,,,2.0,2.0,3.0,,,,,,1.0,,,1.0,,1.0,,-0.14,,1.0,,,,,,1.0,,,,,,
14015398,away,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,21.0,16.0,4.0,2.0,0.0,9.0,10.0,7.0,11.0,1.0,2.0,,,75.0,29.0,5.8,8.0,"{'original': 5.8, 'alternative': 6}",0,0.19,0.02,-0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,76.19047619047619,50.0,,,,,1.0,,4.0,,,,,,,,,1.0,,,2.0,1.0,,,,,2.0,2.0,,,1.0,,,,,,
