match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,shotValueNormalized,dispossessed,outfielderBlock,totalCross,accurateCross,shotOffTarget,unsuccessfulTouch,onTargetScoringAttempt,keyPass,bigChanceCreated,bigChanceMissed,challengeLost,goals,totalOffside,errorLeadToAShot
14015416,away,7771,FK Mladost Lučani,795855,Aleksandar Varjačić,aleksandar-varjacic,M,17,False,8.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,4.0,,2.0,,,,,45.0,20.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.5}",1,0.24,0.09,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,50.0,50.0,20.0,,,,,2.0,,1.0,,1.0,2.0,,,,1.0,-0.12,1.0,,5.0,1.0,,2.0,,1.0,1.0,,,,,
14015416,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,32.0,28.0,5.0,3.0,0.0,16.0,17.0,12.0,15.0,2.0,3.0,,,,,82.0,52.0,8.6,7.0,,"{'original': 8.6, 'alternative': 7.9}",3,-0.01,0.35,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,6,1,87.5,60.0,,,,3.0,2.0,4.0,8.0,,,1.0,1.0,4.0,2.0,2.0,2.0,0.51,,,3.0,,1.0,,1.0,,,,,1.0,,
14015416,away,7771,FK Mladost Lučani,1835422,Ognjen Bondžulić,ognjen-bondzulic,M,11,False,12.0,6.0,1.0,,0.0,3.0,5.0,3.0,7.0,,4.0,,,,,85.0,32.0,5.9,16.0,,"{'original': 5.9, 'alternative': 6.3}",2,-0.26,0.27,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,5,8,50.0,,50.0,,,1.0,,9.0,5.0,3.0,,1.0,,1.0,,4.0,1.0,-0.13,4.0,,2.0,1.0,,2.0,1.0,1.0,,,,,,
14015416,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,False,8.0,6.0,,,0.0,2.0,2.0,4.0,6.0,,,,,,,45.0,15.0,6.6,4.0,,"{'original': 6.6, 'alternative': 7}",2,-0.11,-0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,75.0,,,,,1.0,4.0,2.0,5.0,1.0,,,,1.0,,,,0.07,,,,,,1.0,2.0,1.0,,,,,,
14015416,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,M,10,True,20.0,12.0,,,1.0,1.0,3.0,11.0,17.0,,,,,,,45.0,27.0,6.5,13.0,,"{'original': 6.5, 'alternative': 6.8}",0,0.07,0.22,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,60.0,,,,,,3.0,4.0,5.0,2.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,
14015416,away,7771,FK Mladost Lučani,173957,Irfan Hadžić,irfan-hadzic,F,9,True,7.0,6.0,,,0.0,2.0,2.0,4.0,5.0,,2.0,,,,,45.0,14.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.5}",0,0.01,0.26,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,1,2,85.71428571428571,,,,,4.0,1.0,6.0,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,
14015416,away,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,D,22,True,14.0,9.0,,,0.0,5.0,5.0,4.0,9.0,,2.0,,,,,45.0,21.0,6.7,8.0,,"{'original': 6.7, 'alternative': 6.9}",0,-0.16,0.19,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,64.28571428571429,,,50.0,,1.0,,2.0,4.0,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,,
14015416,away,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,D,18,True,6.0,5.0,3.0,2.0,0.0,,,5.0,6.0,,1.0,,,,,8.0,7.0,6.8,2.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.12,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,66.66666666666666,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
14015416,away,7771,FK Mladost Lučani,1595643,Jovan Ćirić,jovan-ciric,M,25,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,10.0,4.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.4}",0,0.03,-0.17,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
14015416,away,5160,FK Mladost Lučani,177037,Miloš Mijić,milos-mijic,M,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,away,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,away,324865,FK Mladost Lučani,2162392,David Đokić,david-dokic,F,36,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,away,25733,FK Mladost Lučani,1595520,Đorđe Marinković,djordje-marinkovic,M,15,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,away,7771,FK Mladost Lučani,1090985,Nemanja Žunić,zunic-nemanja,D,41,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
