match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,bigChanceMissed,blockedScoringAttempt
15280992,away,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,19.0,16.0,6.0,4.0,0.0,13.0,14.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,90.0,22.0,5.9,6.0,0.0,0.0,"{'original': 5.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,84.21052631578947,66.66666666666666,,,,,,,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,808565,Haris Banda,haris-banda,D,24,False,14.0,7.0,1.0,0.0,0.0,2.0,5.0,3.0,7.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,46.0,16.0,5.7,6.0,0.0,0.0,"{'original': 5.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,0,3,50.0,0.0,0.0,,,,,,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,False,37.0,29.0,9.0,3.0,0.0,17.0,19.0,8.0,14.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,45.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,78.37837837837837,33.33333333333333,,,,,,,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,55.0,48.0,8.0,6.0,1.0,26.0,30.0,20.0,22.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,65.0,7.1,5.0,0.06,0.14,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,87.27272727272727,75.0,,,,,1.0,,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,56.0,46.0,2.0,2.0,0.0,20.0,22.0,24.0,32.0,5.0,1.0,1.0,2.0,9.0,8.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,84.0,6.8,16.0,0.04,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,6,8,82.14285714285714,100.0,20.0,100.0,,,,3.0,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,57.0,51.0,2.0,0.0,0.0,21.0,24.0,25.0,28.0,0.0,0.0,2.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,64.0,7.1,6.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,89.47368421052632,0.0,,,,,2.0,,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,11.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,10.0,2.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,62.0,21.0,6.9,4.0,0.08,0.06,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,63.63636363636363,100.0,100.0,100.0,,,1.0,,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,30.0,20.0,2.0,0.0,0.0,6.0,10.0,12.0,16.0,0.0,0.0,2.0,1.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,90.0,40.0,6.3,13.0,0.36,0.1,"{'original': 6.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,66.66666666666666,0.0,,,,1.0,1.0,2.0,1.0,
15280992,away,6219,FK Jedinstvo Bijelo Polje,2444992,Balsa Barovic,balsa-barovic,M,17,False,20.0,17.0,1.0,0.0,0.0,11.0,11.0,6.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,46.0,30.0,6.3,5.0,0.0,0.04,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,85.0,0.0,,,,,1.0,,,
15280992,away,6219,FK Jedinstvo Bijelo Polje,1000576,Andrej Đukić,andrej-dukic,M,30,False,21.0,13.0,0.0,0.0,0.0,4.0,4.0,9.0,16.0,7.0,1.0,0.0,0.0,9.0,4.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,71.0,40.0,6.6,10.0,0.05,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,4,9,61.904761904761905,,14.285714285714285,80.0,,1.0,,3.0,,
