match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,wasFouled,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,aerialWon,outfielderBlock,fouls,totalContest,blockedScoringAttempt,shotValueNormalized,unsuccessfulTouch,wonContest,dispossessed,shotOffTarget,bigChanceCreated,onTargetScoringAttempt,goals,totalOffside,bigChanceMissed,penaltyMiss,penaltyWon,goodHighClaim,penaltySave,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
14015617,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,False,16.0,13.0,,,0.0,8.0,9.0,5.0,7.0,,3.0,,,,59.0,27.0,7.9,6.0,51.698455228887,7.0,34.180903201127,2.0,,"{'original': 7.9, 'alternative': 7.6}",1,0.08,0.14,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,81.25,,,50.0,,,,,6.0,7.0,,,4.0,3.0,,9.817582841162,21.779119395884,,2.0,,5.0,2.0,,0.48,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,
14015617,home,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,True,6.0,4.0,,,0.0,2.0,3.0,2.0,3.0,,,,,,31.0,10.0,5.9,2.0,14.211385381193,4.0,-5.310810261896,0.0,,"{'original': 5.9, 'alternative': 6.4}",2,-0.06,0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,66.66666666666666,,,,,,,2.0,4.0,2.0,,,,,,,,1.0,2.0,,2.0,,,-0.88,,,,,,2.0,,,2.0,1.0,,,,,,,
14015617,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,3.0,2.0,1.0,,0.0,,1.0,2.0,2.0,1.0,1.0,,,,31.0,13.0,6.8,6.0,51.482842718077,5.0,27.730701716483,0.0,,"{'original': 6.8, 'alternative': 6.7}",0,-0.02,0.08,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,66.66666666666666,,,50.0,,1.0,,,3.0,4.0,,,1.0,1.0,,,,,1.0,,1.0,4.0,,,2.0,2.0,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,1974326,Miloš Bakić,milos-bakic,F,30,True,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,31.0,8.0,6.9,3.0,74.1939520701,3.0,66.756614158773,2.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.01,0.18,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,100.0,,,100.0,,,,,5.0,3.0,1.0,,,,1.0,47.594988889678,69.325333785617,,,,2.0,2.0,,,1.0,2.0,2.0,,,,,,,,1.0,,,,,,
14015617,home,308176,FK IMT Beograd,229722,Farid Boulaya,farid-boulaya,M,37,True,1.0,,,,0.0,,1.0,,,,1.0,,,,10.0,3.0,6.5,2.0,11.446230470982,2.0,-10.502379534003,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.03,-0.08,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,home,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015617,away,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,37.0,29.0,11.0,3.0,0.0,28.0,29.0,1.0,8.0,,13.0,2.0,2.0,,90.0,46.0,7.2,8.0,53.097350724543,11.0,1.6879799166806,0.0,0.5887,"{'original': 7.2, 'alternative': 7.4}",0,0.09,-0.07,-0.02,0.41,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,78.37837837837837,27.27272727272727,,,100.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,
