match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,aerialWon,aerialLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,wonTackle,shotValueNormalized,accurateCross,dispossessed,bigChanceCreated,keyPass,onTargetScoringAttempt,goals,bigChanceMissed,outfielderBlock,penaltyWon,penaltyFaced,penaltyConceded,totalOffside
14015610,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,14.0,10.0,,,1.0,3.0,3.0,7.0,11.0,,4.0,,,,,78.0,23.0,6.8,9.0,95.91248143325,8.0,64.741769592535,2.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.38,0.42,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,2,1,71.42857142857143,,,,,,6.0,3.0,,,1.0,4.0,1.0,1.0,42.026074526842,49.191980755279,1.0,5.0,,,,,1.0,,,1.0,,2.0,,,,,,,,
14015610,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,True,27.0,22.0,6.0,3.0,0.0,10.0,12.0,12.0,15.0,,6.0,,,,,58.0,43.0,8.4,8.0,68.038043122777,7.0,11.045984275332,1.0,,"{'original': 8.4, 'alternative': 8.1}",1,0.27,0.02,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,81.48148148148148,50.0,100.0,100.0,,1.0,,6.0,,2.0,2.0,3.0,1.0,,16.221471853648,21.03742617337,2.0,,1.0,1.0,,,2.0,0.51,1.0,,,1.0,1.0,1.0,,1.0,,,,
14015610,home,5150,FK Vojvodina,795913,John Mary,john-mary,F,28,True,1.0,,,,0.0,,,,1.0,,,,,,,12.0,7.0,8.4,2.0,11.305103600264,2.0,-1.9826098106035,0.0,,"{'original': 8.4, 'alternative': 8.4}",1,-0.02,0.11,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,,,,100.0,,,1.0,5.0,,,,1.0,3.0,,,,1.0,1.0,1.0,1.0,,,,0.32,,,,,1.0,1.0,,,2.0,,,
14015610,home,5150,FK Vojvodina,1520997,Vando Félix,vando-felix,F,7,True,3.0,3.0,,,0.0,,,3.0,3.0,,,,,,,13.0,6.0,6.8,,15.465194623195,2.0,-0.75345722010017,0.0,,"{'original': 6.8, 'alternative': 6.7}",1,-0.03,-0.21,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,2,0,100.0,,,,,,,3.0,,,,,2.0,,,,1.0,,,,1.0,,,0.0,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,1892868,Kufre Eta,kufre-eta,M,2,True,2.0,1.0,1.0,,0.0,,,1.0,2.0,,,,,,,8.0,2.0,6.5,1.0,,,,,,"{'original': 6.5, 'alternative': 6.5}",0,-0.02,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,796365,Mihai Butean,mihai-butean,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,1403053,Marko Mladenović,mladenovic-marko,M,11,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,F,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,1000424,Vlada Novevski,vlada-novevski,F,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,1102771,Matija Gočmanac,matija-gocmanac,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,False,29.0,21.0,10.0,2.0,0.0,20.0,23.0,1.0,6.0,2.0,3.0,,2.0,1.0,1.0,90.0,36.0,5.8,8.0,20.829311073579,4.0,4.7569607332147,0.0,0.0156,"{'original': 5.8, 'alternative': 6.2}",0,0.03,0.0,-0.29,-0.59,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,72.41379310344827,20.0,,,100.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,
14015610,away,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,12.0,10.0,4.0,2.0,0.0,9.0,10.0,1.0,2.0,4.0,3.0,,,,,23.0,23.0,6.9,3.0,60.878882986053,8.0,7.180879388255,0.0,,"{'original': 6.9, 'alternative': 6.7}",0,0.01,-0.08,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,83.33333333333334,50.0,100.0,,,1.0,2.0,2.0,,,,,,,,,2.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,
14015610,away,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,71.0,62.0,10.0,4.0,0.0,44.0,48.0,18.0,23.0,6.0,5.0,,,,,90.0,80.0,6.0,10.0,225.51718700754,27.0,112.87913080585,0.0,,"{'original': 6, 'alternative': 6.2}",0,0.19,0.09,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,87.32394366197182,40.0,,,,,4.0,2.0,1.0,1.0,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,108736,Stefan Mitrović,stefan-mitrovic,D,23,False,29.0,26.0,2.0,1.0,0.0,24.0,26.0,2.0,3.0,3.0,1.0,,,,,45.0,34.0,6.6,3.0,51.749203303428,8.0,24.27157520024,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,-0.02,0.01,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,89.65517241379311,50.0,,,,,,3.0,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,False,32.0,23.0,3.0,1.0,0.0,7.0,10.0,16.0,22.0,5.0,2.0,,,,,90.0,57.0,5.7,14.0,45.774781794275,7.0,26.614997167937,0.0,,"{'original': 5.7, 'alternative': 6.1}",0,0.04,-0.12,-0.73,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,71.875,33.33333333333333,,,,,4.0,2.0,,1.0,1.0,3.0,,2.0,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,
14015610,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,50.0,39.0,9.0,6.0,0.0,25.0,28.0,14.0,22.0,1.0,6.0,,,,,90.0,59.0,6.8,12.0,67.26472014765,11.0,18.34168415135,0.0,,"{'original': 6.8, 'alternative': 6.8}",1,0.14,0.07,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,78.0,66.66666666666666,,,,,4.0,6.0,1.0,,3.0,,,2.0,,,3.0,1.0,1.0,,1.0,,3.0,-0.29,,,,,,,,,,,,
14015610,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,26.0,15.0,3.0,2.0,0.0,6.0,7.0,9.0,19.0,,2.0,,,,,90.0,53.0,6.3,24.0,284.88584908729,27.0,136.87011259097,5.0,,"{'original': 6.3, 'alternative': 6.3}",1,-0.37,0.33,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,2,19,10,9,57.692307692307686,66.66666666666666,,40.0,,,11.0,10.0,2.0,,1.0,7.0,7.0,1.0,45.60106112585,113.84086299085,,2.0,5.0,2.0,,1.0,,-0.07,,3.0,,1.0,,,,1.0,,,,4.0
14015610,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,19.0,14.0,5.0,2.0,0.0,5.0,5.0,9.0,14.0,1.0,2.0,,,,,69.0,25.0,6.6,9.0,19.437754594106,3.0,-9.5750539654121,0.0,,"{'original': 6.6, 'alternative': 6.6}",0,0.25,-0.12,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,73.68421052631578,40.0,,,,1.0,5.0,,,,,,,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,2.0,,,,1.0,,,,
14015610,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,47.0,38.0,2.0,1.0,0.0,23.0,24.0,15.0,23.0,1.0,4.0,,,,,75.0,63.0,6.6,16.0,79.533406643404,12.0,-18.278550578567,0.0,,"{'original': 6.6, 'alternative': 7}",1,-0.27,-0.48,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,80.85106382978722,50.0,,100.0,,2.0,2.0,5.0,,,1.0,2.0,3.0,1.0,,,,,1.0,1.0,,,1.0,-0.1,,1.0,,,1.0,,,,,,,
14015610,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,15.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,10.0,,2.0,,,,,57.0,28.0,6.6,9.0,92.589938412921,11.0,54.639221309841,1.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.1,0.19,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,66.66666666666666,100.0,,75.0,,,3.0,5.0,,1.0,,1.0,2.0,,16.736720105437,17.067027977946,,,4.0,3.0,,,,,,2.0,,,,,,,,,,
14015610,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,14.0,10.0,,,0.0,6.0,7.0,4.0,7.0,1.0,,,,,,57.0,24.0,6.3,11.0,27.465667897222,4.0,16.896159203552,2.0,,"{'original': 6.3, 'alternative': 6.5}",1,-0.18,0.16,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,71.42857142857143,,,,,,3.0,2.0,,,,6.0,1.0,1.0,11.171637936121,19.804573963615,1.0,1.0,,,1.0,,,-0.32,,1.0,,,,,1.0,,,,,
14015610,away,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,True,55.0,50.0,3.0,1.0,0.0,33.0,35.0,17.0,20.0,2.0,2.0,,,,,67.0,68.0,5.5,8.0,155.5165763736,20.0,79.640190295921,1.0,,"{'original': 5.5, 'alternative': 5.9}",0,0.25,0.04,-0.87,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,90.9090909090909,33.33333333333333,50.0,,,2.0,3.0,4.0,,1.0,2.0,2.0,,2.0,22.231676826926,26.33027157095,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,
14015610,away,5152,FK Partizan,1985774,Stefan Petrović,stefan-petrovic,D,33,True,20.0,19.0,3.0,2.0,0.0,10.0,11.0,9.0,9.0,,3.0,,,,,45.0,28.0,6.1,5.0,31.246568707256,4.0,-2.312404410101,0.0,,"{'original': 6.1, 'alternative': 6.4}",0,0.0,0.0,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,95.0,66.66666666666666,,,,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,39.0,30.0,2.0,1.0,0.0,5.0,6.0,25.0,33.0,,3.0,,,,,33.0,46.0,6.3,12.0,174.07788608158,19.0,88.859697073271,1.0,,"{'original': 6.3, 'alternative': 6.3}",0,0.06,0.11,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,76.92307692307693,50.0,,,,,4.0,1.0,1.0,,,,1.0,,20.779636157229,21.074292965601,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
14015610,away,5152,FK Partizan,39733,Sebastian Polter,sebastian-polter,F,91,True,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,1.0,,,,,,33.0,14.0,6.5,4.0,31.175331239267,6.0,-9.0728669070191,0.0,,"{'original': 6.5, 'alternative': 6.5}",0,-0.08,0.0,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,88.88888888888889,,,,,,2.0,1.0,,,,3.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,F,32,True,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,1.0,,,,,21.0,10.0,6.6,2.0,63.374949758361,6.0,39.121624371092,2.0,,"{'original': 6.6, 'alternative': 6.6}",1,0.0,0.08,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,100.0,,,,,1.0,1.0,2.0,,,,,2.0,,16.702993534722,31.578220472135,,,1.0,,,,,-0.1,,,,,1.0,,,,,,,
14015610,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,10.0,9.0,1.0,,0.0,2.0,2.0,7.0,8.0,,,,,,,15.0,13.0,6.4,3.0,3.7015706125914,1.0,-0.95478778539199,0.0,,"{'original': 6.4, 'alternative': 6.4}",0,0.19,0.0,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.0,,100.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
14015610,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,1983654,Dušan Jovanović,dusan-jovanovic,F,79,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015610,away,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
