match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,shotOffTarget,keyPass,blockedScoringAttempt,dispossessed
14147330,away,6226,FK Dečić Tuzi,55668,Miloš Dragojević,milos-dragojevic,G,33,False,26.0,22.0,8.0,5.0,0.0,16.0,19.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.0,1.0,0.0,90.0,29.0,6.7,6.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,84.61538461538461,62.5,,,0.0,3.0,,,,
14147330,away,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,50.0,38.0,8.0,5.0,0.0,17.0,20.0,20.0,28.0,7.0,3.0,2.0,2.0,12.0,11.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,67.0,7.1,20.0,0.02,0.19,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,4,19,9,10,76.0,62.5,42.857142857142854,66.66666666666666,,2.0,1.0,1.0,,
14147330,away,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,60.0,55.0,17.0,13.0,0.0,29.0,29.0,25.0,29.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,76.0,7.6,10.0,0.0,0.13,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,91.66666666666666,76.47058823529412,,100.0,,2.0,,2.0,,1.0
14147330,away,6226,FK Dečić Tuzi,78954,Žarko Tomašević,zarko-tomasevic,D,5,False,73.0,62.0,15.0,10.0,0.0,25.0,29.0,35.0,41.0,0.0,0.0,3.0,5.0,4.0,9.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,90.0,88.0,8.0,11.0,0.0,0.0,"{'original': 8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,4,1,84.93150684931507,66.66666666666666,,100.0,,3.0,,,,
14147330,away,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,46.0,34.0,4.0,1.0,0.0,10.0,11.0,21.0,31.0,6.0,3.0,3.0,2.0,14.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,59.0,7.0,16.0,0.07,0.03,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,6,11,73.91304347826086,25.0,50.0,100.0,,1.0,1.0,1.0,,
14147330,away,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,19.0,15.0,2.0,0.0,0.0,4.0,4.0,9.0,12.0,2.0,1.0,2.0,1.0,15.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,35.0,7.2,7.0,0.09,0.02,"{'original': 7.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,2,13,78.94736842105263,0.0,50.0,66.66666666666666,,2.0,1.0,1.0,,1.0
14147330,away,6226,FK Dečić Tuzi,334115,Matija Božanović,matija-bozanovic,M,16,False,43.0,33.0,4.0,3.0,0.0,18.0,20.0,12.0,18.0,0.0,0.0,1.0,2.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,61.0,57.0,7.3,13.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,6,6,76.74418604651163,75.0,,0.0,,3.0,,,,
14147330,away,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,False,39.0,31.0,5.0,3.0,0.0,16.0,17.0,13.0,18.0,0.0,0.0,1.0,2.0,10.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,81.0,52.0,7.1,9.0,0.03,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,6,9,79.48717948717949,60.0,,100.0,,2.0,,,1.0,
14147330,away,6226,FK Dečić Tuzi,1394763,Trimror Selimi,trimron-selimi,M,19,False,9.0,6.0,2.0,2.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,1.0,2.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,76.0,22.0,6.0,10.0,0.02,0.0,"{'original': 6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,1,8,66.66666666666666,100.0,,0.0,,,,,1.0,3.0
14147330,away,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,F,10,False,23.0,21.0,0.0,0.0,0.0,10.0,11.0,11.0,12.0,0.0,0.0,6.0,1.0,16.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,76.0,34.0,6.7,7.0,0.19,0.02,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,3,10,91.30434782608695,,,100.0,,,,1.0,1.0,1.0
