match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,dispossessed,keyPass,blockedScoringAttempt,savedShotsFromInsideTheBox
15280971,home,6219,FK Jedinstvo Bijelo Polje,1382874,Aldin Mušović,aldin-musovic,F,9,False,19.0,16.0,0.0,0.0,0.0,6.0,6.0,10.0,13.0,0.0,0.0,5.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,78.0,26.0,6.6,10.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,7,11,2,9,84.21052631578947,,,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,54752,Žarko Korać,zarko-korac,F,11,True,8.0,6.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,34.0,10.0,6.7,2.0,0.0,0.01,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,75.0,,,,,,,1.0,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1030476,Alden Škrijelj,alden-skrijelj,F,7,True,2.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,12.0,8.0,6.8,2.0,0.06,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,50.0,0.0,,100.0,,1.0,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,808565,Haris Banda,haris-banda,D,24,True,5.0,3.0,3.0,2.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6.0,6.0,6.6,2.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,60.0,66.66666666666666,100.0,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,2444992,Balsa Barovic,balsa-barovic,M,17,True,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6.0,2.0,6.6,1.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,100.0,,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1424818,Srđan Šćepanović,srdan-scepanovic,D,55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,1000576,Andrej Đukić,andrej-dukic,M,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280971,home,6219,FK Jedinstvo Bijelo Polje,2444869,Pavle  Božović,pavle-bozovic,F,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
15280971,away,6226,FK Dečić Tuzi,55668,Miloš Dragojević,milos-dragojevic,G,33,False,36.0,24.0,19.0,8.0,0.0,20.0,26.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,90.0,42.0,6.8,13.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,66.66666666666666,42.10526315789473,,,0.0,,,,,1.0
15280971,away,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,25.0,20.0,4.0,3.0,0.0,11.0,12.0,7.0,11.0,2.0,1.0,0.0,0.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,72.0,38.0,6.4,9.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,0,15,2,13,80.0,75.0,50.0,,,,2.0,1.0,,
15280971,away,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,30.0,24.0,9.0,5.0,0.0,18.0,20.0,6.0,10.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,44.0,7.1,8.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,2,4,80.0,55.55555555555556,,,,,,,,
15280971,away,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,False,39.0,25.0,9.0,4.0,0.0,19.0,24.0,4.0,12.0,1.0,0.0,4.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,90.0,53.0,7.1,11.0,0.0,0.12,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,6,7,3,4,64.1025641025641,44.44444444444444,0.0,,,,,1.0,,
15280971,away,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,23.0,15.0,3.0,1.0,0.0,12.0,16.0,1.0,4.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,90.0,29.0,6.3,11.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,65.21739130434783,33.33333333333333,,,,,1.0,,,
15280971,away,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,13.0,6.0,0.0,0.0,0.0,5.0,5.0,1.0,7.0,2.0,0.0,1.0,5.0,8.0,9.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,,,90.0,25.0,6.7,15.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,4,7,46.15384615384615,,0.0,100.0,,,,,,
15280971,away,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,False,18.0,17.0,1.0,0.0,0.0,16.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,72.0,33.0,6.2,2.0,0.03,0.0,"{'original': 6.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,0,15,5,10,94.44444444444444,0.0,,33.33333333333333,,,,,1.0,
15280971,away,6226,FK Dečić Tuzi,334115,Matija Božanović,matija-bozanovic,M,16,False,20.0,14.0,1.0,0.0,0.0,7.0,9.0,3.0,5.0,0.0,0.0,1.0,7.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,,,,,,90.0,31.0,7.2,14.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,8,9,4,5,70.0,0.0,,,,,,,,
