player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,addedTime
"{'name': 'Aleksa Damjanović', 'slug': 'aleksa-damjanovic', 'shortName': 'A. Damjanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 176, 'gender': 'M', 'id': 1825956, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسَا داميانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. داميانوفيتش'}}}",False,miss,assisted,"{'x': 10.8, 'y': 47.5, 'z': 0}",left-foot,right,"{'x': 0, 'y': 40, 'z': 2.8}",,5425165,64,3836,"{'start': {'x': 47.5, 'y': 10.8}, 'end': {'x': 60, 'y': 0}, 'goal': {'x': 60, 'y': 97.2}}",27,1564,1136,shot,,
"{'name': 'Danilo Pantić', 'firstName': '', 'lastName': '', 'slug': 'danilo-pantic', 'shortName': 'D. Pantić', 'position': 'M', 'userCount': 151, 'gender': 'M', 'id': 280827, 'fieldTranslations': {'nameTranslation': {'ar': 'بانتيتش, دانيلو'}, 'shortNameTranslation': {'ar': 'د. بانتيتش'}}}",True,save,fast-break,"{'x': 15.7, 'y': 46, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 13.3}","{'x': 1.6, 'y': 48.2, 'z': 0}",5425127,59,3515,"{'start': {'x': 46, 'y': 15.7}, 'block': {'x': 48.2, 'y': 1.6}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 86.7}}",32,1885,815,shot,,
"{'name': 'Aleksa Damjanović', 'slug': 'aleksa-damjanovic', 'shortName': 'A. Damjanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 176, 'gender': 'M', 'id': 1825956, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسَا داميانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. داميانوفيتش'}}}",False,miss,assisted,"{'x': 9.7, 'y': 53.6, 'z': 0}",head,close-left,"{'x': 0, 'y': 56.6, 'z': 33.3}",,5425179,56,3316,"{'start': {'x': 53.6, 'y': 9.7}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 66.7}}",35,2084,616,shot,,
"{'name': 'Jovan Šljivić', 'slug': 'jovan-sljivic', 'shortName': 'J. Šljivić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 666, 'gender': 'M', 'id': 1153956, 'fieldTranslations': {'nameTranslation': {'ar': 'بيليتيتش إ / ميلوفانوف ت'}, 'shortNameTranslation': {'ar': 'ب. ت'}}}",False,miss,regular,"{'x': 18.2, 'y': 46.4, 'z': 0}",left-foot,right,"{'x': 0, 'y': 39, 'z': 16.7}","{'x': 8.1, 'y': 57.2, 'z': 0}",5425178,56,3314,"{'start': {'x': 46.4, 'y': 18.2}, 'block': {'x': 57.2, 'y': 8.1}, 'end': {'x': 61, 'y': 0}, 'goal': {'x': 61, 'y': 83.3}}",35,2086,614,shot,,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",False,block,assisted,"{'x': 18.4, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 19}","{'x': 15.3, 'y': 54.9, 'z': 0}",5425147,55,3280,"{'start': {'x': 56, 'y': 18.4}, 'block': {'x': 54.9, 'y': 15.3}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 81}}",36,2120,580,shot,,
"{'name': 'Aleksa Damjanović', 'slug': 'aleksa-damjanovic', 'shortName': 'A. Damjanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 176, 'gender': 'M', 'id': 1825956, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسَا داميانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. داميانوفيتش'}}}",False,miss,assisted,"{'x': 18.1, 'y': 45.8, 'z': 0}",left-foot,high,"{'x': 0, 'y': 50.1, 'z': 69.4}",,5425089,54,3215,"{'start': {'x': 45.8, 'y': 18.1}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 30.6}}",37,2185,515,shot,,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",False,save,assisted,"{'x': 11.4, 'y': 23.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.5, 'z': 10.8}","{'x': 1, 'y': 48.2, 'z': 0}",5425126,54,3190,"{'start': {'x': 23.3, 'y': 11.4}, 'block': {'x': 48.2, 'y': 1}, 'end': {'x': 54.5, 'y': 0}, 'goal': {'x': 54.5, 'y': 89.2}}",37,2210,490,shot,,
"{'name': 'Jovan Šljivić', 'slug': 'jovan-sljivic', 'shortName': 'J. Šljivić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 666, 'gender': 'M', 'id': 1153956, 'fieldTranslations': {'nameTranslation': {'ar': 'بيليتيتش إ / ميلوفانوف ت'}, 'shortNameTranslation': {'ar': 'ب. ت'}}}",False,block,assisted,"{'x': 15.3, 'y': 40.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.2, 'z': 19}","{'x': 8.6, 'y': 45.8, 'z': 0}",5425111,53,3124,"{'start': {'x': 40.5, 'y': 15.3}, 'block': {'x': 45.8, 'y': 8.6}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 81}}",38,2276,424,shot,,
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",False,block,assisted,"{'x': 8.7, 'y': 37.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 19}","{'x': 6.3, 'y': 40.6, 'z': 0}",5425110,52,3118,"{'start': {'x': 37.6, 'y': 8.7}, 'block': {'x': 40.6, 'y': 6.3}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 81}}",39,2282,418,shot,,
"{'name': 'Adem Avdić', 'firstName': '', 'lastName': '', 'slug': 'adem-avdic', 'shortName': 'A. Avdić', 'position': 'D', 'jerseyNumber': '71', 'userCount': 1020, 'gender': 'M', 'id': 1493918, 'fieldTranslations': {'nameTranslation': {'ar': 'أديم أفديتش'}, 'shortNameTranslation': {'ar': 'أ. أفديتش'}}}",False,save,regular,"{'x': 14.5, 'y': 43.2, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.8, 'z': 1.3}","{'x': 1, 'y': 49.1, 'z': 0}",5425049,51,3004,"{'start': {'x': 43.2, 'y': 14.5}, 'block': {'x': 49.1, 'y': 1}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 98.7}}",40,2396,304,shot,,
