match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,blockedScoringAttempt,interceptionWon,fouls,shotValueNormalized,totalContest,onTargetScoringAttempt,outfielderBlock,errorLeadToAShot,dispossessed,shotOffTarget,wonContest,keyPass,goals,penaltyConceded,totalOffside,accurateCross,bigChanceCreated
14015422,home,7771,FK Mladost Lučani,1166128,Bogdan Matijasevic,bogdan-matijasevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,False,19.0,18.0,3.0,2.0,0.0,18.0,18.0,,1.0,,,,8.0,,1.0,,3.0,,90.0,28.0,6.7,1.0,0.0122,"{'original': 6.7, 'alternative': 6.7}",0,0.06,0.03,0.14,0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,94.73684210526315,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,D,24,False,51.0,44.0,6.0,4.0,0.0,18.0,18.0,26.0,33.0,1.0,5.0,1.0,2.0,,,,,,90.0,72.0,7.0,12.0,,"{'original': 7, 'alternative': 7.7}",0,0.27,0.07,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,4,0,86.27450980392157,66.66666666666666,20.0,100.0,,5.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,1.0,3.0,,,1.0,1.0,
14015422,away,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,False,81.0,78.0,7.0,6.0,0.0,48.0,50.0,30.0,31.0,,3.0,5.0,4.0,,,,,,90.0,93.0,7.7,4.0,,"{'original': 7.7, 'alternative': 7.5}",0,0.45,0.12,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,96.29629629629629,85.71428571428571,,,,,1.0,1.0,,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
14015422,away,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,84.0,77.0,12.0,8.0,1.0,36.0,38.0,41.0,46.0,1.0,5.0,7.0,7.0,,,,,,90.0,97.0,8.1,8.0,,"{'original': 8.1, 'alternative': 8}",0,0.68,0.25,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,91.66666666666666,66.66666666666666,,,,,1.0,1.0,,3.0,3.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,1.0
14015422,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,False,51.0,45.0,2.0,1.0,0.0,26.0,27.0,19.0,24.0,3.0,9.0,8.0,4.0,,,,,,83.0,92.0,7.3,12.0,,"{'original': 7.3, 'alternative': 7.8}",3,0.06,0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,6,2,88.23529411764706,50.0,50.0,33.33333333333333,,4.0,2.0,4.0,,4.0,4.0,,1.0,2.0,3.0,,0.02,3.0,1.0,,,,,1.0,,,,,2.0,
14015422,away,5153,FK Crvena zvezda,1153956,Jovan Šljivić,jovan-sljivic,M,8,False,73.0,60.0,9.0,5.0,0.0,18.0,21.0,42.0,52.0,1.0,2.0,1.0,3.0,,,,,,90.0,88.0,7.3,16.0,,"{'original': 7.3, 'alternative': 7.7}",6,0.05,0.17,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,82.1917808219178,55.55555555555556,,,,3.0,,1.0,1.0,1.0,,,,1.0,,,0.36,,3.0,,,,2.0,,1.0,,,,,
14015422,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,55.0,53.0,4.0,4.0,1.0,24.0,24.0,29.0,31.0,,6.0,1.0,3.0,,,,,,90.0,78.0,7.5,11.0,,"{'original': 7.5, 'alternative': 8}",2,0.27,0.31,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,6,1,96.36363636363636,100.0,18.181818181818183,100.0,,11.0,,1.0,,4.0,3.0,,,1.0,1.0,1.0,-0.53,2.0,,1.0,,,1.0,2.0,2.0,,,,2.0,
14015422,away,5149,FK Crvena zvezda,1029788,Vladimir Lučić,vladimir-lucic,M,37,False,43.0,37.0,4.0,4.0,0.0,5.0,5.0,32.0,38.0,,4.0,,3.0,,,,,,88.0,59.0,8.3,10.0,,"{'original': 8.3, 'alternative': 8.4}",3,0.1,0.48,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,86.04651162790698,100.0,,100.0,,2.0,,1.0,,,,2.0,2.0,1.0,1.0,1.0,0.46,2.0,1.0,,,,1.0,2.0,5.0,1.0,,,,
14015422,away,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,M,10,False,48.0,42.0,,,0.0,10.0,10.0,32.0,38.0,1.0,3.0,,2.0,,,,,,90.0,73.0,10.0,17.0,,"{'original': 10, 'alternative': 9.5}",8,-0.21,0.77,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,2,7,87.5,,,25.0,,1.0,2.0,9.0,,1.0,1.0,3.0,,3.0,,2.0,1.0,4.0,4.0,,,2.0,1.0,1.0,4.0,3.0,,1.0,,
14015422,away,5149,FK Crvena zvezda,939721,Milson,milson,M,7,False,24.0,16.0,,,0.0,4.0,6.0,12.0,18.0,1.0,3.0,,3.0,,,,,,90.0,40.0,6.7,17.0,,"{'original': 6.7, 'alternative': 6.7}",4,-0.02,0.29,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,66.66666666666666,,,,,3.0,3.0,8.0,,,,,2.0,2.0,,,0.16,3.0,2.0,,,2.0,,,2.0,,,,,
14015422,away,5149,FK Crvena zvezda,2207346,Aleksa Damjanović,damjanovic-aleksa,F,19,False,20.0,11.0,,,0.0,3.0,5.0,8.0,15.0,2.0,5.0,,4.0,,,,,,76.0,36.0,6.3,15.0,,"{'original': 6.3, 'alternative': 6.9}",4,-0.47,0.53,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,55.00000000000001,,,100.0,,,2.0,6.0,,,,3.0,2.0,1.0,,1.0,-0.63,1.0,,,,3.0,3.0,1.0,1.0,,,1.0,,
14015422,away,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,2.0,2.0,,,0.0,2.0,2.0,,,,,,2.0,,,,,,14.0,3.0,6.6,,,"{'original': 6.6, 'alternative': 6.5}",0,-0.01,0.1,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,5149,FK Crvena zvezda,1478247,Keimer Sandoval,keimer-sandoval,D,3,True,3.0,3.0,1.0,1.0,0.0,3.0,3.0,,,,,,,,,,,,8.0,3.0,6.7,,,"{'original': 6.7, 'alternative': 6.6}",0,-0.02,-0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,5160,FK Crvena zvezda,1939188,Matej Gaštarov,matej-gashtarov,M,60,True,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
14015422,away,5149,FK Crvena zvezda,1939194,Stefan Gudelj,stefan-gudelj,D,45,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,5160,FK Crvena zvezda,1584981,Uros Đorđević,uros-dordevic,F,70,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,197184,FK Crvena zvezda,1590928,Gorazd Ristovski,gorazd-ristovski,D,65,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015422,away,5149,FK Crvena zvezda,1019641,Ivan Guteša,ivan-gutesa,G,77,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
