match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,bigChanceCreated,shotOffTarget,outfielderBlock,shotValueNormalized,totalContest,wonContest,fouls,onTargetScoringAttempt,blockedScoringAttempt,goals,totalOffside,savedShotsFromInsideTheBox
14015447,away,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,36.0,35.0,1.0,1.0,0.0,19.0,20.0,16.0,16.0,8.0,,,90.0,54.0,6.8,9.0,,"{'original': 6.8, 'alternative': 7}",0,0.32,0.04,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,97.22222222222221,100.0,22.22222222222222,,,9.0,2.0,1.0,1.0,3.0,3.0,,1.0,2.0,2.0,2.0,,,,1.0,,,,,,,2.0,,,,,
14015447,away,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,M,94,False,7.0,6.0,,,0.0,2.0,3.0,4.0,4.0,1.0,,,56.0,20.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.12,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,85.71428571428571,,25.0,,,4.0,1.0,2.0,,4.0,3.0,,1.0,,,2.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,
14015447,away,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,22.0,17.0,2.0,,0.0,9.0,10.0,8.0,12.0,2.0,,,56.0,27.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.03,0.24,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,77.27272727272727,,,,,2.0,,,2.0,2.0,3.0,,,2.0,,1.0,,,,,,,,,,,2.0,,,,,
14015447,away,241802,FK IMT Beograd,797763,Olivier Thill,olivier-thill,M,18,False,53.0,37.0,7.0,4.0,0.0,25.0,29.0,12.0,24.0,6.0,,,90.0,64.0,6.2,18.0,,"{'original': 6.2, 'alternative': 6.8}",2,-0.46,0.26,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,3,2,69.81132075471697,57.14285714285714,,66.66666666666666,,,,5.0,,7.0,3.0,,1.0,1.0,,,,,1.0,2.0,,1.0,,0.0,3.0,2.0,,,1.0,,,
14015447,away,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,M,50,False,18.0,11.0,2.0,,0.0,7.0,9.0,4.0,9.0,1.0,,,76.0,31.0,5.7,13.0,,"{'original': 5.7, 'alternative': 6.3}",2,-0.14,0.03,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,2,4,61.111111111111114,,,,,1.0,,7.0,,11.0,2.0,1.0,,,1.0,2.0,1.0,3.0,,,,1.0,,-0.12,1.0,,3.0,,1.0,,,
14015447,away,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,False,10.0,9.0,,,0.0,5.0,5.0,4.0,5.0,3.0,,,81.0,24.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.5}",1,-0.17,0.14,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,3,4,90.0,,,,,,,7.0,,11.0,3.0,,2.0,,,1.0,,3.0,2.0,,,,,-0.22,1.0,,1.0,,1.0,,,
14015447,away,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,16.0,12.0,1.0,,0.0,5.0,5.0,7.0,11.0,1.0,,,34.0,20.0,6.5,7.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.07,0.07,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,75.0,,,,,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14015447,away,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,True,12.0,8.0,1.0,,0.0,2.0,3.0,6.0,9.0,1.0,,,34.0,31.0,6.3,12.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.01,-0.04,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,66.66666666666666,,25.0,,,8.0,2.0,1.0,,5.0,3.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,
14015447,away,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,True,10.0,8.0,1.0,1.0,0.0,2.0,3.0,6.0,7.0,1.0,,,14.0,20.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.2}",1,-0.04,-0.47,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,80.0,100.0,,,,,,,,3.0,2.0,,1.0,,,2.0,2.0,2.0,,,,,,-0.07,2.0,,,,1.0,,,
14015447,away,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,True,14.0,10.0,1.0,,0.0,3.0,5.0,7.0,9.0,1.0,,,14.0,17.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.7}",0,0.24,0.1,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,71.42857142857143,,100.0,100.0,,1.0,1.0,1.0,2.0,1.0,3.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,
14015447,away,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,9.0,5.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.6}",0,-0.19,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
14015447,away,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,F,66,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015447,away,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015447,away,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015447,away,308176,FK IMT Beograd,1627088,Stefan Bastaja,stefan-bastaja,M,16,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015447,away,308176,FK IMT Beograd,1837599,Luka Krstović,luka-krstovic,M,23,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015447,away,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
