match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,totalContest,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wonTackle,shotValueNormalized,challengeLost,outfielderBlock,keyPass,aerialLost,shotOffTarget,hitWoodwork,fouls,dispossessed,unsuccessfulTouch,blockedScoringAttempt,bigChanceCreated,wonContest,bigChanceMissed,penaltyFaced,punches,penaltyConceded
14015512,away,5152,FK Partizan,1124029,Mateja Milovanović,mateja-milovanovic,D,5,False,49.0,44.0,1.0,,0.0,27.0,29.0,17.0,20.0,6.0,2.0,3.0,1.0,,,,,,90.0,81.0,5.9,16.0,,"{'original': 5.9, 'alternative': 6.1}",0,-0.17,0.08,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,89.79591836734694,,,,,4.0,,1.0,7.0,1.0,,,2.0,4.0,3.0,,,,,1.0,,,1.0,4.0,1.0,,,,,,,
14015512,away,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,72.0,57.0,5.0,2.0,0.0,36.0,44.0,21.0,28.0,9.0,2.0,4.0,1.0,,,,,,89.0,79.0,7.1,15.0,,"{'original': 7.1, 'alternative': 6.9}",0,0.04,0.1,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,11,2,2,0,79.16666666666666,40.0,,,,,,7.0,4.0,,,,1.0,1.0,1.0,,,1.0,,4.0,,,,,,,,,,,,
14015512,away,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,37.0,29.0,3.0,1.0,1.0,11.0,13.0,18.0,24.0,8.0,,4.0,5.0,,,,,,90.0,61.0,7.1,16.0,,"{'original': 7.1, 'alternative': 7.1}",1,0.22,0.45,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,8,3,78.37837837837837,33.33333333333333,,40.0,,4.0,,,3.0,5.0,,,1.0,1.0,1.0,-0.15,,1.0,1.0,,,,,,1.0,1.0,,2.0,,,,
14015512,away,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,17.0,13.0,,,0.0,7.0,10.0,6.0,7.0,3.0,2.0,2.0,3.0,,,,,,45.0,26.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.5}",1,0.05,0.0,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,76.47058823529412,,,,,,,,1.0,,1.0,,,,,0.0,,,,,,,1.0,,3.0,,,,,,,
14015512,away,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,49.0,43.0,8.0,5.0,0.0,24.0,25.0,19.0,24.0,9.0,,6.0,4.0,,,,,,90.0,72.0,7.6,13.0,,"{'original': 7.6, 'alternative': 7.2}",1,0.52,0.23,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,9,2,87.75510204081633,62.5,33.33333333333333,75.0,,9.0,3.0,,3.0,4.0,,,,2.0,2.0,0.0,,,2.0,1.0,,,1.0,,,1.0,1.0,3.0,,,,
14015512,away,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,12.0,12.0,,,0.0,4.0,4.0,8.0,8.0,,,2.0,,,,,,,45.0,16.0,6.2,3.0,,"{'original': 6.2, 'alternative': 6.3}",0,-0.11,-0.08,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,0,3,100.0,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,
14015512,away,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,19.0,14.0,,,0.0,8.0,9.0,6.0,10.0,1.0,,,,,,,,,70.0,22.0,6.4,6.0,,"{'original': 6.4, 'alternative': 6.5}",1,-0.04,0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,73.68421052631578,,,,,,,1.0,2.0,,,,,,,-0.18,,,1.0,1.0,,,,1.0,,1.0,,,,,,
14015512,away,5152,FK Partizan,19191,Bibars Natcho,bibars-natcho,M,10,True,43.0,38.0,7.0,5.0,0.0,21.0,21.0,17.0,22.0,,,3.0,,,,,,,45.0,51.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.9}",2,0.26,0.07,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,88.37209302325581,71.42857142857143,20.0,,,5.0,1.0,,1.0,,1.0,,,,,0.01,,,1.0,1.0,,,,,,1.0,1.0,,,,,
14015512,away,77629,FK Partizan,1218053,Ibrahim Zubairu,zubairu-ibrahim,F,39,True,20.0,17.0,3.0,1.0,0.0,7.0,7.0,10.0,13.0,,,2.0,,,,,,,45.0,28.0,7.2,7.0,,"{'original': 7.2, 'alternative': 7.3}",2,-0.13,0.18,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,85.0,33.33333333333333,,,,1.0,,,1.0,,2.0,1.0,1.0,,,0.52,,,,1.0,,,1.0,,3.0,,,,,,,
14015512,away,282203,FK Partizan,1500279,Dusan Jovanović,dusan-jovanovic,F,42,True,6.0,4.0,,,0.0,2.0,2.0,2.0,4.0,3.0,,,1.0,,,,,,20.0,11.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.8}",1,-0.21,0.13,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,66.66666666666666,,,100.0,,,,1.0,2.0,1.0,1.0,,,,,-0.1,,,,1.0,,,1.0,,1.0,,,1.0,,,,
14015512,away,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,F,32,True,4.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,,,1.0,,,,,,11.0,5.0,6.6,,,"{'original': 6.6, 'alternative': 6.7}",0,0.0,-0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,100.0,100.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,True,,,,,0.0,,,,,,,,,,,,,,1.0,2.0,,1.0,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,252121,Ghayas Zahid,ghayas-zahid,M,29,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,1851627,Abdulmalik Mohammed,abdulmalik-mohammed,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,1429960,Dimitrije Janković,dimitrije-jankovic,M,70,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,1147544,Vukašin Đurđević,vukasin-durdevic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,807245,Miloš Krunić,milos-krunic,G,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,away,5152,FK Partizan,805932,Aranđel Stojković,arandel-stojkovic,D,2,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
