match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,blockedScoringAttempt,interceptionWon,hitWoodwork,keyPass,penaltyWon,bigChanceMissed,penaltyMiss,savedShotsFromInsideTheBox,penaltyConceded
14147379,away,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,33.0,31.0,1.0,1.0,0.0,16.0,16.0,12.0,14.0,0.0,0.0,1.0,1.0,9.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,81.0,42.0,6.0,5.0,0.0,0.0,"{'original': 6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,2,8,93.93939393939394,100.0,,0.0,,,1.0,,3.0,,,,,,,1.0
14147379,away,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,False,43.0,36.0,5.0,3.0,0.0,17.0,18.0,15.0,20.0,0.0,0.0,2.0,1.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,,,,,,90.0,56.0,7.1,14.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,2,7,83.72093023255815,60.0,,,,,,,4.0,,1.0,,,,,
14147379,away,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,11.0,6.0,0.0,0.0,0.0,2.0,4.0,4.0,7.0,1.0,0.0,0.0,2.0,10.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,64.0,21.0,6.5,9.0,0.15,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,1,10,54.54545454545454,,0.0,100.0,,1.0,1.0,,,,,,,,,
14147379,away,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,36.0,25.0,6.0,3.0,1.0,11.0,12.0,14.0,23.0,2.0,0.0,2.0,0.0,11.0,11.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,90.0,57.0,7.0,15.0,0.05,0.09,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,2,20,11,9,69.44444444444444,50.0,0.0,66.66666666666666,,1.0,1.0,1.0,1.0,,3.0,,,,,
14147379,away,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,26.0,23.0,1.0,1.0,0.0,11.0,11.0,9.0,12.0,0.0,0.0,5.0,0.0,22.0,8.0,2.0,6.0,4.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,90.0,64.0,6.8,10.0,0.2,0.0,"{'original': 6.8, 'alternative': None}",5.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",30,5,25,8,17,88.46153846153845,100.0,,66.66666666666666,,2.0,3.0,1.0,3.0,1.0,,,,,,
14147379,away,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,False,13.0,9.0,2.0,1.0,0.0,4.0,4.0,5.0,9.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,,,,,,72.0,30.0,6.7,11.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,69.23076923076923,50.0,,100.0,,1.0,,,1.0,,,,,,,
14147379,away,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,True,12.0,9.0,2.0,2.0,0.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,26.0,15.0,6.4,2.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,75.0,100.0,,100.0,,,,,,,,,,,,
14147379,away,6216,OFK Petrovac,800100,Nikola Zvrko,nikola-zvrko,M,7,True,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18.0,3.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,,,,,,,,,
14147379,away,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,True,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,18.0,13.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,66.66666666666666,,,33.33333333333333,,,,,2.0,,,,,,,
14147379,away,37956,OFK Petrovac,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,9,True,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,9.0,1.0,6.7,1.0,0.01,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,,,,,,,,,,,,,,,,
14147379,away,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,away,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,D,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,away,829702,OFK Petrovac,886236,Alija Krnić,alija-krnic,M,47,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,away,241802,OFK Petrovac,1606688,Nikola Balević,nikola-balevic,M,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
14147379,away,6216,OFK Petrovac,959868,Vladan Kordić,vladan-kordic,F,98,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
