match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,blockedScoringAttempt,totalTackle,wonTackle,wasFouled,fouls,bestBallCarryProgression,totalProgressiveBallCarriesDistance,keyPass,shotValueNormalized,interceptionWon,unsuccessfulTouch,challengeLost,wonContest,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,penaltyWon,savedShotsFromInsideTheBox,penaltyFaced,outfielderBlock,penaltyConceded
14015597,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,30.0,13.0,24.0,7.0,0.0,8.0,11.0,5.0,19.0,,9.0,1.0,2.0,1.0,,90.0,38.0,6.4,18.0,25.462835875266,4.0,11.432240065182,0.0,0.6451,"{'original': 6.4, 'alternative': 6.7}",0,0.06,-0.01,-0.26,0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,43.333333333333336,29.166666666666668,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,2.0,1.0,,
14015597,away,5149,FK Napredak Kruševac,1152937,Dragan Bojat,dragan-bojat,D,23,False,16.0,10.0,3.0,,0.0,7.0,8.0,3.0,8.0,2.0,2.0,,,,,90.0,36.0,5.9,13.0,101.66882070185,9.0,80.124461841027,2.0,,"{'original': 5.9, 'alternative': 6.3}",0,-0.15,0.08,-0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,62.5,,,,,1.0,,,1.0,2.0,4.0,1.0,,,3.0,1.0,,1.0,36.64152004133,59.938482890701,,,1.0,2.0,,,,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,23.0,17.0,9.0,4.0,0.0,12.0,15.0,5.0,8.0,8.0,,,,,,76.0,42.0,6.7,8.0,94.281394996393,9.0,-51.47620454537,0.0,,"{'original': 6.7, 'alternative': 6.7}",1,0.11,0.04,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,73.91304347826086,44.44444444444444,,,,,,,3.0,2.0,5.0,,,,2.0,1.0,,2.0,,,,-0.2,2.0,2.0,,,,1.0,,,,,,,,2.0,1.0
14015597,away,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,32.0,24.0,11.0,4.0,0.0,17.0,20.0,7.0,12.0,11.0,1.0,,,,,90.0,56.0,7.3,9.0,87.879413122239,12.0,-31.44346734239,0.0,,"{'original': 7.3, 'alternative': 7.3}",0,0.31,0.0,0.7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,75.0,36.36363636363637,,,,,,2.0,2.0,3.0,4.0,,,,,,2.0,,,,,,2.0,,1.0,,,,,,,,,,,4.0,
14015597,away,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,25.0,20.0,3.0,,0.0,11.0,11.0,9.0,14.0,3.0,3.0,,,,,90.0,53.0,6.8,7.0,79.065267711751,8.0,23.234611884454,1.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.19,0.06,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,80.0,,,,,,,,,3.0,5.0,,,,5.0,3.0,,1.0,21.125186544304,21.855628565658,,,3.0,,1.0,,1.0,,,,,,,,,,
14015597,away,7674,FK Napredak Kruševac,1046779,Jovan Ilić,jovan-ilic,M,31,False,32.0,27.0,2.0,1.0,0.0,17.0,20.0,10.0,12.0,,6.0,,,,,90.0,48.0,6.7,9.0,80.260435582764,9.0,10.349275792871,0.0,,"{'original': 6.7, 'alternative': 6.6}",0,-0.04,0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,6,5,84.375,50.0,,50.0,,,,1.0,,6.0,6.0,2.0,,,2.0,1.0,3.0,2.0,,,1.0,,1.0,3.0,2.0,1.0,,,,,,,,,,1.0,
14015597,away,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,16.0,11.0,3.0,1.0,0.0,8.0,9.0,3.0,7.0,1.0,2.0,,,,,64.0,33.0,6.9,10.0,32.008686323119,5.0,5.299738602007,0.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.04,0.02,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,68.75,33.33333333333333,,,,1.0,,2.0,2.0,6.0,5.0,,,,2.0,,1.0,1.0,,,,,3.0,1.0,,,3.0,,,,,,,,,2.0,
14015597,away,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,M,33,False,16.0,10.0,1.0,,1.0,5.0,5.0,5.0,11.0,3.0,4.0,,,,,90.0,32.0,7.4,12.0,81.910202810864,6.0,50.269014054555,1.0,,"{'original': 7.4, 'alternative': 7.2}",1,0.54,0.14,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,62.5,,100.0,100.0,,2.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,,,,,,43.364859782873,51.449092207735,1.0,0.2,,4.0,1.0,1.0,2.0,,1.0,,,,,,,,
