match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,interceptionWon,dispossessed,keyPass,bigChanceMissed,blockedScoringAttempt,bigChanceCreated,hitWoodwork,penaltyMiss,penaltyWon,penaltyConceded
15558703,away,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,27.0,20.0,16.0,10.0,0.0,11.0,14.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,90.0,31.0,7.2,10.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,74.07407407407408,62.5,,,0.0,,2.0,,,,,,,,,
15558703,away,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,23.0,15.0,4.0,1.0,0.0,5.0,9.0,7.0,11.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,29.0,7.1,13.0,0.0,0.51,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,0,8,65.21739130434783,25.0,0.0,,,,3.0,,5.0,,,,,,,
15558703,away,6216,OFK Petrovac,55534,Aleksandar Kapisoda,aleksandar-kapisoda,D,5,False,25.0,22.0,0.0,0.0,0.0,12.0,15.0,7.0,7.0,0.0,0.0,2.0,2.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,34.0,6.7,5.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,1,7,88.0,,,0.0,,,3.0,,,,,,,,,
15558703,away,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,32.0,28.0,8.0,5.0,0.0,22.0,22.0,5.0,9.0,1.0,1.0,1.0,2.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,45.0,6.9,10.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,87.5,62.5,100.0,,,,2.0,,,,,,,,,
15558703,away,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,20.0,12.0,1.0,0.0,0.0,9.0,14.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,46.0,25.0,6.6,10.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,60.0,0.0,,,,,2.0,,,,,,,,,
15558703,away,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,36.0,30.0,3.0,0.0,0.0,17.0,20.0,13.0,16.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,44.0,6.9,6.0,0.0,0.01,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,83.33333333333334,0.0,,,,,1.0,,1.0,,,,,,,
15558703,away,241802,OFK Petrovac,1606688,Nikola Balević,nikola-balevic,M,14,False,12.0,5.0,1.0,0.0,0.0,4.0,11.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,46.0,17.0,6.4,10.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,41.66666666666667,0.0,,,,,,,,,,,,,,
15558703,away,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,13.0,10.0,0.0,0.0,0.0,4.0,5.0,6.0,8.0,0.0,0.0,1.0,3.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,89.0,28.0,6.6,9.0,0.11,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,4,10,76.92307692307693,,,,,2.0,,1.0,,,,,,,,
15558703,away,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,19.0,13.0,4.0,2.0,0.0,6.0,6.0,7.0,13.0,0.0,0.0,1.0,0.0,15.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,,,,,,,89.0,34.0,6.6,16.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,1,18,4,14,68.42105263157895,50.0,,100.0,,1.0,1.0,,,,,,,,,
15558703,away,6216,OFK Petrovac,979046,Nemanja Belaković,nemanja-belakovic,M,11,False,10.0,6.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,61.0,14.0,6.8,6.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,60.0,,0.0,,,,,,,,,,,,,
