match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,interceptionWon,shotOffTarget,keyPass,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed,savedShotsFromInsideTheBox
14147302,away,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,43.0,32.0,18.0,9.0,0.0,29.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,90.0,51.0,6.8,9.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,74.4186046511628,50.0,,,0.0,3.0,10.0,,,,,,,,3.0
14147302,away,481825,Mladost DG,1800480,Nikola  Ukšanović,nikola-uksanovic,D,66,False,40.0,23.0,9.0,1.0,0.0,10.0,17.0,2.0,1.0,0.0,0.0,12.0,7.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,90.0,59.0,6.4,23.0,0.02,0.28,"{'original': 6.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,0,19,7,12,57.49999999999999,11.11111111111111,50.0,50.0,,12.0,22.0,2.0,,1.0,,,2.0,,
14147302,away,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,False,35.0,27.0,4.0,1.0,0.0,19.0,20.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,86.0,43.0,6.7,7.0,0.04,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,77.14285714285715,25.0,,,,4.0,10.0,4.0,1.0,,,,,,
14147302,away,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,48.0,45.0,5.0,3.0,0.0,32.0,33.0,0.0,0.0,2.0,1.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,90.0,56.0,6.4,4.0,0.0,0.02,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,2,7,93.75,60.0,,,,10.0,11.0,2.0,,2.0,,,,,
14147302,away,327162,Mladost DG,1426667,Matija Vukčević,matija-vukcevic,D,44,False,18.0,14.0,2.0,2.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,60.0,23.0,6.9,5.0,0.0,0.04,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,77.77777777777779,100.0,,100.0,,4.0,6.0,2.0,,1.0,,,,,
14147302,away,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,43.0,26.0,6.0,2.0,1.0,8.0,10.0,1.0,1.0,0.0,1.0,9.0,5.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,90.0,54.0,7.0,21.0,0.0,0.15,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,4,9,60.46511627906976,33.33333333333333,100.0,50.0,,17.0,31.0,3.0,,1.0,1.0,,,,
14147302,away,327162,Mladost DG,929719,Davor Kontić,davor-kontic,M,8,False,50.0,45.0,0.0,0.0,0.0,29.0,31.0,0.0,0.0,1.0,0.0,18.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,16.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,,,,,,90.0,60.0,6.8,5.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,1,21,4,17,90.0,,,100.0,,14.0,16.0,5.0,,,,,,,
14147302,away,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,False,23.0,16.0,1.0,1.0,0.0,6.0,7.0,2.0,0.0,1.0,1.0,13.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,71.0,37.0,6.6,15.0,0.01,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,2,12,69.56521739130434,100.0,0.0,,,9.0,15.0,2.0,,1.0,2.0,,,,
14147302,away,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,21.0,13.0,4.0,3.0,0.0,6.0,9.0,0.0,0.0,1.0,0.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,90.0,35.0,6.0,11.0,0.01,0.0,"{'original': 6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,3,12,61.904761904761905,75.0,,100.0,,7.0,12.0,,,,3.0,,1.0,,
14147302,away,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,14.0,7.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,11.0,10.0,1.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,,,,,,90.0,42.0,7.3,16.0,0.15,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,3,18,10,8,50.0,50.0,0.0,66.66666666666666,,5.0,11.0,,,,,,,,
