match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,interceptionWon,dispossessed,blockedScoringAttempt,onTargetScoringAttempt,bigChanceMissed,totalOffside,hitWoodwork,goals,punches
14015456,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,31.0,22.0,22.0,13.0,0.0,12.0,14.0,10.0,17.0,2.0,15.0,,1.0,6.0,90.0,45.0,7.5,10.0,0.2133,"{'original': 7.5, 'alternative': 8.1}",0,0.15,0.01,-0.01,0.25,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,70.96774193548387,59.09090909090909,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
14015456,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,D,77,False,31.0,26.0,3.0,3.0,0.0,13.0,14.0,13.0,17.0,4.0,4.0,,,,90.0,57.0,7.4,11.0,,"{'original': 7.4, 'alternative': 7.5}",0,0.26,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,8,3,2,1,83.87096774193549,100.0,,,,2.0,,2.0,6.0,3.0,8.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,
14015456,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,27.0,21.0,7.0,3.0,0.0,12.0,14.0,9.0,13.0,3.0,,,,,90.0,41.0,6.8,6.0,,"{'original': 6.8, 'alternative': 7}",0,0.23,0.03,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,77.77777777777779,42.857142857142854,,,,,,1.0,1.0,3.0,4.0,1.0,,,,,2.0,1.0,1.0,,2.0,1.0,,,3.0,,,,,,,,
14015456,away,7771,FK Mladost Lučani,69023,Dušan Cvetinović,dusan-cvetinovic,D,40,False,13.0,13.0,,,0.0,13.0,13.0,,,5.0,1.0,,,,89.0,22.0,6.8,,,"{'original': 6.8, 'alternative': 6.7}",0,0.06,-0.01,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,100.0,,,,,,,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,
14015456,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,28.0,24.0,4.0,2.0,0.0,14.0,16.0,10.0,12.0,2.0,5.0,,,,90.0,35.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.25,0.02,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,85.71428571428571,50.0,,,,,,,,5.0,2.0,5.0,,,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,
14015456,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,22.0,14.0,6.0,1.0,0.0,9.0,12.0,5.0,10.0,6.0,2.0,,,,90.0,45.0,6.7,15.0,,"{'original': 6.7, 'alternative': 6.9}",1,0.16,0.15,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,63.63636363636363,16.666666666666664,20.0,100.0,,5.0,1.0,,1.0,3.0,3.0,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,0.0,1.0,,1.0,,,,,,
14015456,away,7771,FK Mladost Lučani,837894,Nemanja Milojević,nemanja-milojevic,M,38,False,17.0,11.0,,,0.0,6.0,8.0,5.0,9.0,3.0,3.0,,,,77.0,37.0,6.9,11.0,,"{'original': 6.9, 'alternative': 7.2}",2,-0.16,0.08,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,4,2,64.70588235294117,,,50.0,,1.0,,,3.0,2.0,7.0,,4.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,,-0.26,,,,1.0,,,,,
14015456,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,35.0,25.0,3.0,1.0,0.0,18.0,24.0,7.0,11.0,,5.0,,,,90.0,46.0,6.8,11.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.03,-0.05,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,71.42857142857143,33.33333333333333,,,,,,,2.0,3.0,6.0,3.0,,,,,,3.0,1.0,1.0,1.0,,,,2.0,,,,,,,,
14015456,away,241802,FK Mladost Lučani,280827,Danilo Pantić,danilo-pantic,M,5,False,10.0,8.0,,,0.0,5.0,5.0,3.0,5.0,2.0,1.0,,,,45.0,21.0,6.4,5.0,,"{'original': 6.4, 'alternative': 6.5}",1,0.01,0.1,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,0,4,80.0,,,,,1.0,,,1.0,4.0,1.0,3.0,1.0,,,,,,,1.0,,,,0.0,2.0,,,1.0,,,,,
14015456,away,7674,FK Mladost Lučani,1166063,Uroš Sremčević,uros-sremcevic,F,19,False,25.0,18.0,,,0.0,7.0,9.0,11.0,16.0,4.0,1.0,,,,77.0,41.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.6}",2,-0.28,0.28,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,2,3,72.0,,,,,,,2.0,4.0,5.0,6.0,,,,,2.0,,,,3.0,2.0,1.0,,-0.55,1.0,2.0,,,1.0,,,,
