match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,totalClearance,outfielderBlock,interceptionWon,fouls,challengeLost,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,wasFouled,totalContest,wonContest,keyPass,dispossessed,onTargetScoringAttempt,goals,shotValueNormalized,totalCross,bigChanceCreated,bigChanceMissed,shotOffTarget,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,totalOffside
14015540,away,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,65.0,54.0,7.0,3.0,0.0,37.0,43.0,17.0,22.0,4.0,6.0,8.0,,,,90.0,76.0,6.8,11.0,237.38661842907,26.0,-149.52,3.36,,"{'original': 6.8, 'alternative': 7}",2,0.32,0.19,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,2,1,83.07692307692308,42.857142857142854,100.0,,,1.0,2.0,3.0,1.0,,1.0,,2.0,2.0,,,,,,2.0,,,,-0.35,1.0,1.0,,2.0,,,,1.0,
14015540,away,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,False,62.0,60.0,3.0,3.0,0.0,34.0,35.0,26.0,27.0,1.0,2.0,8.0,,,,90.0,67.0,6.2,2.0,168.88645131417,21.0,-72.135,14.805,,"{'original': 6.2, 'alternative': 6.4}",0,0.34,0.1,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,96.7741935483871,100.0,,,,1.0,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
14015540,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,False,50.0,46.0,2.0,2.0,0.0,11.0,13.0,35.0,37.0,,3.0,2.0,,,,90.0,71.0,5.9,8.0,167.04393618848,20.0,-77.49,8.61,,"{'original': 5.9, 'alternative': 6.8}",1,0.18,0.26,-0.66,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,92.0,100.0,25.0,,,3.0,5.0,3.0,,2.0,,1.0,2.0,2.0,1.0,,1.0,1.0,,2.0,,,,-0.37,4.0,,,,1.0,,,1.0,
14015540,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,35.0,34.0,2.0,2.0,0.0,9.0,9.0,25.0,26.0,,2.0,4.0,,,,78.0,45.0,7.2,6.0,152.35005668789,14.0,-68.985,4.83,,"{'original': 7.2, 'alternative': 7.8}",2,-0.01,-0.51,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,97.14285714285714,100.0,,100.0,,,,,,,,,,,,2.0,,2.0,2.0,3.0,,1.0,1.0,0.39,3.0,,1.0,1.0,,,,,
14015540,away,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,False,50.0,40.0,5.0,3.0,0.0,14.0,16.0,26.0,34.0,1.0,5.0,7.0,,,,63.0,59.0,6.7,10.0,140.55205390651,17.0,-25.2,6.195,,"{'original': 6.7, 'alternative': 7}",4,0.16,0.26,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,80.0,60.0,,,,,4.0,,,,3.0,1.0,2.0,2.0,,,2.0,,,,,,,-0.53,,,,2.0,2.0,,,,
14015540,away,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,46.0,40.0,4.0,2.0,0.0,8.0,8.0,32.0,38.0,,2.0,4.0,,,,63.0,59.0,8.3,10.0,166.51275914663,17.0,-21.315,12.18,,"{'original': 8.3, 'alternative': 8.1}",2,0.42,0.27,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,86.95652173913044,50.0,33.33333333333333,100.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,5.0,,1.0,1.0,0.55,6.0,,,1.0,,,,2.0,
14015540,away,5149,FK Crvena zvezda,939721,Milson,milson,M,7,False,20.0,17.0,1.0,,0.0,2.0,3.0,15.0,17.0,,4.0,2.0,,,,63.0,39.0,6.7,12.0,186.77725990494,17.0,-121.59,5.775,,"{'original': 6.7, 'alternative': 7.2}",3,0.33,0.5,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,85.0,,33.33333333333333,,,1.0,3.0,,,1.0,1.0,1.0,1.0,,,5.0,3.0,,,1.0,,,,-0.66,3.0,,,2.0,1.0,,,1.0,
14015540,away,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,F,10,False,43.0,39.0,1.0,1.0,0.0,14.0,14.0,25.0,29.0,,5.0,3.0,,,,90.0,67.0,7.7,9.0,170.4444226385,24.0,11.97,10.815,,"{'original': 7.7, 'alternative': 8.4}",9,-0.36,0.55,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,90.69767441860465,100.0,,75.0,,1.0,3.0,,,,,1.0,2.0,1.0,,1.0,,4.0,3.0,5.0,,4.0,1.0,0.38,3.0,,1.0,2.0,3.0,,,,1.0
14015540,away,5149,FK Crvena zvezda,878830,Bruno Duarte,bruno-duarte,F,17,False,57.0,46.0,1.0,1.0,2.0,5.0,5.0,41.0,52.0,2.0,2.0,8.0,,,,90.0,74.0,7.3,19.0,310.6020837217,35.0,-99.12,8.925,,"{'original': 7.3, 'alternative': 8.6}",7,0.73,0.73,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,80.7017543859649,100.0,25.0,,,1.0,4.0,,,1.0,,2.0,,,,4.0,,1.0,,4.0,,2.0,,-0.77,4.0,1.0,,1.0,4.0,,,1.0,
14015540,away,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,True,21.0,15.0,2.0,,0.0,3.0,3.0,12.0,18.0,,,,,,,27.0,29.0,7.2,9.0,95.20473246219,11.0,-72.03,0.735,,"{'original': 7.2, 'alternative': 7.5}",4,-0.44,0.26,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,71.42857142857143,,,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,2.0,1.0,0.48,1.0,,,,2.0,,,,
14015540,away,5149,FK Crvena zvezda,1131048,Tomás Händel,tomas-handel,M,20,True,18.0,18.0,1.0,1.0,0.0,4.0,4.0,14.0,14.0,,,4.0,,,,27.0,21.0,6.7,,11.578283541818,2.0,3.255,6.51,,"{'original': 6.7, 'alternative': 6.7}",1,0.31,0.01,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,100.0,100.0,100.0,,,,2.0,,,,,2.0,,,,,,,,1.0,,,,0.02,2.0,,,,1.0,,,2.0,
14015540,away,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,True,25.0,20.0,2.0,1.0,1.0,6.0,7.0,14.0,18.0,1.0,1.0,4.0,,,,27.0,32.0,6.8,7.0,48.863822930092,4.0,8.715,8.19,,"{'original': 6.8, 'alternative': 6.8}",0,0.3,-0.1,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.0,50.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,
14015540,away,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,True,4.0,2.0,,,0.0,,,2.0,4.0,,2.0,,,,,12.0,11.0,6.4,6.0,29.602714566483,4.0,-24.045,-1.89,,"{'original': 6.4, 'alternative': 6.7}",1,-0.15,0.18,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,50.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,-0.28,3.0,,,1.0,,,,,
14015540,away,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,True,9.0,8.0,,,0.0,3.0,3.0,5.0,6.0,,,1.0,,,,16.0,16.0,6.7,2.0,38.339509044304,5.0,-24.36,4.725,,"{'original': 6.7, 'alternative': 6.8}",0,0.06,0.15,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,0,2,88.88888888888889,,,,,,2.0,,,,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,
14015540,away,5149,FK Crvena zvezda,227224,Miloš Veljković,milos-veljkovic,D,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,away,5149,FK Crvena zvezda,2207346,Aleksa Damjanović,damjanovic-aleksa,F,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,away,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,away,5149,FK Crvena zvezda,1019641,Ivan Guteša,ivan-gutesa,G,77,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
