match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,interceptionWon,keyPass,shotOffTarget,blockedScoringAttempt,dispossessed,penaltyWon,hitWoodwork,penaltyConceded
14147374,home,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,F,88,False,28.0,26.0,2.0,2.0,0.0,12.0,13.0,15.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,62.0,40.0,6.7,7.0,0.01,0.04,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,0,6,92.85714285714286,100.0,0.0,,,14.0,,1.0,1.0,1.0,4.0,,,
14147374,home,456482,FK Sutjeska Nikšić,1606671,Todor Miljanić,todor-miljanic,D,17,True,10.0,10.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,28.0,12.0,6.3,1.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,100.0,,100.0,,,9.0,,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1481226,Danilo Ćetković,danilo-cetkovic,F,21,True,26.0,25.0,0.0,0.0,0.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,28.0,35.0,6.8,3.0,0.05,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,0,6,96.15384615384616,,,0.0,,19.0,1.0,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,True,17.0,14.0,1.0,1.0,0.0,3.0,4.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,28.0,27.0,7.4,4.0,0.07,0.25,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,82.35294117647058,100.0,,100.0,,11.0,,1.0,,,,,,
14147374,home,5160,FK Sutjeska Nikšić,795912,Aleksandar Desančić,aleksandar-desancic,M,3,True,13.0,11.0,1.0,1.0,0.0,3.0,4.0,9.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,22.0,18.0,6.5,1.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,84.61538461538461,100.0,0.0,,,8.0,,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1030465,Balša Tošković,balsa-toskovic,M,10,True,8.0,6.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,22.0,13.0,6.4,4.0,0.25,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,0,5,75.0,,,,,5.0,,,1.0,,2.0,,1.0,
14147374,home,6224,FK Sutjeska Nikšić,1103897,Radoš Dubljević,rados-dubljevic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1005621,Ognjen Đinović,ognjen-dinovic,D,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,M,2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,F,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,
